,what,uprising,began,in,1351,?
in,0.30808621644973755,0.2857716679573059,0.34154343605041504,1.0,0.12669238448143005,0.20430970191955566
1351,0.1403816193342209,0.17737090587615967,0.10385434329509735,0.12669238448143005,1.0,-0.00680270791053772
",",0.3087472915649414,0.2470635622739792,0.2705576717853546,0.5201468467712402,-0.006349118426442146,0.31091248989105225
the,0.42745697498321533,0.2853594124317169,0.3059147596359253,0.6662389636039734,0.17955467104911804,0.22068053483963013
red,0.16784515976905823,0.15914316475391388,0.05709577724337578,0.18753071129322052,-0.02490457519888878,0.1495664119720459
turban,0.12668034434318542,0.1392570286989212,0.15898792445659637,0.1345698982477188,0.12539564073085785,0.06138082221150398
rebellion,0.20742425322532654,0.565464973449707,0.2721180319786072,0.28367456793785095,0.16196389496326447,0.10071789473295212
started,0.21609699726104736,0.21174581348896027,0.7646947503089905,0.3199414014816284,0.042354486882686615,0.19447724521160126
and,0.31309178471565247,0.20715351402759552,0.3021392226219177,0.4954058527946472,0.08050671964883804,0.20544172823429108
grew,0.11968503892421722,0.17663230001926422,0.45069846510887146,0.2749199867248535,0.1295536756515503,0.05505307391285896
into,0.2180619090795517,0.17932191491127014,0.21712438762187958,0.38021373748779297,0.18983910977840424,0.15662476420402527
a,0.3320399522781372,0.17451336979866028,0.21651826798915863,0.539380669593811,0.08817116916179657,0.23916715383529663
nationwide,0.1329829841852188,0.2538999021053314,0.3123447000980377,0.25317880511283875,-0.018285363912582397,0.1712462455034256
uprising,0.1901596337556839,0.9999999403953552,0.23544161021709442,0.2857716679573059,0.17737090587615967,0.13645027577877045
.,0.3567904531955719,0.17839539051055908,0.19236212968826294,0.5591574311256409,0.06854357570409775,0.4130953550338745
