,approximately,how,many,drawings,of,the,italian,architect,andrea,palladio,is,in,the,riba,collection,?
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.19117170572280884,0.733189046382904,1.0,0.19855095446109772,0.13209693133831024,0.15751202404499054,0.24434302747249603,0.5823672413825989,0.6662389636039734,1.0,0.24598738551139832,0.25281965732574463,0.22068053483963013
riba,0.17231212556362152,0.16885055601596832,0.26385506987571716,0.26689857244491577,0.2084985226392746,0.24598738551139832,0.28345078229904175,0.25717025995254517,0.2279263287782669,0.3509089946746826,0.11169726401567459,0.16220375895500183,0.24598738551139832,1.0,0.2179511934518814,0.1393887996673584
's,0.017990030348300934,-0.026164190843701363,0.01698932610452175,0.048699647188186646,-0.03817026689648628,-0.01540423184633255,0.050269484519958496,0.02331111766397953,0.03885439410805702,0.050622690469026566,0.02396530658006668,-0.037580832839012146,-0.01540423184633255,-0.04440755769610405,0.003388406243175268,-0.023395681753754616
holdings,0.1764206886291504,0.1182105615735054,0.25688889622688293,0.2713867127895355,0.23571044206619263,0.1920640915632248,0.16578742861747742,0.2132779359817505,0.03735958784818649,0.1558186262845993,0.17933884263038635,0.22812411189079285,0.1920640915632248,0.19397565722465515,0.34182992577552795,0.14412938058376312
of,0.34526896476745605,0.2480744868516922,0.37253960967063904,0.23873206973075867,1.0,0.733189046382904,0.20819662511348724,0.13472206890583038,0.11446020752191544,0.20380839705467224,0.4854315221309662,0.5696388483047485,0.733189046382904,0.2084985226392746,0.2915455996990204,0.1826142966747284
over,0.41201671957969666,0.31446483731269836,0.47131630778312683,0.20427492260932922,0.36136594414711,0.39856547117233276,0.15451806783676147,0.11676466464996338,0.09368762373924255,0.09874992817640305,0.2159561663866043,0.3605569899082184,0.39856547117233276,0.16238521039485931,0.21212655305862427,0.25742942094802856
330,-0.009221170097589493,0.10289068520069122,0.032038845121860504,0.013568585738539696,0.04381348937749863,-0.040317684412002563,0.04269495978951454,0.020996151491999626,0.006082457024604082,-0.03790901601314545,-0.10492657124996185,-0.06298030912876129,-0.040317684412002563,-0.04603935778141022,-0.04602138698101044,-0.036314692348241806
drawings,0.09114956110715866,0.26425811648368835,0.30470409989356995,1.0000001192092896,0.23873206973075867,0.19117170572280884,0.13333193957805634,0.31317010521888733,0.21017885208129883,0.2999713122844696,0.14478443562984467,0.18445944786071777,0.19117170572280884,0.26689857244491577,0.3887491524219513,0.15541397035121918
by,0.2594222128391266,0.34370526671409607,0.3409687578678131,0.24822719395160675,0.3646814823150635,0.4408751428127289,0.14713914692401886,0.22246061265468597,0.1527830958366394,0.2845410406589508,0.3899846076965332,0.370934396982193,0.4408751428127289,0.18503060936927795,0.2678082287311554,0.17966607213020325
andrea,0.11705684661865234,0.0806180015206337,0.12819808721542358,0.21017885208129883,0.11446020752191544,0.15751202404499054,0.38535162806510925,0.2790573537349701,1.0000001192092896,0.36921700835227966,0.12745745480060577,0.11617325246334076,0.15751202404499054,0.2279263287782669,0.10598628222942352,0.06817904114723206
