,of,what,nationality,was,martin,luther,?
martin,0.13722093403339386,0.14814218878746033,0.08177907764911652,0.2089129239320755,0.9999999403953552,0.6228963136672974,0.060103293508291245
luther,0.1719115972518921,0.2134782373905182,0.07184984534978867,0.19185513257980347,0.6228963136672974,1.0,0.1732746809720993
(,0.35032153129577637,0.2411840260028839,0.21942976117134094,0.2980341613292694,0.21604594588279724,0.1677781045436859,0.40561532974243164
/ˈluːθər/,0.14028975367546082,0.17975421249866486,0.13724233210086823,0.22287587821483612,0.2721257209777832,0.18022553622722626,0.414407879114151
or,0.3792596757411957,0.33867141604423523,0.20158524811267853,0.2330796718597412,0.12305981665849686,0.14215725660324097,0.32389625906944275
/ˈluːðər/,0.2565048635005951,0.18961264193058014,0.15821875631809235,0.2375125139951706,0.3073834478855133,0.250838041305542,0.3783334493637085
;,0.054534342139959335,0.10986888408660889,0.09404853731393814,0.0754367932677269,0.011437599547207355,0.022799020633101463,0.10349778085947037
german,0.2122138887643814,0.1960553526878357,0.28490176796913147,0.26016926765441895,0.22567348182201385,0.28169330954551697,0.13978645205497742
:,-0.08807745575904846,-0.12022944539785385,0.0877571851015091,0.002802103292196989,-0.011313172057271004,-0.0567622147500515,-0.07156077772378922
[,0.010817250236868858,0.010752761736512184,0.08079143613576889,0.03263993561267853,0.11297740787267685,0.12499826401472092,0.011015460826456547
ˈmaɐ̯tiːn,0.3250686228275299,0.03720637038350105,0.11487838625907898,0.16483454406261444,0.027931291610002518,0.09825574606657028,-0.031597886234521866
ˈlʊtɐ,0.1775377094745636,0.021884946152567863,0.02481766790151596,0.06665436178445816,0.07011030614376068,0.12870579957962036,0.0008355345344170928
],-0.035044461488723755,-0.03775298595428467,0.01145679596811533,0.0001094614781322889,-0.053988732397556305,0.07567904889583588,-0.0022520492784678936
(,0.35032153129577637,0.2411840260028839,0.21942976117134094,0.2980341613292694,0.21604594588279724,0.1677781045436859,0.40561532974243164
listen,0.1133200079202652,0.34003081917762756,0.21702249348163605,0.14325548708438873,0.18834646046161652,0.24223078787326813,0.23244893550872803
),0.3680361211299896,0.26259949803352356,0.23853515088558197,0.3267642855644226,0.22626493871212006,0.18587662279605865,0.42300865054130554
;,0.054534342139959335,0.10986888408660889,0.09404853731393814,0.0754367932677269,0.011437599547207355,0.022799020633101463,0.10349778085947037
