,how,many,yards,was,the,pass,on,the,first,drive,?
denver,0.15631112456321716,0.18606427311897278,0.3131333589553833,0.2766761779785156,0.2052404284477234,0.16917091608047485,0.1561855524778366,0.2052404284477234,0.2171352207660675,0.12098202109336853,0.1520889848470688
took,0.1585291624069214,0.21439076960086823,0.1374455988407135,0.48213186860084534,0.31657639145851135,0.10032956302165985,0.22459004819393158,0.31657639145851135,0.36460110545158386,0.1290472149848938,0.14109265804290771
the,0.33890387415885925,0.4335206151008606,0.16070343554019928,0.48711544275283813,1.0,0.25961899757385254,0.5107308030128479,1.0,0.49448907375335693,0.2083187699317932,0.22068053483963013
opening,0.18178050220012665,0.17282089591026306,0.21894602477550507,0.20817555487155914,0.37298497557640076,0.2594235837459564,0.2229088544845581,0.37298497557640076,0.30535632371902466,0.17058205604553223,0.16502447426319122
kickoff,0.1486358493566513,0.12650218605995178,0.5108152627944946,0.17736835777759552,0.17987047135829926,0.2549406588077545,0.23558132350444794,0.17987047135829926,0.15615005791187286,0.24157564342021942,0.1969275325536728
and,0.33647966384887695,0.5296266674995422,0.22108176350593567,0.3740963041782379,0.5171257257461548,0.2433357536792755,0.4077630043029785,0.5171257257461548,0.3167642652988434,0.19344621896743774,0.20544172823429108
started,0.19724616408348083,0.2696502208709717,0.133887380361557,0.44883424043655396,0.3222070634365082,0.0926477462053299,0.35066497325897217,0.3222070634365082,0.379001647233963,0.09280993044376373,0.19447724521160126
out,0.3963836133480072,0.3329806923866272,0.2550521492958069,0.28168347477912903,0.39404502511024475,0.18695145845413208,0.39060163497924805,0.39404502511024475,0.26133912801742554,0.20891399681568146,0.22020699083805084
strong,0.19945120811462402,0.2948308289051056,0.14071854948997498,0.21312883496284485,0.22482411563396454,0.16807568073272705,0.19628293812274933,0.22482411563396454,0.15621991455554962,0.13409742712974548,0.11990999430418015
with,0.3525622487068176,0.35744401812553406,0.14512313902378082,0.27411898970603943,0.4223487675189972,0.16526761651039124,0.40749499201774597,0.4223487675189972,0.2691199779510498,0.1761467009782791,0.2433311939239502
