,what,were,chao,made,out,of,?
chao,0.15873567759990692,0.11175793409347534,1.0,0.13810954988002777,0.1199738010764122,0.2340337336063385,0.1582316905260086
were,0.22298263013362885,1.0000001192092896,0.11175793409347534,0.32412371039390564,0.3354760408401489,0.34038281440734863,0.17890112102031708
made,0.23419176042079926,0.32412371039390564,0.13810954988002777,1.0,0.27462413907051086,0.33167365193367004,0.17218779027462006
from,0.2737620174884796,0.29991888999938965,0.11168258637189865,0.23003742098808289,0.3196950852870941,0.4249346852302551,0.19969791173934937
the,0.42745697498321533,0.3906462490558624,0.2847650349140167,0.3885267674922943,0.39404502511024475,0.733189046382904,0.22068053483963013
bark,0.19243429601192474,0.21034123003482819,0.1609199345111847,0.23266930878162384,0.23097684979438782,0.1862664371728897,0.17615264654159546
of,0.33290785551071167,0.34038281440734863,0.2340337336063385,0.33167365193367004,0.34176841378211975,1.0,0.1826142966747284
mulberry,0.20236702263355255,0.1823943555355072,0.2708214223384857,0.21307700872421265,0.20713286101818085,0.253193736076355,0.1333329826593399
trees,0.18814536929130554,0.25273534655570984,0.17410530149936676,0.2160840630531311,0.2702258229255676,0.241034597158432,0.11582431197166443
.,0.3567904531955719,0.3378238379955292,0.1878942996263504,0.4032190144062042,0.34234723448753357,0.5352458953857422,0.4130953550338745
