,what,led,to,protests,and,open,discrediting,of,the,eck,?
as,0.31749409437179565,0.20535489916801453,0.42092081904411316,0.19268234074115753,0.49487000703811646,0.1737249791622162,0.2688869833946228,0.3886612355709076,0.48381632566452026,0.2964993417263031,0.27043893933296204
the,0.42745697498321533,0.3267505168914795,0.535392165184021,0.2566162943840027,0.5171257257461548,0.2764171361923218,0.1650441586971283,0.733189046382904,1.0,0.24178750813007355,0.22068053483963013
eck,0.20082831382751465,0.1555141657590866,0.1271955817937851,0.10481677204370499,0.2995111048221588,0.05088435485959053,0.13742776215076447,0.24540671706199646,0.24178750813007355,1.0000001192092896,0.17439329624176025
continued,0.17878234386444092,0.4167502522468567,0.33327484130859375,0.22715891897678375,0.31388330459594727,0.15304389595985413,0.23938710987567902,0.2527073323726654,0.29953038692474365,0.17820633947849274,0.10404038429260254
to,0.455847829580307,0.21815308928489685,1.0,0.188382089138031,0.48971283435821533,0.2593059837818146,0.297671914100647,0.41548454761505127,0.535392165184021,0.1271955817937851,0.29463258385658264
count,0.11588504165410995,0.15307006239891052,0.25972336530685425,0.06817217171192169,0.2053399533033371,0.06435378640890121,0.19243545830249786,0.23121918737888336,0.21435627341270447,0.22112080454826355,0.15563273429870605
the,0.42745697498321533,0.3267505168914795,0.535392165184021,0.2566162943840027,0.5171257257461548,0.2764171361923218,0.1650441586971283,0.733189046382904,1.0,0.24178750813007355,0.22068053483963013
votes,0.2574002146720886,0.1439296156167984,0.24744294583797455,0.2764739394187927,0.18517501652240753,0.16801612079143524,0.31251809000968933,0.20024310052394867,0.2303277552127838,0.1288684904575348,0.23052719235420227
",",0.3087472915649414,0.22548827528953552,0.44245919585227966,0.277413010597229,0.6633074283599854,0.28863707184791565,0.19557669758796692,0.4946078956127167,0.4933079481124878,0.2767295837402344,0.31091248989105225
kibaki,0.1701267510652542,0.16893066465854645,0.21214713156223297,0.3189274072647095,0.2273443341255188,0.0843939259648323,0.13596956431865692,0.21858225762844086,0.20502740144729614,0.19164739549160004,0.19735006988048553
closed,0.1689339131116867,0.13978752493858337,0.2852984070777893,0.2623783349990845,0.21235816180706024,0.425671249628067,0.371557354927063,0.15899594128131866,0.2359541952610016,0.08582737296819687,0.15595348179340363
the,0.42745697498321533,0.3267505168914795,0.535392165184021,0.2566162943840027,0.5171257257461548,0.2764171361923218,0.1650441586971283,0.733189046382904,1.0,0.24178750813007355,0.22068053483963013
gap,0.17691411077976227,0.15175633132457733,0.22861579060554504,0.14717666804790497,0.23067711293697357,0.1129971444606781,0.16205118596553802,0.2172139286994934,0.27986636757850647,0.14232875406742096,0.09251954406499863
and,0.31309178471565247,0.2780643701553345,0.48971283435821533,0.22497053444385529,1.0,0.27364909648895264,0.2114650458097458,0.5116966962814331,0.5171257257461548,0.2995111048221588,0.20544172823429108
then,0.4072686731815338,0.15221591293811798,0.5203860402107239,0.17065826058387756,0.4372139573097229,0.19154563546180725,0.19048376381397247,0.2937326431274414,0.4297412931919098,0.13532081246376038,0.2884598970413208
overtook,0.19441591203212738,0.43039771914482117,0.2270236313343048,0.3668020963668823,0.25433361530303955,0.18834041059017181,0.2916032075881958,0.3091469407081604,0.33106908202171326,0.16453823447227478,0.18120403587818146
his,0.26976513862609863,0.30691808462142944,0.3715193271636963,0.2185370773077011,0.4234102666378021,0.11348039656877518,0.2143108993768692,0.38364991545677185,0.4394008219242096,0.27123960852622986,0.18075084686279297
opponent,0.20937134325504303,0.2134779393672943,0.26056671142578125,0.23730629682540894,0.17634263634681702,0.20195120573043823,0.23470936715602875,0.20049943029880524,0.2627383768558502,0.19339101016521454,0.17604640126228333
by,0.2455483376979828,0.30694612860679626,0.33534231781959534,0.17826148867607117,0.4289871156215668,0.16097451746463776,0.24062570929527283,0.3646814823150635,0.4408751428127289,0.21253344416618347,0.17966607213020325
a,0.3320399522781372,0.19072435796260834,0.45503583550453186,0.21581970155239105,0.3739250600337982,0.21603602170944214,0.18032795190811157,0.5052502155303955,0.5829201340675354,0.23196116089820862,0.23916715383529663
substantial,0.33448854088783264,0.17109936475753784,0.31344684958457947,0.2333594411611557,0.2933623194694519,0.18051789700984955,0.30548954010009766,0.30609557032585144,0.32639044523239136,0.16904526948928833,0.25194647908210754
margin,0.23067790269851685,0.09144794940948486,0.19185036420822144,0.11817096173763275,0.24202664196491241,0.22036348283290863,0.24848271906375885,0.18176785111427307,0.24286416172981262,0.1598266214132309,0.20245680212974548
after,0.21973377466201782,0.3757990300655365,0.37890323996543884,0.25878193974494934,0.3765919506549835,0.19182804226875305,0.2155965268611908,0.3867455720901489,0.4565047025680542,0.1608361452817917,0.16608688235282898
votes,0.2574002146720886,0.1439296156167984,0.24744294583797455,0.2764739394187927,0.18517501652240753,0.16801612079143524,0.31251809000968933,0.20024310052394867,0.2303277552127838,0.1288684904575348,0.23052719235420227
from,0.2737620174884796,0.2455430030822754,0.4069952368736267,0.1607542783021927,0.3601827025413513,0.17097608745098114,0.08167636394500732,0.4249346852302551,0.40150508284568787,0.14575980603694916,0.19969791173934937
his,0.26976513862609863,0.30691808462142944,0.3715193271636963,0.2185370773077011,0.4234102666378021,0.11348039656877518,0.2143108993768692,0.38364991545677185,0.4394008219242096,0.27123960852622986,0.18075084686279297
