,what,advise,did,thoreau,give,the,tax,collector,when,unable,to,perform,his,duty,?
before,0.3801657259464264,0.2653491497039795,0.33642593026161194,0.15575312077999115,0.25141507387161255,0.45900648832321167,0.15725962817668915,0.10763854533433914,0.5650408267974854,0.2795630395412445,0.4190867841243744,0.21694768965244293,0.358011394739151,0.18491674959659576,0.2507109045982361
thoreau,0.3263375163078308,0.27313846349716187,0.3151754140853882,1.0,0.21357765793800354,0.30504027009010315,0.27197036147117615,0.30603376030921936,0.25455182790756226,0.20304648578166962,0.3212342858314514,0.12579120695590973,0.3740163743495941,0.13236969709396362,0.1922200322151184
’,-0.01733604073524475,0.026351867243647575,0.04859831556677818,0.07862099260091782,0.023425862193107605,-0.04090067744255066,-0.12019625306129456,0.002466490026563406,0.0063735563308000565,0.009640084579586983,0.00253736088052392,0.037799395620822906,0.02937331423163414,0.05306650698184967,0.045561522245407104
s,0.3634900748729706,0.22367475926876068,0.33910059928894043,0.2579590380191803,0.25226953625679016,0.46610721945762634,0.13208982348442078,0.2466106414794922,0.3388965129852295,0.2431008666753769,0.35941416025161743,0.19651275873184204,0.5026353597640991,0.19879183173179626,0.25130221247673035
imprisonment,0.16481763124465942,0.19281485676765442,0.1592181771993637,0.22506572306156158,0.16049082577228546,0.20297037065029144,0.29294073581695557,0.12887805700302124,0.21011027693748474,0.2003774791955948,0.22813618183135986,0.0935891717672348,0.33144551515579224,0.22883135080337524,0.13416679203510284
",",0.3087472915649414,0.25493496656417847,0.3015086054801941,0.3388298749923706,0.2844066619873047,0.4933079481124878,0.140306293964386,0.2751410901546478,0.36674630641937256,0.20128878951072693,0.44245919585227966,0.19458305835723877,0.3378419280052185,0.21993570029735565,0.31091248989105225
when,0.4700249433517456,0.2628571391105652,0.3228907287120819,0.25455182790756226,0.3518797755241394,0.5091903209686279,0.1878177672624588,0.15406793355941772,0.9999999403953552,0.40951576828956604,0.5423505902290344,0.24603362381458282,0.37120407819747925,0.14056555926799774,0.22841128706932068
a,0.3320399522781372,0.24369880557060242,0.2552328109741211,0.25918325781822205,0.3436131179332733,0.5829201340675354,0.23702840507030487,0.2918439209461212,0.44397395849227905,0.22923994064331055,0.45503583550453186,0.219420924782753,0.3497250974178314,0.19311612844467163,0.23916715383529663
confused,0.3294311761856079,0.20392459630966187,0.18618467450141907,0.22543339431285858,0.2061593234539032,0.26122042536735535,0.07326359301805496,0.08348292857408524,0.2642388939857483,0.22656360268592834,0.29771703481674194,0.11783309280872345,0.16028140485286713,0.12857410311698914,0.20451921224594116
taxman,0.20532892644405365,0.24268203973770142,0.18781974911689758,0.3621531128883362,0.18619662523269653,0.30761873722076416,0.5086751580238342,0.41601017117500305,0.22833572328090668,0.19485116004943848,0.27219638228416443,0.18877047300338745,0.3384033143520355,0.23146604001522064,0.23942914605140686
had,0.23849567770957947,0.18418878316879272,0.540525496006012,0.24402360618114471,0.3329158425331116,0.3875846862792969,0.2077564299106598,0.24746163189411163,0.37526828050613403,0.31435856223106384,0.37984350323677063,0.21885797381401062,0.4401516616344452,0.18355800211429596,0.20728366076946259
wondered,0.48751917481422424,0.30508220195770264,0.3522542119026184,0.23019684851169586,0.25948476791381836,0.2750171720981598,0.13392814993858337,0.10749402642250061,0.33091509342193604,0.3228956460952759,0.30245283246040344,0.19877223670482635,0.27865326404571533,0.22806353867053986,0.3926749527454376
