,ctenophores,are,less,complex,than,what,other,group,?
),0.1612478494644165,0.2373749315738678,0.20886565744876862,0.19095344841480255,0.21982109546661377,0.26259949803352356,0.26200005412101746,0.23240500688552856,0.42300865054130554
",",0.19362998008728027,0.4062570035457611,0.28111666440963745,0.2636418044567108,0.3371901512145996,0.3087472915649414,0.4446498453617096,0.2809832692146301,0.31091248989105225
and,0.20973104238510132,0.48576638102531433,0.35327455401420593,0.2597591280937195,0.39361441135406494,0.31309178471565247,0.5504306554794312,0.3510662019252777,0.20544172823429108
less,0.1926042139530182,0.37797531485557556,1.0,0.26385924220085144,0.7410463690757751,0.31119704246520996,0.3979056775569916,0.16745364665985107,0.22418740391731262
complex,0.2939879596233368,0.33041873574256897,0.26385924220085144,0.9999998807907104,0.25296974182128906,0.2605343163013458,0.2679487466812134,0.17428533732891083,0.17752902209758759
than,0.15586121380329132,0.39206281304359436,0.7410463690757751,0.25296974182128906,1.0,0.29388150572776794,0.5105555653572083,0.19962939620018005,0.24917294085025787
bilaterians,0.5787683129310608,0.36546286940574646,0.25496751070022583,0.2235826551914215,0.21661372482776642,0.2646906077861786,0.33965227007865906,0.32327768206596375,0.148935005068779
(,0.18976886570453644,0.23263892531394958,0.20576579868793488,0.18859760463237762,0.19419437646865845,0.2411840260028839,0.25035592913627625,0.21665191650390625,0.40561532974243164
which,0.37328192591667175,0.42922598123550415,0.41259074211120605,0.36717817187309265,0.3974681496620178,0.5261979103088379,0.50507652759552,0.32466647028923035,0.25814583897590637
include,0.2772633135318756,0.5140694975852966,0.22075140476226807,0.18335464596748352,0.26059964299201965,0.1535889357328415,0.448042094707489,0.21031947433948517,0.14925788342952728
almost,0.24571307003498077,0.34548285603523254,0.3918832838535309,0.1619468778371811,0.3478420078754425,0.2467888444662094,0.3427431583404541,0.17214617133140564,0.1372147500514984
all,0.2644745111465454,0.5343062281608582,0.3057573437690735,0.26528844237327576,0.30176207423210144,0.41981086134910583,0.5273400545120239,0.3124038577079773,0.29575422406196594
other,0.2790910303592682,0.5932393670082092,0.3979056775569916,0.2679487466812134,0.5105555653572083,0.341873437166214,0.9999999403953552,0.3767421245574951,0.24682199954986572
animals,0.523098886013031,0.37765127420425415,0.2545740604400635,0.25173014402389526,0.2676951587200165,0.26212990283966064,0.33722957968711853,0.231040358543396,0.16430135071277618
),0.1612478494644165,0.2373749315738678,0.20886565744876862,0.19095344841480255,0.21982109546661377,0.26259949803352356,0.26200005412101746,0.23240500688552856,0.42300865054130554
.,0.22269779443740845,0.3452940285205841,0.32668155431747437,0.2245299518108368,0.3594527542591095,0.3567904531955719,0.41511186957359314,0.27268800139427185,0.4130953550338745
