,what,was,the,main,idea,of,james,hutton,'s,paper,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.28862449526786804,0.20288406312465668,0.5696388483047485,0.1994210183620453,0.2178497314453125,-0.037580832839012146,0.18605142831802368,0.20430970191955566
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.143780916929245,0.23131534457206726,0.38364991545677185,0.30549123883247375,0.21995028853416443,0.047556519508361816,0.2224591225385666,0.18075084686279297
paper,0.21202662587165833,0.18939059972763062,0.2077420949935913,0.07194830477237701,0.23938614130020142,0.19050662219524384,0.08459413051605225,0.19836357235908508,0.09519387036561966,0.9999998807907104,0.12693770229816437
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2989408075809479,0.22699743509292603,0.4946078956127167,0.25490787625312805,0.3142911195755005,-0.0016132977325469255,0.2304661124944687,0.31091248989105225
he,0.3114890456199646,0.5410010814666748,0.4571082592010498,0.166281059384346,0.26744645833969116,0.38706058263778687,0.27831122279167175,0.22201204299926758,0.024063590914011,0.19870227575302124,0.2089974731206894
explained,0.4148936867713928,0.3052760064601898,0.2738569974899292,0.20547939836978912,0.4231269657611847,0.24962453544139862,0.19664409756660461,0.200910747051239,-0.05783653259277344,0.22083744406700134,0.31240519881248474
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.143780916929245,0.23131534457206726,0.38364991545677185,0.30549123883247375,0.21995028853416443,0.047556519508361816,0.2224591225385666,0.18075084686279297
theory,0.297923743724823,0.18278326094150543,0.2277156263589859,0.17853248119354248,0.4957911968231201,0.23506702482700348,0.1862705498933792,0.2892443835735321,-0.0025054612196981907,0.3318958878517151,0.1387292891740799
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.3140498101711273,0.49277663230895996,0.41498205065727234,0.16290196776390076,0.2178533375263214,0.04397977516055107,0.3100363612174988,0.32716336846351624
the,0.42745697498321533,0.48711544275283813,1.0,0.38631999492645264,0.2839161455631256,0.733189046382904,0.22481533885002136,0.20083338022232056,-0.01540423184633255,0.2077420949935913,0.22068053483963013
earth,0.25883176922798157,0.18661361932754517,0.2801888585090637,0.13639847934246063,0.2670518457889557,0.2329314798116684,0.15007442235946655,0.2031727284193039,0.0661235973238945,0.15420760214328766,0.17717236280441284
must,0.30362528562545776,0.20152942836284637,0.2713140547275543,0.17001591622829437,0.2159506231546402,0.24322323501110077,0.07365281134843826,0.13860157132148743,-0.018240178003907204,0.20849807560443878,0.23707495629787445
