,where,in,australia,is,victoria,located,?
victoria,0.1839742809534073,0.20823122560977936,0.5548879504203796,0.1633591204881668,1.0,0.14530323445796967,0.12246892601251602
(,0.1970011591911316,0.3087427020072937,0.17133381962776184,0.35393038392066956,0.14948904514312744,0.21025894582271576,0.40561532974243164
abbreviated,0.19984886050224304,0.19110648334026337,0.053407154977321625,0.27301323413848877,0.011438317596912384,0.2715895175933838,0.1293652355670929
as,0.35409465432167053,0.3887844979763031,0.21074992418289185,0.43216490745544434,0.19515912234783173,0.20928777754306793,0.27043893933296204
vic,0.1681397408246994,0.18324309587478638,0.17598356306552887,0.16612377762794495,0.31310683488845825,0.1145659014582634,0.1941237449645996
),0.20711064338684082,0.3326910734176636,0.1751205027103424,0.37732169032096863,0.17964273691177368,0.19755883514881134,0.42300865054130554
is,0.3586711287498474,0.5394441485404968,0.1734699010848999,1.0,0.1633591204881668,0.35717159509658813,0.22961433231830597
a,0.40997210144996643,0.539380669593811,0.17524918913841248,0.658733606338501,0.15216270089149475,0.2605401277542114,0.23916715383529663
state,0.2583591639995575,0.33316072821617126,0.19653691351413727,0.2627358138561249,0.23197819292545319,0.3180226981639862,0.1160883978009224
in,0.5344807505607605,1.0,0.2697675824165344,0.5394441485404968,0.20823122560977936,0.35149815678596497,0.20430970191955566
the,0.5003893971443176,0.6662389636039734,0.26828548312187195,0.5823672413825989,0.2204313427209854,0.407527357339859,0.22068053483963013
south-east,0.3008807897567749,0.3717368543148041,0.32883983850479126,0.3043418228626251,0.3329068720340729,0.39223000407218933,0.25255709886550903
of,0.38066378235816956,0.5696388483047485,0.2669609785079956,0.4854315221309662,0.2505437433719635,0.32520920038223267,0.1826142966747284
australia,0.24999256432056427,0.2697675824165344,1.0,0.1734699010848999,0.5548879504203796,0.16706083714962006,0.15702682733535767
.,0.41390106081962585,0.5591574311256409,0.2899940609931946,0.4569662809371948,0.23069117963314056,0.28226932883262634,0.4130953550338745
