,how,did,the,leaders,of,the,city,of,bukhara,respond,to,the,mongol,attack,?
the,0.33890387415885925,0.34736719727516174,1.0,0.3157886564731598,0.733189046382904,1.0,0.35769423842430115,0.733189046382904,0.279489129781723,0.24966585636138916,0.535392165184021,1.0,0.2924198508262634,0.2508925497531891,0.22068053483963013
city,0.12024712562561035,0.12266099452972412,0.35769423842430115,0.1916656792163849,0.32503411173820496,0.35769423842430115,1.0,0.32503411173820496,0.3077037036418915,0.11086127907037735,0.20300441980361938,0.35769423842430115,0.24547837674617767,0.18285731971263885,0.13423943519592285
leaders,0.2026149332523346,0.25974467396736145,0.3157886564731598,1.0,0.2602892220020294,0.3157886564731598,0.1916656792163849,0.2602892220020294,0.25685280561447144,0.21393394470214844,0.25293630361557007,0.3157886564731598,0.27032825350761414,0.1403457373380661,0.13927052915096283
opened,0.12807206809520721,0.2014526128768921,0.28544309735298157,0.17224843800067902,0.16720551252365112,0.28544309735298157,0.25895923376083374,0.16720551252365112,0.1446450650691986,0.12390030920505524,0.18903055787086487,0.28544309735298157,0.06592120230197906,0.10767421126365662,0.1934700310230255
the,0.33890387415885925,0.34736719727516174,1.0,0.3157886564731598,0.733189046382904,1.0,0.35769423842430115,0.733189046382904,0.279489129781723,0.24966585636138916,0.535392165184021,1.0,0.2924198508262634,0.2508925497531891,0.22068053483963013
gates,0.10175616294145584,0.12096647173166275,0.2443714737892151,0.20467570424079895,0.15723752975463867,0.2443714737892151,0.17427071928977966,0.15723752975463867,0.2014913260936737,0.12045367062091827,0.21614286303520203,0.2443714737892151,0.19214075803756714,0.14168168604373932,0.1212976723909378
to,0.44169697165489197,0.4452643394470215,0.535392165184021,0.25293630361557007,0.41548454761505127,0.535392165184021,0.20300441980361938,0.41548454761505127,0.1593388020992279,0.33126938343048096,1.0,0.535392165184021,0.2125127911567688,0.19954605400562286,0.29463258385658264
the,0.33890387415885925,0.34736719727516174,1.0,0.3157886564731598,0.733189046382904,1.0,0.35769423842430115,0.733189046382904,0.279489129781723,0.24966585636138916,0.535392165184021,1.0,0.2924198508262634,0.2508925497531891,0.22068053483963013
mongols,0.14048407971858978,0.21908389031887054,0.310281366109848,0.30666592717170715,0.23517343401908875,0.310281366109848,0.29109588265419006,0.23517343401908875,0.5454793572425842,0.2029276192188263,0.230276957154274,0.310281366109848,0.905461847782135,0.26060497760772705,0.11517509818077087
",",0.22659391164779663,0.3015086054801941,0.4933079481124878,0.21003474295139313,0.4946078956127167,0.4933079481124878,0.35839709639549255,0.4946078956127167,0.2508552372455597,0.25066259503364563,0.44245919585227966,0.4933079481124878,0.2229510098695755,0.29392024874687195,0.31091248989105225
though,0.38766178488731384,0.4678466022014618,0.38776206970214844,0.19882595539093018,0.37307101488113403,0.38776206970214844,0.16408811509609222,0.37307101488113403,0.18643692135810852,0.3198167085647583,0.46191829442977905,0.38776206970214844,0.17872565984725952,0.1514727771282196,0.3188856542110443
a,0.29312583804130554,0.2552328109741211,0.5829201340675354,0.16248153150081635,0.5052502155303955,0.5829201340675354,0.2349124401807785,0.5052502155303955,0.15886858105659485,0.2199072241783142,0.45503583550453186,0.5829201340675354,0.15921570360660553,0.2556389570236206,0.23916715383529663
unit,0.20661352574825287,0.12886667251586914,0.24230392277240753,0.14224933087825775,0.26649972796440125,0.24230392277240753,0.11575823277235031,0.26649972796440125,0.1832660436630249,0.23803859949111938,0.19828897714614868,0.24230392277240753,0.17244744300842285,0.1653941571712494,0.09069886058568954
of,0.2480744868516922,0.2513895630836487,0.733189046382904,0.2602892220020294,1.0,0.733189046382904,0.32503411173820496,1.0,0.22439724206924438,0.19069483876228333,0.41548454761505127,0.733189046382904,0.22712039947509766,0.20644454658031464,0.1826142966747284
turkish,0.06399781256914139,0.13910268247127533,0.19575290381908417,0.14326541125774384,0.14263172447681427,0.19575290381908417,0.20912791788578033,0.14263172447681427,0.38105979561805725,0.12321659177541733,0.1500670164823532,0.19575290381908417,0.37219956517219543,0.11745400726795197,0.10638481378555298
defenders,0.06700721383094788,0.17038872838020325,0.28171461820602417,0.25215330719947815,0.20047026872634888,0.28171461820602417,0.20830565690994263,0.20047026872634888,0.15750737488269806,0.2038852870464325,0.2336772233247757,0.28171461820602417,0.24755720794200897,0.39257872104644775,0.1532401591539383
held,0.06776752322912216,0.18607917428016663,0.32185450196266174,0.2779964506626129,0.28960686922073364,0.32185450196266174,0.21825216710567474,0.28960686922073364,0.13006898760795593,0.12022874504327774,0.22177374362945557,0.32185450196266174,0.11930279433727264,0.1555258184671402,0.14103956520557404
the,0.33890387415885925,0.34736719727516174,1.0,0.3157886564731598,0.733189046382904,1.0,0.35769423842430115,0.733189046382904,0.279489129781723,0.24966585636138916,0.535392165184021,1.0,0.2924198508262634,0.2508925497531891,0.22068053483963013
city,0.12024712562561035,0.12266099452972412,0.35769423842430115,0.1916656792163849,0.32503411173820496,0.35769423842430115,1.0,0.32503411173820496,0.3077037036418915,0.11086127907037735,0.20300441980361938,0.35769423842430115,0.24547837674617767,0.18285731971263885,0.13423943519592285
's,-0.026164190843701363,0.05069678649306297,-0.01540423184633255,0.010155499912798405,-0.03817026689648628,-0.01540423184633255,0.004406440537422895,-0.03817026689648628,0.012814849615097046,-0.03020615130662918,0.03782717138528824,-0.01540423184633255,-0.05976467952132225,-0.03803832456469536,-0.023395681753754616
citadel,0.09012716263532639,0.16594411432743073,0.2966357171535492,0.2286674976348877,0.2896718978881836,0.2966357171535492,0.45511460304260254,0.2896718978881836,0.31519097089767456,0.04086151346564293,0.1444164663553238,0.2966357171535492,0.236221045255661,0.20550476014614105,0.11120149493217468
for,0.3308170735836029,0.318512886762619,0.4739971458911896,0.21054218709468842,0.4185989499092102,0.4739971458911896,0.18687109649181366,0.4185989499092102,0.12373803555965424,0.28865525126457214,0.4451248347759247,0.4739971458911896,0.1556200236082077,0.2050485610961914,0.264628142118454
another,0.34821072220802307,0.29175329208374023,0.5019711852073669,0.1799824982881546,0.38147079944610596,0.5019711852073669,0.14786472916603088,0.38147079944610596,0.13253802061080933,0.2972637712955475,0.48769932985305786,0.5019711852073669,0.20900173485279083,0.23084838688373566,0.295511931180954
twelve,0.18371286988258362,0.1956946700811386,0.3255734145641327,0.185184046626091,0.288763165473938,0.3255734145641327,0.10799316316843033,0.288763165473938,0.13134928047657013,0.1560094803571701,0.24784527719020844,0.3255734145641327,0.10660183429718018,0.158643439412117,0.06192852556705475
days,0.23509229719638824,0.2182302623987198,0.2574930489063263,0.18892055749893188,0.23668107390403748,0.2574930489063263,0.21550491452217102,0.23668107390403748,0.13074621558189392,0.26039624214172363,0.2942236363887787,0.2574930489063263,0.1426912546157837,0.18919093906879425,0.2198754847049713
.,0.3287222981452942,0.35288307070732117,0.5934505462646484,0.18761023879051208,0.5352458953857422,0.5934505462646484,0.29856356978416443,0.5352458953857422,0.21368806064128876,0.2619034945964813,0.4645031690597534,0.5934505462646484,0.16751837730407715,0.3003302216529846,0.4130953550338745
