,how,many,total,acres,is,woodward,park,?
the,0.33890387415885925,0.4335206151008606,0.27068960666656494,0.1636062115430832,0.5823672413825989,0.2085409164428711,0.24748283624649048,0.22068053483963013
initial,0.21066758036613464,0.1616501659154892,0.2087704986333847,0.19817033410072327,0.16745871305465698,0.0915718525648117,0.11430427432060242,0.16868601739406586
235,0.021248407661914825,0.05832847207784653,0.02654990926384926,0.13107366859912872,0.08288565278053284,0.12162850797176361,0.13447213172912598,0.09134280681610107
acres,0.1119794100522995,0.20931728184223175,0.3129531145095825,1.0000001192092896,0.20078809559345245,0.21366684138774872,0.3983527421951294,0.15370787680149078
(,0.1676948219537735,0.1455259770154953,0.2282908409833908,0.16313061118125916,0.35393038392066956,0.17248238623142242,0.1229381263256073,0.40561532974243164
0.95,0.20801156759262085,0.1411937028169632,0.09378274530172348,0.006985263898968697,0.06854714453220367,0.13243906199932098,0.04637903347611427,0.17274297773838043
km2,0.22562161087989807,0.18448369204998016,0.24871186912059784,0.30128172039985657,0.27590033411979675,0.04654219001531601,0.2336423695087433,0.20544767379760742
),0.17939934134483337,0.16602720320224762,0.2389112114906311,0.17851896584033966,0.37732169032096863,0.17518189549446106,0.1277286410331726,0.42300865054130554
",",0.22659391164779663,0.40610817074775696,0.25815486907958984,0.21724975109100342,0.4691906273365021,0.2896799147129059,0.22495080530643463,0.31091248989105225
combined,0.2234719693660736,0.2660016119480133,0.3283103406429291,0.1393222063779831,0.22170862555503845,0.15809500217437744,0.044401999562978745,0.17985320091247559
with,0.3525622487068176,0.35744401812553406,0.1768326759338379,0.1517506092786789,0.3250955045223236,0.18807317316532135,0.13919170200824738,0.2433311939239502
additional,0.22369614243507385,0.24535326659679413,0.24358145892620087,0.1939866840839386,0.1715312898159027,0.20804919302463531,0.10327037423849106,0.24309562146663666
acres,0.1119794100522995,0.20931728184223175,0.3129531145095825,1.0000001192092896,0.20078809559345245,0.21366684138774872,0.3983527421951294,0.15370787680149078
acquired,0.11872366070747375,0.14446644484996796,0.042453739792108536,0.175794780254364,0.10823270678520203,0.10807924717664719,0.17277070879936218,0.09366346150636673
later,0.2534695267677307,0.3450429439544678,0.1485697478055954,0.19959670305252075,0.21527644991874695,0.2066909372806549,0.17022523283958435,0.1417175978422165
by,0.34370526671409607,0.3409687578678131,0.20661480724811554,0.1931656002998352,0.3899846076965332,0.1907922625541687,0.18885280191898346,0.17966607213020325
the,0.33890387415885925,0.4335206151008606,0.27068960666656494,0.1636062115430832,0.5823672413825989,0.2085409164428711,0.24748283624649048,0.22068053483963013
city,0.12024712562561035,0.21416836977005005,0.24436543881893158,0.23305711150169373,0.3186660706996918,0.09626495093107224,0.30619674921035767,0.13423943519592285
",",0.22659391164779663,0.40610817074775696,0.25815486907958984,0.21724975109100342,0.4691906273365021,0.2896799147129059,0.22495080530643463,0.31091248989105225
brings,0.26016873121261597,0.24459028244018555,0.16610021889209747,0.1260482519865036,0.3344581425189972,0.13900423049926758,0.09010081738233566,0.21409378945827484
the,0.33890387415885925,0.4335206151008606,0.27068960666656494,0.1636062115430832,0.5823672413825989,0.2085409164428711,0.24748283624649048,0.22068053483963013
park,0.07603258639574051,0.17557764053344727,0.08136410266160965,0.3983527421951294,0.2076987773180008,0.1324821412563324,1.0,0.13508929312229156
to,0.44169697165489197,0.40243685245513916,0.22792020440101624,0.20350097119808197,0.42745086550712585,0.21017755568027496,0.14257338643074036,0.29463258385658264
a,0.29312583804130554,0.2872205972671509,0.20922091603279114,0.18753887712955475,0.658733606338501,0.21543066203594208,0.2207280695438385,0.23916715383529663
sizable,0.19314225018024445,0.30587998032569885,0.2541104555130005,0.2658447325229645,0.25258079171180725,0.0977555587887764,0.18400922417640686,0.11556777358055115
300,-0.03424505144357681,0.010953327640891075,-0.08921690285205841,0.02321631833910942,-0.0613233856856823,0.043995365500450134,0.1339576691389084,-0.06213558092713356
acres,0.1119794100522995,0.20931728184223175,0.3129531145095825,1.0000001192092896,0.20078809559345245,0.21366684138774872,0.3983527421951294,0.15370787680149078
(,0.1676948219537735,0.1455259770154953,0.2282908409833908,0.16313061118125916,0.35393038392066956,0.17248238623142242,0.1229381263256073,0.40561532974243164
1.2,0.05520414188504219,0.202179953455925,0.2282448559999466,0.2730922996997833,0.1376151144504547,0.19154009222984314,0.2112886756658554,0.15333291888237
km2,0.22562161087989807,0.18448369204998016,0.24871186912059784,0.30128172039985657,0.27590033411979675,0.04654219001531601,0.2336423695087433,0.20544767379760742
),0.17939934134483337,0.16602720320224762,0.2389112114906311,0.17851896584033966,0.37732169032096863,0.17518189549446106,0.1277286410331726,0.42300865054130554
.,0.3287222981452942,0.3974229395389557,0.2295650690793991,0.20271193981170654,0.4569662809371948,0.2645300328731537,0.22825266420841217,0.4130953550338745
