,where,had,the,mongol,capital,been,before,kublai,moved,it,?
kublai,0.2104915827512741,0.2797248363494873,0.32886171340942383,0.633603572845459,0.2576974332332611,0.1966647505760193,0.31846317648887634,0.9999999403953552,0.20359556376934052,0.19008725881576538,0.14562560617923737
readied,0.2650286555290222,0.32612553238868713,0.2684270739555359,0.06654496490955353,0.057321831583976746,0.2815026640892029,0.22515064477920532,0.1816236972808838,0.32767540216445923,0.27651822566986084,0.26468244194984436
the,0.5003893971443176,0.3875846862792969,1.0,0.2924198508262634,0.3049491047859192,0.3563927710056305,0.45900648832321167,0.32886171340942383,0.32031023502349854,0.6251175999641418,0.22068053483963013
move,0.3954756259918213,0.21338777244091034,0.29817628860473633,0.20360340178012848,0.15974439680576324,0.20088808238506317,0.22331124544143677,0.2135937511920929,0.5574866533279419,0.26024189591407776,0.24440962076187134
of,0.38066378235816956,0.37755560874938965,0.733189046382904,0.22712039947509766,0.30823585391044617,0.31685134768486023,0.3282964527606964,0.231930211186409,0.22242598235607147,0.38761502504348755,0.1826142966747284
the,0.5003893971443176,0.3875846862792969,1.0,0.2924198508262634,0.3049491047859192,0.3563927710056305,0.45900648832321167,0.32886171340942383,0.32031023502349854,0.6251175999641418,0.22068053483963013
mongol,0.12308114022016525,0.22751455008983612,0.2924198508262634,1.0000001192092896,0.2768394947052002,0.17720259726047516,0.21440400183200836,0.633603572845459,0.12046163529157639,0.17263510823249817,0.12849251925945282
capital,0.24952609837055206,0.12524351477622986,0.3049491047859192,0.2768394947052002,0.9999999403953552,0.11704083532094955,0.17086370289325714,0.2576974332332611,0.3201691806316376,0.27145886421203613,0.0907452180981636
from,0.3713873624801636,0.3075238764286041,0.40150508284568787,0.2123146951198578,0.22938302159309387,0.27624839544296265,0.38587698340415955,0.13737952709197998,0.3269204795360565,0.325604110956192,0.19969791173934937
karakorum,0.20958445966243744,0.11765779554843903,0.36812421679496765,0.4358240067958832,0.3103887140750885,0.14229325950145721,0.1771664321422577,0.49530908465385437,0.047146864235401154,0.27280643582344055,0.1823367327451706
in,0.5344807505607605,0.385026752948761,0.6662389636039734,0.16958336532115936,0.3233928978443146,0.3515113592147827,0.4155850410461426,0.2070179283618927,0.3323737680912018,0.5130809545516968,0.20430970191955566
mongolia,0.2137911468744278,0.1835673451423645,0.26887956261634827,0.7520244121551514,0.28967779874801636,0.2603208124637604,0.1936802715063095,0.47485190629959106,0.1056228056550026,0.2439413219690323,0.12165829539299011
to,0.47735077142715454,0.37984350323677063,0.535392165184021,0.2125127911567688,0.1844596415758133,0.34945759177207947,0.4190867841243744,0.2918815314769745,0.2918468713760376,0.513711154460907,0.29463258385658264
khanbaliq,0.16485704481601715,0.17157921195030212,0.20302322506904602,0.5667532086372375,0.3166798949241638,0.17388592660427094,0.14073669910430908,0.5743069648742676,0.11540073156356812,0.17056366801261902,0.20082160830497742
in,0.5344807505607605,0.385026752948761,0.6662389636039734,0.16958336532115936,0.3233928978443146,0.3515113592147827,0.4155850410461426,0.2070179283618927,0.3323737680912018,0.5130809545516968,0.20430970191955566
1264,-0.0060365041717886925,0.07338347285985947,0.0003695665509440005,-0.062363091856241226,0.04334985837340355,0.03336639702320099,-0.008439202792942524,-0.05526223033666611,0.10455051064491272,-0.01437352318316698,-0.0707945004105568
",",0.3149496018886566,0.35487717390060425,0.4933079481124878,0.2229510098695755,0.28033894300460815,0.34873589873313904,0.3156566619873047,0.2569756805896759,0.30661246180534363,0.48329564929008484,0.31091248989105225
