,what,organization,arranged,to,founding,of,school,?
harvard,0.2177114188671112,0.23987670242786407,0.0803057849407196,0.2043667882680893,0.26973894238471985,0.25842633843421936,0.42520302534103394,0.11685016006231308
was,0.22111038863658905,0.20457664132118225,0.1825263798236847,0.3636345863342285,0.36926978826522827,0.4069072902202606,0.25740107893943787,0.18412111699581146
formed,0.15451857447624207,0.2528109848499298,0.2582203447818756,0.15433534979820251,0.38304081559181213,0.2871689796447754,0.09753730148077011,0.09686966985464096
in,0.30808621644973755,0.2513086795806885,0.20203842222690582,0.45010748505592346,0.2295561581850052,0.5696388483047485,0.26157811284065247,0.20430970191955566
1636,-0.09300483763217926,0.013849925249814987,0.015348209999501705,-0.06303028017282486,0.11413702368736267,0.10540710389614105,0.16917701065540314,-0.0838172435760498
by,0.2455483376979828,0.19509689509868622,0.2703990042209625,0.33534231781959534,0.24328337609767914,0.3646814823150635,0.1477794349193573,0.17966607213020325
vote,0.30723845958709717,0.13601142168045044,0.03156347945332527,0.2892617881298065,0.1885964572429657,0.19845709204673767,0.16874751448631287,0.2888886630535126
of,0.33290785551071167,0.25438958406448364,0.33214297890663147,0.41548454761505127,0.3665546774864197,1.0,0.2391800880432129,0.1826142966747284
the,0.42745697498321533,0.311172217130661,0.26620063185691833,0.535392165184021,0.34138360619544983,0.733189046382904,0.22953221201896667,0.22068053483963013
great,0.2562883198261261,0.1348114013671875,0.15184681117534637,0.1880372017621994,0.15861350297927856,0.3168134391307831,0.14909106492996216,0.13135133683681488
and,0.31309178471565247,0.21951423585414886,0.314948171377182,0.48971283435821533,0.28134027123451233,0.5116966962814331,0.2752758264541626,0.20544172823429108
general,0.24928055703639984,0.1977924257516861,0.22833620011806488,0.24755197763442993,0.1946788728237152,0.28352999687194824,0.1315617859363556,0.1972234547138214
court,0.23440583050251007,0.1888676881790161,0.19479860365390778,0.24824365973472595,0.21841958165168762,0.28835242986679077,0.2615804076194763,0.17100423574447632
of,0.33290785551071167,0.25438958406448364,0.33214297890663147,0.41548454761505127,0.3665546774864197,1.0,0.2391800880432129,0.1826142966747284
the,0.42745697498321533,0.311172217130661,0.26620063185691833,0.535392165184021,0.34138360619544983,0.733189046382904,0.22953221201896667,0.22068053483963013
massachusetts,0.18341512978076935,0.2026740461587906,0.0665518194437027,0.22518488764762878,0.2124670445919037,0.2158079743385315,0.23529985547065735,0.13685078918933868
bay,0.20251236855983734,0.13978376984596252,0.12418032437562943,0.15862606465816498,0.13166198134422302,0.20480380952358246,0.12093910574913025,0.10773546993732452
colony,0.26261213421821594,0.23520797491073608,0.12754878401756287,0.27651169896125793,0.2586214244365692,0.2552715241909027,0.19971419870853424,0.13831071555614471
.,0.3567904531955719,0.20656518638134003,0.22968827188014984,0.4645031690597534,0.2340429127216339,0.5352458953857422,0.24214158952236176,0.4130953550338745
