,the,v,&,a,'s,youth,outreach,programme,was,a,hallmark,of,whose,directorship,?
this,0.6274310946464539,0.20022960007190704,0.10073830187320709,0.5422310829162598,0.02106832154095173,0.1324101984500885,0.3176080882549286,0.21671327948570251,0.3638818562030792,0.5422310829162598,0.19543012976646423,0.45148900151252747,0.28317323327064514,0.31492990255355835,0.3155723512172699
innovative,0.2686367630958557,0.1437264233827591,0.1083393469452858,0.3301420509815216,0.002265065908432007,0.2700653076171875,0.341933012008667,0.2966611683368683,0.22998164594173431,0.3301420509815216,0.3108876347541809,0.2950780689716339,0.26793551445007324,0.3240596055984497,0.20593076944351196
approach,0.1999826431274414,0.12969230115413666,0.0823565125465393,0.2336270660161972,-0.010854327119886875,0.13782857358455658,0.2749171853065491,0.16898544132709503,0.16375517845153809,0.2336270660161972,0.1022891104221344,0.20773443579673767,0.12650711834430695,0.19067947566509247,0.181949645280838
to,0.535392165184021,0.2109750658273697,0.1254875510931015,0.45503583550453186,0.03782717138528824,0.1984357386827469,0.33166491985321045,0.22052034735679626,0.3636345863342285,0.45503583550453186,0.15240205824375153,0.41548454761505127,0.320825457572937,0.27819207310676575,0.29463258385658264
bringing,0.34507453441619873,0.07998628169298172,0.16697287559509277,0.27043405175209045,-0.0018476221011951566,0.21715247631072998,0.31087371706962585,0.19863173365592957,0.26694273948669434,0.27043405175209045,0.13920484483242035,0.3194589614868164,0.193232923746109,0.18703658878803253,0.24553225934505463
young,0.2729646563529968,0.1391567587852478,0.13613374531269073,0.2628135085105896,0.03587031736969948,0.39064645767211914,0.21180962026119232,0.25429198145866394,0.2406257688999176,0.2628135085105896,0.22897809743881226,0.28555598855018616,0.31300821900367737,0.13082323968410492,0.14931946992874146
people,0.36838498711586,0.12140196561813354,0.05482574179768562,0.3483705520629883,0.023582622408866882,0.21191729605197906,0.16931965947151184,0.20676688849925995,0.2518421411514282,0.3483705520629883,0.13564348220825195,0.3251037895679474,0.10696834325790405,0.24084119498729706,0.23739641904830933
to,0.535392165184021,0.2109750658273697,0.1254875510931015,0.45503583550453186,0.03782717138528824,0.1984357386827469,0.33166491985321045,0.22052034735679626,0.3636345863342285,0.45503583550453186,0.15240205824375153,0.41548454761505127,0.320825457572937,0.27819207310676575,0.29463258385658264
museums,0.2721219062805176,0.06722526252269745,0.12313621491193771,0.12684829533100128,-0.033785928040742874,0.17792759835720062,0.3238069415092468,0.1978777050971985,0.17075610160827637,0.12684829533100128,0.20917829871177673,0.2631984055042267,0.1037372350692749,0.2927851676940918,0.1374243199825287
was,0.48711544275283813,0.16128918528556824,0.12134000658988953,0.4508470594882965,0.008974763564765453,0.2383287101984024,0.173769012093544,0.23988407850265503,1.0000001192092896,0.4508470594882965,0.16962410509586334,0.4069072902202606,0.2162860482931137,0.3367150127887726,0.18412111699581146
a,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.04866964742541313,0.20697152614593506,0.18928001821041107,0.22703689336776733,0.4508470594882965,1.0,0.2547241449356079,0.5052502155303955,0.3225097060203552,0.22805413603782654,0.23916715383529663
hallmark,0.29675358533859253,0.12158001959323883,0.261191725730896,0.2547241449356079,0.0032339836470782757,0.1464199423789978,0.19377698004245758,0.27901238203048706,0.16962410509586334,0.2547241449356079,1.0,0.21388192474842072,0.1965307593345642,0.1648344248533249,0.15239053964614868
of,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,-0.03817026689648628,0.2297523021697998,0.26800617575645447,0.18707643449306488,0.4069072902202606,0.5052502155303955,0.21388192474842072,1.0,0.37058958411216736,0.2534966468811035,0.1826142966747284
the,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,-0.01540423184633255,0.26209625601768494,0.2691081166267395,0.23601844906806946,0.48711544275283813,0.5829201340675354,0.29675358533859253,0.733189046382904,0.38253846764564514,0.28904661536216736,0.22068053483963013
directorship,0.28904661536216736,0.16054581105709076,0.13561749458312988,0.22805413603782654,-0.02076663449406624,0.2444760948419571,0.395320862531662,0.2580718696117401,0.3367150127887726,0.22805413603782654,0.1648344248533249,0.2534966468811035,0.18479222059249878,0.9999999403953552,0.18586194515228271
of,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,-0.03817026689648628,0.2297523021697998,0.26800617575645447,0.18707643449306488,0.4069072902202606,0.5052502155303955,0.21388192474842072,1.0,0.37058958411216736,0.2534966468811035,0.1826142966747284
roy,0.1859140545129776,0.10640788823366165,0.16253331303596497,0.2584960162639618,0.06181887164711952,0.1681773066520691,0.18030902743339539,0.1493040919303894,0.2787262499332428,0.2584960162639618,0.26585689187049866,0.19417300820350647,0.10188603401184082,0.158782497048378,0.18236976861953735
strong,0.22482411563396454,0.1310308575630188,0.07684438675642014,0.3321513831615448,0.08512471616268158,0.24494892358779907,0.1325758397579193,0.09851225465536118,0.21312883496284485,0.3321513831615448,0.20549632608890533,0.2524286210536957,0.20370057225227356,0.1206660345196724,0.11990999430418015
and,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.06895173341035843,0.2684251070022583,0.3152272701263428,0.23106320202350616,0.3740963041782379,0.3739250600337982,0.28241920471191406,0.5116966962814331,0.3339773118495941,0.27176934480667114,0.20544172823429108
was,0.48711544275283813,0.16128918528556824,0.12134000658988953,0.4508470594882965,0.008974763564765453,0.2383287101984024,0.173769012093544,0.23988407850265503,1.0000001192092896,0.4508470594882965,0.16962410509586334,0.4069072902202606,0.2162860482931137,0.3367150127887726,0.18412111699581146
subsequently,0.2886511981487274,0.05674309656023979,0.10604491084814072,0.1586967557668686,-0.034401413053274155,0.07617068290710449,0.1606859564781189,0.17895889282226562,0.3486802279949188,0.1586967557668686,0.13331390917301178,0.19330023229122162,0.1336216777563095,0.23600266873836517,0.005594457965344191
emulated,0.2192583680152893,0.07834674417972565,0.1240467056632042,0.23950737714767456,0.030028225854039192,0.14518968760967255,0.25134116411209106,0.25426116585731506,0.24618028104305267,0.23950737714767456,0.156198188662529,0.1977018266916275,0.24389414489269257,0.2263476848602295,0.14874443411827087
by,0.4408751428127289,0.11988817155361176,0.17475149035453796,0.32094135880470276,-0.010884488001465797,0.16631314158439636,0.1839696168899536,0.20501865446567535,0.4752357602119446,0.32094135880470276,0.23827745020389557,0.3646814823150635,0.3384193778038025,0.2955426573753357,0.17966607213020325
some,0.4566698372364044,0.11668027937412262,0.13739584386348724,0.34539633989334106,0.056411296129226685,0.19507910311222076,0.2990171015262604,0.17887036502361298,0.21528802812099457,0.34539633989334106,0.23365825414657593,0.4300730526447296,0.34357425570487976,0.2285086065530777,0.2562315762042999
other,0.44152235984802246,0.11888202279806137,0.14744198322296143,0.2806335389614105,0.04445967823266983,0.21082526445388794,0.3422177731990814,0.12777607142925262,0.14651623368263245,0.2806335389614105,0.21281510591506958,0.38583824038505554,0.30907049775123596,0.2612890303134918,0.24682199954986572
british,0.28973397612571716,0.1269635409116745,0.14896833896636963,0.1984395682811737,0.06352180242538452,0.11896879971027374,0.2413531392812729,0.2723426818847656,0.31934812664985657,0.1984395682811737,0.24401772022247314,0.23701532185077667,0.174232617020607,0.2429959923028946,0.09711728990077972
museums,0.2721219062805176,0.06722526252269745,0.12313621491193771,0.12684829533100128,-0.033785928040742874,0.17792759835720062,0.3238069415092468,0.1978777050971985,0.17075610160827637,0.12684829533100128,0.20917829871177673,0.2631984055042267,0.1037372350692749,0.2927851676940918,0.1374243199825287
.,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,-0.003708066651597619,0.20751601457595825,0.3116515278816223,0.15567724406719208,0.40146201848983765,0.50484299659729,0.25908640027046204,0.5352458953857422,0.2718997597694397,0.22640401124954224,0.4130953550338745
