,a,function,problem,is,an,example,of,what,?
a,1.0,0.20934805274009705,0.2605542540550232,0.658733606338501,0.44552403688430786,0.40234753489494324,0.5052502155303955,0.3320399522781372,0.23916715383529663
function,0.20934805274009705,1.0,0.33479827642440796,0.17586156725883484,0.15086998045444489,0.34200519323349,0.16667552292346954,0.22155974805355072,0.20672395825386047
problem,0.2605542540550232,0.33479827642440796,1.0,0.23238427937030792,0.21292734146118164,0.3561607897281647,0.20464475452899933,0.42183366417884827,0.3762950301170349
is,0.658733606338501,0.17586156725883484,0.23238427937030792,1.0,0.4654068350791931,0.36737263202667236,0.4854315221309662,0.28837618231773376,0.22961433231830597
a,1.0,0.20934805274009705,0.2605542540550232,0.658733606338501,0.44552403688430786,0.40234753489494324,0.5052502155303955,0.3320399522781372,0.23916715383529663
computational,0.29858994483947754,0.3859413266181946,0.41473615169525146,0.2470806986093521,0.19987577199935913,0.35836201906204224,0.2832651138305664,0.29464593529701233,0.21617397665977478
problem,0.2605542540550232,0.33479827642440796,1.0,0.23238427937030792,0.21292734146118164,0.3561607897281647,0.20464475452899933,0.42183366417884827,0.3762950301170349
where,0.40997210144996643,0.1907852292060852,0.291713684797287,0.3586711287498474,0.24824833869934082,0.3688216209411621,0.38066378235816956,0.4457937180995941,0.24793872237205505
a,1.0,0.20934805274009705,0.2605542540550232,0.658733606338501,0.44552403688430786,0.40234753489494324,0.5052502155303955,0.3320399522781372,0.23916715383529663
single,0.3884310722351074,0.19066008925437927,0.14734309911727905,0.27151715755462646,0.20847202837467194,0.1865626573562622,0.22455744445323944,0.24458327889442444,0.2151121199131012
output,0.17850732803344727,0.3839699625968933,0.24181972444057465,0.2423316091299057,0.1526559591293335,0.3369172513484955,0.15243679285049438,0.25545787811279297,0.16760045289993286
(,0.3206180930137634,0.25402042269706726,0.1944350153207779,0.35393038392066956,0.286407470703125,0.23614145815372467,0.35032153129577637,0.2411840260028839,0.40561532974243164
of,0.5052502155303955,0.16667552292346954,0.20464475452899933,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.33290785551071167,0.1826142966747284
a,1.0,0.20934805274009705,0.2605542540550232,0.658733606338501,0.44552403688430786,0.40234753489494324,0.5052502155303955,0.3320399522781372,0.23916715383529663
total,0.20922091603279114,0.11704576015472412,0.12327253073453903,0.18159881234169006,0.1526704579591751,0.11151807755231857,0.29045331478118896,0.19850242137908936,0.14396025240421295
function,0.20934805274009705,1.0,0.33479827642440796,0.17586156725883484,0.15086998045444489,0.34200519323349,0.16667552292346954,0.22155974805355072,0.20672395825386047
),0.3640355169773102,0.24718981981277466,0.20261481404304504,0.37732169032096863,0.2873353958129883,0.26101627945899963,0.3680361211299896,0.26259949803352356,0.42300865054130554
is,0.658733606338501,0.17586156725883484,0.23238427937030792,1.0,0.4654068350791931,0.36737263202667236,0.4854315221309662,0.28837618231773376,0.22961433231830597
expected,0.309760719537735,0.20972447097301483,0.26637083292007446,0.20087631046772003,0.22516606748104095,0.25984281301498413,0.26944905519485474,0.3720298707485199,0.19474582374095917
for,0.44038116931915283,0.22728246450424194,0.2661307752132416,0.43268078565597534,0.3236706852912903,0.45665353536605835,0.4185989499092102,0.3017193675041199,0.264628142118454
every,0.43930745124816895,0.25658196210861206,0.2754577696323395,0.3428492546081543,0.2707444429397583,0.3201913833618164,0.3414052724838257,0.30284011363983154,0.24066033959388733
input,0.20009170472621918,0.4125753343105316,0.2680823802947998,0.2170686423778534,0.20624928176403046,0.24584804475307465,0.13291659951210022,0.2844698429107666,0.24861721694469452
",",0.427140474319458,0.18487244844436646,0.23938199877738953,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.3087472915649414,0.31091248989105225
but,0.44750767946243286,0.24084661900997162,0.4038695693016052,0.4106791317462921,0.27760404348373413,0.39983898401260376,0.39942997694015503,0.5029441118240356,0.27921953797340393
the,0.5829201340675354,0.2037137746810913,0.24928659200668335,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.42745697498321533,0.22068053483963013
output,0.17850732803344727,0.3839699625968933,0.24181972444057465,0.2423316091299057,0.1526559591293335,0.3369172513484955,0.15243679285049438,0.25545787811279297,0.16760045289993286
is,0.658733606338501,0.17586156725883484,0.23238427937030792,1.0,0.4654068350791931,0.36737263202667236,0.4854315221309662,0.28837618231773376,0.22961433231830597
more,0.3452818691730499,0.20834574103355408,0.3073251247406006,0.2946030795574188,0.316240519285202,0.35535088181495667,0.30478984117507935,0.3484537899494171,0.27894994616508484
complex,0.26552852988243103,0.30114975571632385,0.33565452694892883,0.2723233699798584,0.20319058001041412,0.32708874344825745,0.24271073937416077,0.2605343163013458,0.17752902209758759
than,0.3126874566078186,0.22723710536956787,0.28667381405830383,0.2839990258216858,0.2493579238653183,0.3422342538833618,0.33036211133003235,0.29388150572776794,0.24917294085025787
that,0.47537946701049805,0.2751213610172272,0.4416671693325043,0.3995479643344879,0.365763783454895,0.429897665977478,0.41498205065727234,0.6297725439071655,0.32716336846351624
of,0.5052502155303955,0.16667552292346954,0.20464475452899933,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.33290785551071167,0.1826142966747284
a,1.0,0.20934805274009705,0.2605542540550232,0.658733606338501,0.44552403688430786,0.40234753489494324,0.5052502155303955,0.3320399522781372,0.23916715383529663
decision,0.24091263115406036,0.13022024929523468,0.31341657042503357,0.2514069080352783,0.1716570407152176,0.20591168105602264,0.2331373691558838,0.32053670287132263,0.2796577215194702
problem,0.2605542540550232,0.33479827642440796,1.0,0.23238427937030792,0.21292734146118164,0.3561607897281647,0.20464475452899933,0.42183366417884827,0.3762950301170349
",",0.427140474319458,0.18487244844436646,0.23938199877738953,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.3087472915649414,0.31091248989105225
that,0.47537946701049805,0.2751213610172272,0.4416671693325043,0.3995479643344879,0.365763783454895,0.429897665977478,0.41498205065727234,0.6297725439071655,0.32716336846351624
is,0.658733606338501,0.17586156725883484,0.23238427937030792,1.0,0.4654068350791931,0.36737263202667236,0.4854315221309662,0.28837618231773376,0.22961433231830597
",",0.427140474319458,0.18487244844436646,0.23938199877738953,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.3087472915649414,0.31091248989105225
it,0.5452592968940735,0.2046748548746109,0.296018123626709,0.6328473687171936,0.39472338557243347,0.33693674206733704,0.38761502504348755,0.45803478360176086,0.25732165575027466
is,0.658733606338501,0.17586156725883484,0.23238427937030792,1.0,0.4654068350791931,0.36737263202667236,0.4854315221309662,0.28837618231773376,0.22961433231830597
n't,0.013574101030826569,0.01505054160952568,-0.08322153985500336,0.028099019080400467,0.07694102823734283,-0.07179015874862671,-0.021397603675723076,-0.07036374509334564,0.07068326324224472
just,0.47693389654159546,0.21002955734729767,0.35045257210731506,0.369599312543869,0.29024219512939453,0.348143994808197,0.35124439001083374,0.5854880809783936,0.4144178032875061
yes,0.21635428071022034,0.2071215659379959,0.31176358461380005,0.16542133688926697,0.12443104386329651,0.18657921254634857,0.09911797195672989,0.35806095600128174,0.3918913006782532
or,0.48853766918182373,0.3191862404346466,0.29821720719337463,0.41870999336242676,0.3096676766872406,0.5192843675613403,0.3792596757411957,0.33867141604423523,0.32389625906944275
no,0.26280897855758667,0.2121964544057846,0.34181922674179077,0.19581134617328644,0.19335412979125977,0.22094443440437317,0.24809792637825012,0.339326947927475,0.32165053486824036
.,0.50484299659729,0.253307044506073,0.22562150657176971,0.4569662809371948,0.3581749200820923,0.41217929124832153,0.5352458953857422,0.3567904531955719,0.4130953550338745
