,who,is,currently,the,president,of,the,council,?
it,0.2868398427963257,0.6328473687171936,0.2645350694656372,0.6251175999641418,0.20577441155910492,0.38761502504348755,0.6251175999641418,0.21568971872329712,0.25732165575027466
meets,0.23571878671646118,0.332111120223999,0.26912009716033936,0.28454074263572693,0.15287059545516968,0.22480133175849915,0.28454074263572693,0.2186029702425003,0.16143257915973663
each,0.27337536215782166,0.2954041659832001,0.19868072867393494,0.470844566822052,0.09665662795305252,0.38460010290145874,0.470844566822052,0.22659198939800262,0.21173812448978424
six,0.19475196301937103,0.20925110578536987,0.20601065456867218,0.3614266812801361,0.15407484769821167,0.3317931592464447,0.3614266812801361,0.1898677945137024,0.15298804640769958
months,0.2560766637325287,0.20294976234436035,0.24075694382190704,0.2680157423019409,0.2209913283586502,0.22298860549926758,0.2680157423019409,0.12655211985111237,0.2804218530654907
and,0.41279885172843933,0.3859752118587494,0.2922934591770172,0.5171257257461548,0.23286236822605133,0.5116966962814331,0.5171257257461548,0.25117602944374084,0.20544172823429108
its,0.1326070874929428,0.4447362422943115,0.19933556020259857,0.559237003326416,0.1704227179288864,0.48690423369407654,0.559237003326416,0.21807712316513062,0.15103481709957123
president,0.22565458714962006,0.15443938970565796,0.17231957614421844,0.24330610036849976,1.0000001192092896,0.21610750257968903,0.24330610036849976,0.2747114896774292,0.14148259162902832
(,0.2443375140428543,0.35393038392066956,0.25274062156677246,0.33289089798927307,0.2037333846092224,0.35032153129577637,0.33289089798927307,0.18431222438812256,0.40561532974243164
currently,0.3362814784049988,0.4011616110801697,1.0000001192092896,0.2945235073566437,0.17231957614421844,0.2655649185180664,0.2945235073566437,0.13459141552448273,0.1861555278301239
former,0.25351381301879883,0.2175939530134201,0.2928127348423004,0.2251449078321457,0.36106765270233154,0.30415382981300354,0.2251449078321457,0.166977658867836,0.10570605844259262
poland,0.16356982290744781,0.13666775822639465,0.11467781662940979,0.24871079623699188,0.20415721833705902,0.26632049679756165,0.24871079623699188,0.23258467018604279,0.14259830117225647
prime,0.16031751036643982,0.16680827736854553,0.1532306969165802,0.19960100948810577,0.4275011718273163,0.23935265839099884,0.19960100948810577,0.16689655184745789,0.11276303976774216
minister,0.18775032460689545,0.15245889127254486,0.12791746854782104,0.19297581911087036,0.4795275330543518,0.23343199491500854,0.19297581911087036,0.26279160380363464,0.10825661569833755
donald,0.21757657825946808,0.14618076384067535,0.11392474174499512,0.23587575554847717,0.27204737067222595,0.19945606589317322,0.23587575554847717,0.14441931247711182,0.10101330280303955
tusk,0.14911188185214996,0.19978046417236328,0.15939830243587494,0.205601304769516,0.31564459204673767,0.17828330397605896,0.205601304769516,0.15821616351604462,0.1655486822128296
),0.2457384318113327,0.37732169032096863,0.24783915281295776,0.3456730246543884,0.1912459284067154,0.3680361211299896,0.3456730246543884,0.16722021996974945,0.42300865054130554
is,0.24293622374534607,1.0,0.4011616110801697,0.5823672413825989,0.15443938970565796,0.4854315221309662,0.5823672413825989,0.2196589708328247,0.22961433231830597
meant,0.27816009521484375,0.24975553154945374,0.1337701678276062,0.34852901101112366,0.13255077600479126,0.2713906168937683,0.34852901101112366,0.15735509991645813,0.28817421197891235
to,0.42656609416007996,0.42745086550712585,0.2719990611076355,0.535392165184021,0.21247753500938416,0.41548454761505127,0.535392165184021,0.23829470574855804,0.29463258385658264
'drive,0.22368121147155762,0.23388510942459106,0.22811251878738403,0.22746865451335907,0.10199643671512604,0.19702814519405365,0.22746865451335907,0.09180032461881638,0.18274426460266113
forward,0.19123412668704987,0.20026402175426483,0.3068258464336395,0.2383665293455124,0.11622695624828339,0.17140159010887146,0.2383665293455124,0.07967906445264816,0.19862937927246094
its,0.1326070874929428,0.4447362422943115,0.19933556020259857,0.559237003326416,0.1704227179288864,0.48690423369407654,0.559237003326416,0.21807712316513062,0.15103481709957123
work,0.3146236836910248,0.22475390136241913,0.21183350682258606,0.2704800069332123,0.13244125247001648,0.23473061621189117,0.2704800069332123,0.11582019925117493,0.2621155381202698
',0.22534559667110443,0.5508411526679993,0.28079095482826233,0.474788099527359,0.20879510045051575,0.39136970043182373,0.474788099527359,0.167315274477005,0.330942302942276
",",0.3365725874900818,0.4691906273365021,0.33041635155677795,0.4933079481124878,0.26552814245224,0.4946078956127167,0.4933079481124878,0.23820561170578003,0.31091248989105225
but,0.4487357437610626,0.4106791317462921,0.3229897618293762,0.4859698414802551,0.16334708034992218,0.39942997694015503,0.4859698414802551,0.21318432688713074,0.27921953797340393
it,0.2868398427963257,0.6328473687171936,0.2645350694656372,0.6251175999641418,0.20577441155910492,0.38761502504348755,0.6251175999641418,0.21568971872329712,0.25732165575027466
does,0.25013914704322815,0.4403602182865143,0.2973312437534332,0.35928019881248474,0.1396462619304657,0.3119818866252899,0.35928019881248474,0.13735659420490265,0.338003009557724
not,0.369414746761322,0.3776007890701294,0.2765085697174072,0.4310511648654938,0.12908896803855896,0.3307090103626251,0.4310511648654938,0.16596728563308716,0.41942933201789856
itself,0.1538408249616623,0.3638126254081726,0.19487521052360535,0.45971640944480896,0.13913089036941528,0.3157202899456024,0.45971640944480896,0.2110263556241989,0.17933900654315948
'legislative,0.1923467069864273,0.21086756885051727,0.2460309863090515,0.27931252121925354,0.35248488187789917,0.346204549074173,0.27931252121925354,0.4182285666465759,0.1745823174715042
functions,0.126784086227417,0.1740858554840088,0.14109893143177032,0.2567043900489807,0.09158056229352951,0.2328059822320938,0.2567043900489807,0.2383912354707718,0.13745930790901184
',0.22534559667110443,0.5508411526679993,0.28079095482826233,0.474788099527359,0.20879510045051575,0.39136970043182373,0.474788099527359,0.167315274477005,0.330942302942276
.,0.3541337847709656,0.4569662809371948,0.29744869470596313,0.5934505462646484,0.26255303621292114,0.5352458953857422,0.5934505462646484,0.2314436286687851,0.4130953550338745
