,recent,studies,believe,that,ctenophores,are,the,sister,lineage,to,what,?
several,0.3320761024951935,0.2183009684085846,0.23261725902557373,0.40009650588035583,0.19905151426792145,0.4241659343242645,0.40559855103492737,0.18254445493221283,0.12919193506240845,0.36196985840797424,0.22446060180664062,0.15595775842666626
more,0.4081309139728546,0.20077383518218994,0.3177433907985687,0.4813884496688843,0.22139282524585724,0.4066504240036011,0.39758381247520447,0.17597459256649017,0.1656648814678192,0.47084665298461914,0.3484537899494171,0.27894994616508484
recent,1.0,0.2874424457550049,0.29071593284606934,0.3408474624156952,0.27401962876319885,0.2818499803543091,0.31046223640441895,0.14760345220565796,0.2827965021133423,0.31205716729164124,0.24256184697151184,0.2544887959957123
studies,0.2874424457550049,0.9999998807907104,0.2069040834903717,0.26255905628204346,0.34516263008117676,0.2574615776538849,0.22738903760910034,0.18284884095191956,0.31484371423721313,0.27655282616615295,0.18772079050540924,0.1388726830482483
comparing,0.34404194355010986,0.32884225249290466,0.300553560256958,0.3688344955444336,0.2792089879512787,0.32263070344924927,0.27811378240585327,0.21439683437347412,0.23382556438446045,0.26591500639915466,0.37788718938827515,0.26404500007629395
complete,0.2768917381763458,0.20210129022598267,0.1654207706451416,0.30512917041778564,0.2397429347038269,0.18877997994422913,0.277624249458313,0.12250538170337677,0.2624153196811676,0.26479288935661316,0.29213884472846985,0.11962060630321503
sequenced,0.28862857818603516,0.2186586856842041,0.20825624465942383,0.3085562288761139,0.38626283407211304,0.23814839124679565,0.2043665200471878,0.17330867052078247,0.34375694394111633,0.18497569859027863,0.20011325180530548,0.16787222027778625
genomes,0.3337530791759491,0.40810585021972656,0.18854482471942902,0.27655360102653503,0.5478963255882263,0.3146449327468872,0.19961972534656525,0.16023437678813934,0.4332726001739502,0.20878541469573975,0.1847236007452011,0.16896258294582367
of,0.2896444797515869,0.26975658535957336,0.2925758957862854,0.41498205065727234,0.2626190483570099,0.39081433415412903,0.733189046382904,0.14279574155807495,0.22792929410934448,0.41548454761505127,0.33290785551071167,0.1826142966747284
ctenophores,0.27401962876319885,0.34516263008117676,0.21684949100017548,0.3005664348602295,1.0,0.35426098108291626,0.2543465793132782,0.14015570282936096,0.4497891962528229,0.2038351595401764,0.2505159080028534,0.2054179310798645
with,0.2035779356956482,0.17316602170467377,0.2392634004354477,0.4154358208179474,0.17838598787784576,0.38996943831443787,0.4223487675189972,0.22464367747306824,0.11556816846132278,0.4239959120750427,0.2464839518070221,0.2433311939239502
other,0.25040435791015625,0.2451627403497696,0.30454155802726746,0.5570666193962097,0.2790910303592682,0.5932393670082092,0.44152235984802246,0.2898707389831543,0.16663114726543427,0.4193183183670044,0.341873437166214,0.24682199954986572
sequenced,0.28862857818603516,0.2186586856842041,0.20825624465942383,0.3085562288761139,0.38626283407211304,0.23814839124679565,0.2043665200471878,0.17330867052078247,0.34375694394111633,0.18497569859027863,0.20011325180530548,0.16787222027778625
animal,0.14465074241161346,0.18300648033618927,0.15244409441947937,0.20606283843517303,0.38269752264022827,0.21151986718177795,0.2502762973308563,0.08795365691184998,0.24502447247505188,0.18854594230651855,0.2420092225074768,0.13991324603557587
genomes,0.3337530791759491,0.40810585021972656,0.18854482471942902,0.27655360102653503,0.5478963255882263,0.3146449327468872,0.19961972534656525,0.16023437678813934,0.4332726001739502,0.20878541469573975,0.1847236007452011,0.16896258294582367
have,0.431756854057312,0.29284238815307617,0.4710240960121155,0.6182622313499451,0.3612369894981384,0.6577680706977844,0.40389683842658997,0.16770164668560028,0.21282915771007538,0.4544740617275238,0.39808809757232666,0.32991164922714233
also,0.34412479400634766,0.2999013364315033,0.37320855259895325,0.6005857586860657,0.2624460756778717,0.4565894305706024,0.6021018624305725,0.20688854157924652,0.21526849269866943,0.5348826050758362,0.42747777700424194,0.21848613023757935
