,in,the,1980s,",",what,cable,sports,channel,did,abc,purchase,?
in,1.0,0.6662389636039734,0.03401865437626839,0.5201468467712402,0.30808621644973755,0.17584200203418732,0.27591386437416077,0.210372194647789,0.2593238651752472,0.1697147786617279,0.18969708681106567,0.20430970191955566
the,0.6662389636039734,1.0,0.07890266180038452,0.4933079481124878,0.42745697498321533,0.2599749267101288,0.20313861966133118,0.2860044836997986,0.34736719727516174,0.2068762183189392,0.242343470454216,0.22068053483963013
1980s,0.03401865437626839,0.07890266180038452,1.0,0.012025163508951664,-0.06585196405649185,0.17194998264312744,0.08250634372234344,0.11075235158205032,-0.09640773385763168,0.07557179033756256,0.27973005175590515,-0.0718669518828392
",",0.5201468467712402,0.4933079481124878,0.012025163508951664,1.0000001192092896,0.3087472915649414,0.19718225300312042,0.2693314254283905,0.18730267882347107,0.3015086054801941,0.2097204476594925,0.220005065202713,0.31091248989105225
after,0.44050168991088867,0.4565047025680542,-0.07435359060764313,0.38860568404197693,0.21973377466201782,0.1113135814666748,0.1227424144744873,0.15679383277893066,0.30330467224121094,0.20314010977745056,0.15321393311023712,0.16608688235282898
purchasing,0.1874041110277176,0.2221633493900299,0.29870501160621643,0.20392155647277832,0.23366789519786835,0.2585637867450714,0.17363664507865906,0.11249082535505295,0.20166154205799103,0.24353715777397156,0.7789840698242188,0.13069698214530945
an,0.2605783939361572,0.4207492768764496,-0.006446592044085264,0.3581022024154663,0.2821882665157318,0.20393092930316925,0.1218428686261177,0.15965904295444489,0.22598257660865784,0.16561369597911835,0.2121904343366623,0.19793890416622162
80,-0.03062376379966736,0.003630283521488309,0.08129075914621353,-0.025897033512592316,0.04945533350110054,0.015333889983594418,-0.003846598556265235,-0.016610320657491684,0.012174745090305805,-0.05825572833418846,-0.024677323177456856,0.04445207491517067
%,0.19465309381484985,0.21490740776062012,0.1728302240371704,0.22757403552532196,0.20738190412521362,0.10219477862119675,0.056847646832466125,0.17435628175735474,0.1450016051530838,0.061222776770591736,0.1369950920343399,0.21441808342933655
interest,0.27232617139816284,0.197127103805542,0.027414990589022636,0.2741461396217346,0.23849236965179443,0.09036136418581009,0.11961476504802704,0.10233243554830551,0.21788068115711212,0.1958511769771576,0.33437854051589966,0.2411724328994751
in,1.0,0.6662389636039734,0.03401865437626839,0.5201468467712402,0.30808621644973755,0.17584200203418732,0.27591386437416077,0.210372194647789,0.2593238651752472,0.1697147786617279,0.18969708681106567,0.20430970191955566
cable,0.17584200203418732,0.2599749267101288,0.17194998264312744,0.19718225300312042,0.14582780003547668,1.0000001192092896,0.2719135880470276,0.514900803565979,0.11801295727491379,0.3252342939376831,0.24165773391723633,0.13993921875953674
sports,0.27591386437416077,0.20313861966133118,0.08250634372234344,0.2693314254283905,0.13245077431201935,0.2719135880470276,0.9999999403953552,0.28665587306022644,0.12759751081466675,0.20410163700580597,0.19537244737148285,0.04557104781270027
channel,0.210372194647789,0.2860044836997986,0.11075235158205032,0.18730267882347107,0.20295917987823486,0.514900803565979,0.28665587306022644,0.9999999403953552,0.09007708728313446,0.4020179808139801,0.16837726533412933,0.20176179707050323
espn,0.12142056226730347,0.19345609843730927,0.028940638527274132,0.18262942135334015,0.20291002094745636,0.29979756474494934,0.4434240460395813,0.33431679010391235,0.16097742319107056,0.42660194635391235,0.17226213216781616,0.1709517240524292
",",0.5201468467712402,0.4933079481124878,0.012025163508951664,1.0000001192092896,0.3087472915649414,0.19718225300312042,0.2693314254283905,0.18730267882347107,0.3015086054801941,0.2097204476594925,0.220005065202713,0.31091248989105225
the,0.6662389636039734,1.0,0.07890266180038452,0.4933079481124878,0.42745697498321533,0.2599749267101288,0.20313861966133118,0.2860044836997986,0.34736719727516174,0.2068762183189392,0.242343470454216,0.22068053483963013
network,0.19496823847293854,0.27187061309814453,0.14011655747890472,0.1932937651872635,0.16917307674884796,0.5700490474700928,0.20757855474948883,0.4945397973060608,0.08572790026664734,0.4295894205570221,0.1903052031993866,0.17853789031505585
's,-0.037580832839012146,-0.01540423184633255,0.1363120675086975,-0.0016132977325469255,0.02692362666130066,0.07009196281433105,0.038657430559396744,0.10094652324914932,0.05069678649306297,0.06670809537172318,0.08398998528718948,-0.023395681753754616
parent,0.15339559316635132,0.2354632169008255,0.09684117138385773,0.23819732666015625,0.2041042447090149,0.2627605199813843,0.2095688283443451,0.15399426221847534,0.10150361806154251,0.21705441176891327,0.2587748169898987,0.19855059683322906
merged,0.20397168397903442,0.22961698472499847,0.18740299344062805,0.2192392498254776,0.13653609156608582,0.09855090081691742,0.2175016850233078,0.12751832604408264,0.156179741024971,0.0735054463148117,0.19080686569213867,0.16063673794269562
with,0.4080928862094879,0.4223487675189972,0.04422835260629654,0.4120737314224243,0.2464839518070221,0.20673611760139465,0.17335014045238495,0.17526158690452576,0.25472134351730347,0.17432008683681488,0.20768877863883972,0.2433311939239502
capital,0.3233928978443146,0.3049491047859192,0.12939603626728058,0.28033894300460815,0.17967931926250458,0.1677466779947281,0.1886516809463501,0.11486177891492844,0.08427972346544266,0.2084534764289856,0.1728711724281311,0.0907452180981636
cities,0.32293570041656494,0.2621172070503235,0.11712931096553802,0.31927579641342163,0.161918506026268,0.1860586702823639,0.24029949307441711,0.13566717505455017,0.13977929949760437,0.124558225274086,0.17053554952144623,0.13339310884475708
communications,0.1869867891073227,0.2746332883834839,0.16614581644535065,0.26378148794174194,0.18950708210468292,0.4981203079223633,0.2516712546348572,0.3549152612686157,0.18106533586978912,0.25629571080207825,0.3054731488227844,0.09561901539564133
",",0.5201468467712402,0.4933079481124878,0.012025163508951664,1.0000001192092896,0.3087472915649414,0.19718225300312042,0.2693314254283905,0.18730267882347107,0.3015086054801941,0.2097204476594925,0.220005065202713,0.31091248989105225
