,what,was,the,percentage,of,whit,people,in,fresno,in,2010,?
the,0.42745697498321533,0.48711544275283813,1.0,0.2736506462097168,0.733189046382904,0.25815150141716003,0.36838498711586,0.6662389636039734,0.22571885585784912,0.6662389636039734,0.31722962856292725,0.22068053483963013
racial,0.20982670783996582,0.20749056339263916,0.21064363420009613,0.2325940579175949,0.2396208494901657,0.17926044762134552,0.29471778869628906,0.2016519159078598,0.21812303364276886,0.2016519159078598,0.3001973628997803,0.13234834372997284
makeup,0.1628796011209488,0.19903339445590973,0.2449272722005844,0.22602666914463043,0.24602575600147247,0.11015133559703827,0.2983430027961731,0.23974141478538513,0.1863396316766739,0.23974141478538513,0.20294934511184692,0.16080723702907562
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24724560976028442,1.0,0.14527790248394012,0.3251037895679474,0.5696388483047485,0.1875009983778,0.5696388483047485,0.26419875025749207,0.1826142966747284
fresno,0.159109428524971,0.2749030292034149,0.22571885585784912,0.12458804249763489,0.1875009983778,0.2229975461959839,0.20639443397521973,0.26126348972320557,1.0000001192092896,0.26126348972320557,0.12794002890586853,0.13224096596240997
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.12115965038537979,0.4069072902202606,0.21841147541999817,0.2518421411514282,0.45514053106307983,0.2749030292034149,0.45514053106307983,0.23825319111347198,0.18412111699581146
"245,306",-0.009175540879368782,0.06461523473262787,-0.010975522920489311,0.22936078906059265,0.019714733585715294,-0.10120756924152374,0.05134423449635506,0.0006404128507710993,0.06349658221006393,0.0006404128507710993,-0.0313538983464241,0.07214553654193878
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.15512096881866455,0.35032153129577637,0.2400972545146942,0.17817604541778564,0.3087427020072937,0.188642680644989,0.3087427020072937,0.08905135095119476,0.40561532974243164
49.6,0.165810689330101,-0.095473513007164,0.1396792232990265,0.09830593317747116,0.09014642238616943,0.046466175466775894,0.12073970586061478,0.05657079070806503,0.021388713270425797,0.05657079070806503,0.11573996394872665,0.23727431893348694
%,0.20738190412521362,0.11743833869695663,0.21490740776062012,0.5639340281486511,0.19953428208827972,0.16507233679294586,0.26192399859428406,0.19465309381484985,0.16213113069534302,0.19465309381484985,0.26349833607673645,0.21441808342933655
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.18347817659378052,0.3680361211299896,0.2294929027557373,0.18634183704853058,0.3326910734176636,0.20478583872318268,0.3326910734176636,0.09984386712312698,0.42300865054130554
white,0.1410645991563797,0.17150278389453888,0.25492873787879944,0.24046577513217926,0.23826628923416138,0.5125552415847778,0.11149398982524872,0.1821274310350418,0.20274634659290314,0.1821274310350418,0.16832806169986725,0.124679796397686
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.21945469081401825,0.4946078956127167,0.3513672351837158,0.36644625663757324,0.5201468467712402,0.2561432421207428,0.5201468467712402,0.24006164073944092,0.31091248989105225
