,how,many,types,of,movements,do,euplokamis,tentilla,have,?
euplokamis,0.1814807653427124,0.2454914003610611,0.21461078524589539,0.28817805647850037,0.14634031057357788,0.17650941014289856,1.0000001192092896,0.3076454997062683,0.2882355749607086,0.29607975482940674
',0.18823795020580292,0.15973903238773346,0.13102254271507263,0.39136970043182373,0.14424242079257965,0.33874475955963135,0.27100834250450134,0.2465061992406845,0.2580406367778778,0.330942302942276
tentilla,0.1776447892189026,0.23415565490722656,0.17497670650482178,0.2974798381328583,0.17812056839466095,0.2045598179101944,0.3076454997062683,0.9999999403953552,0.22990447282791138,0.18873277306556702
have,0.4370637536048889,0.5841760635375977,0.3764505088329315,0.3802283704280853,0.24820584058761597,0.49831271171569824,0.2882355749607086,0.22990447282791138,0.9999999403953552,0.32991164922714233
three,0.23807744681835175,0.4501400589942932,0.2845081090927124,0.3844621181488037,0.1642330288887024,0.21283186972141266,0.2571900188922882,0.21466241776943207,0.3712083399295807,0.20928427577018738
types,0.3203487992286682,0.4814179539680481,1.0,0.2447618544101715,0.3659285008907318,0.26331692934036255,0.21461078524589539,0.17497670650482178,0.3764505088329315,0.1285012811422348
of,0.2480744868516922,0.37253960967063904,0.2447618544101715,1.0,0.24170123040676117,0.26150479912757874,0.28817805647850037,0.2974798381328583,0.3802283704280853,0.1826142966747284
movement,0.2090272754430771,0.24651534855365753,0.21597935259342194,0.2662941515445709,0.8651208281517029,0.14219339191913605,0.16724571585655212,0.17114709317684174,0.19237689673900604,0.1423349231481552
that,0.557814359664917,0.5391656160354614,0.3146487772464752,0.41498205065727234,0.29290005564689636,0.44533252716064453,0.2926565110683441,0.27271005511283875,0.6182622313499451,0.32716336846351624
are,0.311818927526474,0.5655534863471985,0.4691450595855713,0.39081433415412903,0.27053773403167725,0.41111594438552856,0.23751956224441528,0.29637789726257324,0.6577680706977844,0.24591213464736938
used,0.34819337725639343,0.38759201765060425,0.386074036359787,0.3075267970561981,0.26729732751846313,0.3054939806461334,0.1973092406988144,0.2309408038854599,0.3086531162261963,0.22430120408535004
in,0.2601168751716614,0.41474202275276184,0.18516337871551514,0.5696388483047485,0.23150597512722015,0.23402775824069977,0.29950281977653503,0.3086805045604706,0.36843645572662354,0.20430970191955566
capturing,0.14121554791927338,0.21330967545509338,0.10361044108867645,0.29810965061187744,0.17693966627120972,0.1671777367591858,0.23345957696437836,0.23309843242168427,0.15364031493663788,0.1290988177061081
prey,0.21643559634685516,0.23018111288547516,0.2313643991947174,0.16259106993675232,0.22395287454128265,0.1948252022266388,0.27506765723228455,0.20690420269966125,0.2883533239364624,0.15793472528457642
:,-0.11215605586767197,-0.10786184668540955,-0.10021550953388214,-0.08807745575904846,-0.0048154122196137905,-0.09021914005279541,-0.10334358364343643,-0.0327269583940506,-0.10825085639953613,-0.07156077772378922
they,0.43247655034065247,0.5400822758674622,0.34538209438323975,0.3426007330417633,0.2795546352863312,0.4667694866657257,0.2960568368434906,0.29527443647384644,0.6542890071868896,0.2753053903579712
may,0.22490409016609192,0.29758191108703613,0.23463654518127441,0.26447007060050964,0.20267626643180847,0.28230178356170654,0.274417906999588,0.1957210898399353,0.35194188356399536,0.2768254578113556
flick,0.19907021522521973,0.19858382642269135,0.121558278799057,0.16482974588871002,0.2102430760860443,0.18157559633255005,0.22141431272029877,0.1971408873796463,0.20162534713745117,0.19882431626319885
out,0.3963836133480072,0.3329806923866272,0.22804081439971924,0.34176841378211975,0.19923216104507446,0.30558764934539795,0.17917661368846893,0.27859458327293396,0.3612789809703827,0.22020699083805084
very,0.4865594804286957,0.519965410232544,0.290314644575119,0.34437474608421326,0.2719965875148773,0.2859450876712799,0.2491871863603592,0.22464267909526825,0.43513578176498413,0.20864155888557434
quickly,0.3508535623550415,0.340747594833374,0.21472252905368805,0.1989620476961136,0.2475714385509491,0.21756215393543243,0.2367039918899536,0.1567126363515854,0.31393736600875854,0.18131443858146667
(,0.1676948219537735,0.1455259770154953,0.12465982884168625,0.35032153129577637,0.12011530995368958,0.24216170608997345,0.24912728369235992,0.2583869695663452,0.23072676360607147,0.40561532974243164
in,0.2601168751716614,0.41474202275276184,0.18516337871551514,0.5696388483047485,0.23150597512722015,0.23402775824069977,0.29950281977653503,0.3086805045604706,0.36843645572662354,0.20430970191955566
40,0.03806556016206741,0.023672861978411674,-0.032557353377342224,-0.03308193385601044,-0.06926987320184708,0.0395042784512043,-0.003920526243746281,-0.01563406176865101,0.031185489147901535,0.010195288807153702
to,0.44169697165489197,0.40243685245513916,0.20054484903812408,0.41548454761505127,0.278380423784256,0.38876664638519287,0.27645692229270935,0.28106531500816345,0.4544740617275238,0.29463258385658264
60,0.12259688228368759,0.0015101747121661901,0.02489977329969406,0.05524682253599167,0.0590352788567543,-0.03852665424346924,0.07083546370267868,-0.0782390907406807,0.01954333484172821,0.06999651342630386
milliseconds,0.28201550245285034,0.19828049838542938,0.22492393851280212,0.18073739111423492,0.26705873012542725,0.18472039699554443,0.27324122190475464,0.16737301647663116,0.2857079803943634,0.20894421637058258
),0.17939934134483337,0.16602720320224762,0.11417452245950699,0.3680361211299896,0.13690710067749023,0.24460165202617645,0.23206762969493866,0.26580846309661865,0.22866283357143402,0.42300865054130554
;,0.07230665534734726,0.11763367056846619,0.016444861888885498,0.054534342139959335,0.0018027471378445625,0.06261929124593735,0.07408417016267776,0.10540270805358887,0.10650043189525604,0.10349778085947037
they,0.43247655034065247,0.5400822758674622,0.34538209438323975,0.3426007330417633,0.2795546352863312,0.4667694866657257,0.2960568368434906,0.29527443647384644,0.6542890071868896,0.2753053903579712
can,0.49246567487716675,0.4275496006011963,0.42601388692855835,0.2603091299533844,0.25107789039611816,0.45775556564331055,0.2619672119617462,0.2590459883213043,0.5489245653152466,0.3226337134838104
wriggle,0.2627612054347992,0.1819056272506714,0.2166500985622406,0.2069064825773239,0.17065566778182983,0.16640512645244598,0.28824082016944885,0.18155644834041595,0.27064499258995056,0.2645331919193268
",",0.22659391164779663,0.40610817074775696,0.24108222126960754,0.4946078956127167,0.2241983860731125,0.3283645510673523,0.3234763443470001,0.2784367799758911,0.3541618287563324,0.31091248989105225
which,0.4852597713470459,0.5168171525001526,0.4006623923778534,0.5011631846427917,0.3761357069015503,0.31153854727745056,0.3027338981628418,0.28772059082984924,0.49652695655822754,0.25814583897590637
may,0.22490409016609192,0.29758191108703613,0.23463654518127441,0.26447007060050964,0.20267626643180847,0.28230178356170654,0.274417906999588,0.1957210898399353,0.35194188356399536,0.2768254578113556
lure,0.16603544354438782,0.1916607767343521,0.13897883892059326,0.19795775413513184,0.1721523106098175,0.24447743594646454,0.2655656039714813,0.3017805218696594,0.17791588604450226,0.17292216420173645
prey,0.21643559634685516,0.23018111288547516,0.2313643991947174,0.16259106993675232,0.22395287454128265,0.1948252022266388,0.27506765723228455,0.20690420269966125,0.2883533239364624,0.15793472528457642
by,0.34370526671409607,0.3409687578678131,0.15044783055782318,0.3646814823150635,0.20860128104686737,0.1481526494026184,0.20159699022769928,0.24379107356071472,0.3359639644622803,0.17966607213020325
behaving,0.41497698426246643,0.3120167553424835,0.22048842906951904,0.2633149027824402,0.2230050265789032,0.2987653613090515,0.1749015897512436,0.18956021964550018,0.3726769983768463,0.20589996874332428
like,0.4663832485675812,0.5365896821022034,0.39141547679901123,0.3244853615760803,0.24728265404701233,0.4615015685558319,0.22381645441055298,0.26310068368911743,0.5579352974891663,0.3268813192844391
