,what,can,be,combined,with,geophysical,data,to,produce,a,better,view,of,the,subsurface,?
geophysical,0.2702294886112213,0.18748144805431366,0.16685663163661957,0.22856102883815765,0.1934206187725067,1.0,0.36178144812583923,0.2310306429862976,0.101227305829525,0.21840444207191467,0.2022034227848053,0.1522759199142456,0.3964819014072418,0.2591146230697632,0.395904004573822,0.09115879982709885
data,0.23453554511070251,0.21799646317958832,0.20036695897579193,0.18075641989707947,0.1658894121646881,0.36178144812583923,1.0,0.24776634573936462,0.10617156326770782,0.2163095474243164,0.19975344836711884,0.21995890140533447,0.20013196766376495,0.20546740293502808,0.27646493911743164,0.17909851670265198
and,0.31309178471565247,0.3675691485404968,0.41766801476478577,0.3240981996059418,0.5477725267410278,0.3234386146068573,0.23368559777736664,0.48971283435821533,0.2701570689678192,0.3739250600337982,0.3038354516029358,0.19056165218353271,0.5116966962814331,0.5171257257461548,0.26170986890792847,0.20544172823429108
well,0.4154493808746338,0.35096636414527893,0.4045031666755676,0.24433231353759766,0.37264955043792725,0.2179419845342636,0.20880356431007385,0.3422003388404846,0.21934033930301666,0.320642352104187,0.45560532808303833,0.19457463920116425,0.3343164324760437,0.42630070447921753,0.24388793110847473,0.24815571308135986
logs,0.26006805896759033,0.32651370763778687,0.31357061862945557,0.09714415669441223,0.1788673996925354,0.23869872093200684,0.22085727751255035,0.28294241428375244,0.21703442931175232,0.1606447845697403,0.2042466700077057,0.24621033668518066,0.1990417242050171,0.18122181296348572,0.2546340227127075,0.3376283347606659
can,0.34502777457237244,1.0,0.5791122913360596,0.2668262720108032,0.3572797477245331,0.18748144805431366,0.21799646317958832,0.4979398250579834,0.3511185944080353,0.3915780484676361,0.3304392099380493,0.2083529680967331,0.2603091299533844,0.312528520822525,0.38337820768356323,0.3226337134838104
be,0.3929833769798279,0.5791122913360596,1.0,0.2778157889842987,0.36101722717285156,0.16685663163661957,0.20036695897579193,0.4972836375236511,0.35276663303375244,0.39883795380592346,0.3208003342151642,0.23513229191303253,0.33904364705085754,0.4248143136501312,0.3329668641090393,0.3324260413646698
combined,0.21267308294773102,0.2668262720108032,0.2778157889842987,1.0000001192092896,0.340704083442688,0.22856102883815765,0.18075641989707947,0.24629315733909607,0.22067654132843018,0.2649520933628082,0.18257322907447815,0.13503125309944153,0.399336040019989,0.3713363707065582,0.2058945894241333,0.17985320091247559
to,0.455847829580307,0.4979398250579834,0.4972836375236511,0.24629315733909607,0.4239959120750427,0.2310306429862976,0.24776634573936462,1.0,0.30018290877342224,0.45503583550453186,0.29406851530075073,0.229315847158432,0.41548454761505127,0.535392165184021,0.24901658296585083,0.29463258385658264
produce,0.1685742735862732,0.3511185944080353,0.35276663303375244,0.22067654132843018,0.3382980525493622,0.101227305829525,0.10617156326770782,0.30018290877342224,1.0,0.2757846415042877,0.239111989736557,0.08738846331834793,0.19541172683238983,0.23457570374011993,0.3293493688106537,0.19229066371917725
