,what,impact,did,the,high,school,education,movement,have,on,the,wages,of,skilled,workers,?
during,0.24137552082538605,0.24366232752799988,0.30679523944854736,0.4838213622570038,0.16778922080993652,0.16465038061141968,0.17693781852722168,0.2561885714530945,0.27574852108955383,0.3347817361354828,0.4838213622570038,0.21507881581783295,0.3869180977344513,0.21054667234420776,0.2400227189064026,0.1325719803571701
the,0.42745697498321533,0.22336715459823608,0.34736719727516174,1.0,0.28034812211990356,0.22953221201896667,0.23982903361320496,0.339571475982666,0.40389683842658997,0.5107308030128479,1.0,0.15546856820583344,0.733189046382904,0.15767402946949005,0.23066683113574982,0.22068053483963013
mass,0.23905135691165924,0.19555066525936127,0.1598033756017685,0.2284930944442749,0.15522876381874084,0.10853847861289978,0.12766289710998535,0.23401768505573273,0.2581143379211426,0.18456357717514038,0.2284930944442749,0.19848087430000305,0.26915112137794495,0.09649137407541275,0.17464493215084076,0.2076406031847
high,0.20466077327728271,0.1656089425086975,0.15957149863243103,0.28034812211990356,1.0,0.5397339463233948,0.32903406023979187,0.14251722395420074,0.2406233847141266,0.20843200385570526,0.28034812211990356,0.19796505570411682,0.2803038954734802,0.2109883725643158,0.14008451998233795,0.11137914657592773
school,0.18774057924747467,0.09635411202907562,0.19696208834648132,0.22953221201896667,0.5397339463233948,1.0,0.5861870050430298,0.1308644413948059,0.16803227365016937,0.2388053983449936,0.22953221201896667,0.23006708920001984,0.2391800880432129,0.2575110197067261,0.17428964376449585,0.15091250836849213
education,0.19940856099128723,0.16596542298793793,0.19762296974658966,0.23982903361320496,0.32903406023979187,0.5861870050430298,1.0,0.22377124428749084,0.19461645185947418,0.2338395118713379,0.23982903361320496,0.3931823968887329,0.3015166223049164,0.25906601548194885,0.2878688871860504,0.18067774176597595
movement,0.23934946954250336,0.2088615894317627,0.12124674767255783,0.339571475982666,0.14251722395420074,0.1308644413948059,0.22377124428749084,1.0,0.19237689673900604,0.15348097681999207,0.339571475982666,0.16879677772521973,0.2662941515445709,0.14015455543994904,0.23221145570278168,0.1423349231481552
from,0.2737620174884796,0.15606744587421417,0.20248863101005554,0.40150508284568787,0.193696990609169,0.1915854513645172,0.19191351532936096,0.23928771913051605,0.30702701210975647,0.36926645040512085,0.40150508284568787,0.12080105394124985,0.4249346852302551,0.15365195274353027,0.17290110886096954,0.19969791173934937
1910–1940,0.20806677639484406,0.1383463442325592,0.11967004835605621,0.2948594391345978,0.13923202455043793,0.17250777781009674,0.22990384697914124,0.15469571948051453,0.20197275280952454,0.10404082387685776,0.2948594391345978,0.19616317749023438,0.323476642370224,0.10591498017311096,0.254987508058548,0.15109507739543915
",",0.3087472915649414,0.2012101411819458,0.3015086054801941,0.4933079481124878,0.27938312292099,0.27141863107681274,0.2718683183193207,0.1862073689699173,0.3541618287563324,0.49057599902153015,0.4933079481124878,0.2121202051639557,0.4946078956127167,0.2190762609243393,0.17716385424137115,0.31091248989105225
there,0.35085538029670715,0.1749962419271469,0.29736605286598206,0.47025805711746216,0.21173454821109772,0.2183125615119934,0.12745074927806854,0.18673110008239746,0.5194604992866516,0.3521401882171631,0.47025805711746216,0.2281825989484787,0.44397735595703125,0.1921152025461197,0.21683305501937866,0.29405656456947327
was,0.22111038863658905,0.23431995511054993,0.41399896144866943,0.48711544275283813,0.19978567957878113,0.25740107893943787,0.23187610507011414,0.18520963191986084,0.2863433063030243,0.3909217119216919,0.48711544275283813,0.19365432858467102,0.4069072902202606,0.22478309273719788,0.21813365817070007,0.18412111699581146
an,0.2821882665157318,0.16689299046993256,0.22598257660865784,0.4207492768764496,0.13532011210918427,0.17441901564598083,0.1506793051958084,0.2055855393409729,0.22897054255008698,0.3192969560623169,0.4207492768764496,0.15565986931324005,0.32280945777893066,0.22783873975276947,0.135615274310112,0.19793890416622162
increase,0.21153631806373596,0.29991763830184937,0.15550044178962708,0.32049667835235596,0.31398773193359375,0.1313745379447937,0.19425877928733826,0.30234360694885254,0.40800943970680237,0.20996718108654022,0.32049667835235596,0.3619939386844635,0.3156060576438904,0.2583579421043396,0.22989360988140106,0.11119163036346436
