,an,evaporative,cooling,tower,is,also,referred,to,as,what,kind,of,cooling,tower,?
evaporative,0.14461402595043182,1.0000001192092896,0.5483213067054749,0.16518446803092957,0.3083042800426483,0.24587832391262054,0.15131960809230804,0.26317068934440613,0.13738740980625153,0.23586703836917877,0.27340537309646606,0.23131199181079865,0.5483213067054749,0.16518446803092957,0.1687430739402771
(,0.286407470703125,0.1644376516342163,0.121932253241539,0.19051307439804077,0.35393038392066956,0.2962331771850586,0.1912713348865509,0.30882009863853455,0.32029855251312256,0.2411840260028839,0.16271455585956573,0.35032153129577637,0.121932253241539,0.19051307439804077,0.40561532974243164
wet,0.10855139046907425,0.3969552218914032,0.32615604996681213,0.14830273389816284,0.17449334263801575,0.19524382054805756,0.08827105164527893,0.19991755485534668,0.1217130497097969,0.19725444912910461,0.16269463300704956,0.24799585342407227,0.32615604996681213,0.14830273389816284,0.1574249267578125
),0.2873353958129883,0.16483259201049805,0.13652031123638153,0.18986791372299194,0.37732169032096863,0.32058730721473694,0.18269194662570953,0.31236231327056885,0.32161882519721985,0.26259949803352356,0.17504733800888062,0.3680361211299896,0.13652031123638153,0.18986791372299194,0.42300865054130554
cooling,0.2121628224849701,0.5483213067054749,1.0000001192092896,0.2595007121562958,0.19721323251724243,0.23651650547981262,0.143620565533638,0.26446348428726196,0.2078063189983368,0.28575754165649414,0.2717371881008148,0.2464919537305832,1.0000001192092896,0.2595007121562958,0.19326604902744293
towers,0.0864497572183609,0.216486394405365,0.32186761498451233,0.7998528480529785,0.13957606256008148,0.2015230506658554,0.16925011575222015,0.18453994393348694,0.2022685557603836,0.13783054053783417,0.11967088282108307,0.19224536418914795,0.32186761498451233,0.7998528480529785,0.11272349953651428
use,0.24603988230228424,0.295929491519928,0.30894720554351807,0.1368529349565506,0.3357410430908203,0.3900981843471527,0.2878899872303009,0.47261837124824524,0.3453201949596405,0.3453877568244934,0.39127564430236816,0.2750902473926544,0.30894720554351807,0.1368529349565506,0.32795652747154236
the,0.4207492768764496,0.22736749053001404,0.2641267478466034,0.2398453801870346,0.5823672413825989,0.6021018624305725,0.3088674545288086,0.535392165184021,0.48381632566452026,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2641267478466034,0.2398453801870346,0.22068053483963013
rejected,0.1580800861120224,0.15552622079849243,0.19707509875297546,0.13937701284885406,0.13280269503593445,0.21670299768447876,0.29819995164871216,0.24757765233516693,0.28110456466674805,0.2521476447582245,0.1718904674053192,0.27805227041244507,0.19707509875297546,0.13937701284885406,0.20434792339801788
heat,0.20739661157131195,0.4777161478996277,0.5387895703315735,0.13944435119628906,0.20543494820594788,0.2632127106189728,0.12628938257694244,0.2773711681365967,0.20366492867469788,0.1933984011411667,0.23439055681228638,0.19590096175670624,0.5387895703315735,0.13944435119628906,0.16343188285827637
to,0.3138085603713989,0.26317068934440613,0.26446348428726196,0.16907963156700134,0.42745086550712585,0.5348826050758362,0.22845174372196198,1.0,0.42092081904411316,0.455847829580307,0.28460726141929626,0.41548454761505127,0.26446348428726196,0.16907963156700134,0.29463258385658264
evaporate,0.13391312956809998,0.8699036240577698,0.5825273394584656,0.1645769625902176,0.248049795627594,0.21082474291324615,0.11626726388931274,0.28606367111206055,0.18165726959705353,0.2049381285905838,0.21025577187538147,0.1939833164215088,0.5825273394584656,0.1645769625902176,0.18591727316379547
water,0.19103862345218658,0.632208526134491,0.4451141655445099,0.191095769405365,0.2879090905189514,0.30968138575553894,0.17646537721157074,0.27858173847198486,0.21305090188980103,0.17456887662410736,0.20419971644878387,0.2741255462169647,0.4451141655445099,0.191095769405365,0.14731885492801666
;,-0.0424368716776371,0.019965171813964844,-0.04636509716510773,0.07492119073867798,0.05324986204504967,0.04470096528530121,0.12089645117521286,0.0979827418923378,0.05586666986346245,0.10986888408660889,0.024945750832557678,0.054534342139959335,-0.04636509716510773,0.07492119073867798,0.10349778085947037
