,which,doctors,were,in,project,:,lazarus,?
again,0.3812651038169861,0.1691434383392334,0.2806735932826996,0.3318929970264435,0.18334464728832245,0.01825116202235222,0.1008484959602356,0.2679590880870819
in,0.4840516746044159,0.1817551702260971,0.3815755248069763,1.0,0.16277937591075897,0.020521078258752823,0.2215488702058792,0.20430970191955566
2003,-0.14610882103443146,-0.08878432959318161,-0.16775040328502655,-0.1320333480834961,-0.09673614054918289,-0.12406826764345169,-0.10702229291200638,-0.17560148239135742
",",0.3658004403114319,0.18616431951522827,0.36755475401878357,0.5201468467712402,0.24875426292419434,-0.004729332868009806,0.3178868889808655,0.31091248989105225
colin,0.1516566127538681,0.17429324984550476,0.10995586216449738,0.1577783077955246,0.07491760700941086,-0.052383363246917725,0.2517417371273041,0.12176632136106491
baker,0.13359814882278442,0.18718360364437103,0.13624894618988037,0.1998102366924286,0.09108811616897583,-0.08376633375883102,0.177093505859375,0.1649734377861023
and,0.506277859210968,0.22853690385818481,0.42175528407096863,0.4954058527946472,0.23249590396881104,-0.04625999182462692,0.21070080995559692,0.20544172823429108
sylvester,0.1708250790834427,0.13618825376033783,0.1504908800125122,0.1992335170507431,0.13288725912570953,0.11843018978834152,0.3114187717437744,0.20105667412281036
mccoy,0.1620531976222992,0.13730554282665253,0.18052701652050018,0.18623396754264832,0.17505064606666565,-0.027248231694102287,0.2748667895793915,0.14259184896945953
appeared,0.21686145663261414,0.1735079139471054,0.2874315083026886,0.31264984607696533,0.09064554423093796,-0.06789634376764297,0.2771494686603546,0.1384376585483551
together,0.3194063603878021,0.16829261183738708,0.2806561589241028,0.3252169191837311,0.15692289173603058,0.04369649663567543,0.16804563999176025,0.1690303236246109
in,0.4840516746044159,0.1817551702260971,0.3815755248069763,1.0,0.16277937591075897,0.020521078258752823,0.2215488702058792,0.20430970191955566
the,0.6521818041801453,0.24499839544296265,0.3906462490558624,0.6662389636039734,0.2027820199728012,-0.03403344005346298,0.2254672348499298,0.22068053483963013
audio,0.22437843680381775,0.1659821718931198,0.134166419506073,0.12252579629421234,0.23298846185207367,-0.057258184999227524,0.12852740287780762,0.14977853000164032
adventure,0.21504560112953186,0.08084356784820557,0.10440317541360855,0.1632779836654663,0.17326506972312927,-0.0756198838353157,0.17108237743377686,0.20198649168014526
project,0.21453826129436493,0.1372082382440567,0.13263660669326782,0.16277937591075897,1.0,-0.1315390020608902,0.1341039538383484,0.30569031834602356
:,-0.11049769818782806,-0.04656446352601051,-0.04773278534412384,0.020521078258752823,-0.1315390020608902,1.0000001192092896,-0.004169209860265255,-0.07156077772378922
lazarus,0.16454055905342102,0.13687296211719513,0.20216244459152222,0.2215488702058792,0.1341039538383484,-0.004169209860265255,1.0000001192092896,0.1817474067211151
.,0.45942068099975586,0.1993139684200287,0.3378238379955292,0.5591574311256409,0.23938670754432678,-0.062034789472818375,0.2595806121826172,0.4130953550338745
