,what,was,the,theorized,maximum,population,density,per,square,kilometre,for,the,amazon,rainforest,?
she,0.23844075202941895,0.42156049609184265,0.36308351159095764,0.10493805259466171,0.0736442357301712,0.1530904620885849,0.06717854738235474,0.1125047504901886,0.12129808217287064,0.13668185472488403,0.33889997005462646,0.36308351159095764,0.1993226259946823,0.17014217376708984,0.14223381876945496
claimed,0.2667301297187805,0.32895320653915405,0.2761930227279663,0.315511554479599,0.09646308422088623,0.15570791065692902,0.13224190473556519,0.09831172227859497,0.17317967116832733,0.18068665266036987,0.2044578492641449,0.2761930227279663,0.24254891276359558,0.1585111916065216,0.2083493024110794
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.38985955715179443,0.2725290358066559,0.20048558712005615,0.21625380218029022,0.25184786319732666,0.19798488914966583,0.24849668145179749,0.4137635827064514,0.5473989248275757,0.2228476107120514,0.22076080739498138,0.32716336846351624
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2370719611644745,0.24441662430763245,0.2345738559961319,0.20387759804725647,0.21615441143512726,0.22548454999923706,0.27119186520576477,0.44038116931915283,0.5829201340675354,0.1865728348493576,0.2497720569372177,0.23916715383529663
population,0.2000674307346344,0.1935066133737564,0.32044094800949097,0.1601582169532776,0.26572099328041077,1.0,0.5703029632568359,0.2134084403514862,0.36520883440971375,0.3375193178653717,0.13321557641029358,0.32044094800949097,0.19799689948558807,0.28754767775535583,0.14449454843997955
density,0.1728270947933197,0.14533059298992157,0.2451544851064682,0.19888602197170258,0.27053302526474,0.5703029632568359,1.0,0.3189907968044281,0.3507445752620697,0.3665650486946106,0.13085108995437622,0.2451544851064682,0.1621050089597702,0.21471068263053894,0.1457761973142624
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.26842209696769714,0.23949185013771057,0.3060894012451172,0.2389363795518875,0.17468707263469696,0.2585134208202362,0.28120318055152893,0.4185989499092102,0.733189046382904,0.20143137872219086,0.22522282600402832,0.1826142966747284
0.2,0.10819359123706818,-0.17346282303333282,-0.07010126113891602,0.12602511048316956,0.03601492941379547,-0.08085795491933823,0.03102731890976429,0.011588063091039658,-0.08299076557159424,0.004460589960217476,-0.025979921221733093,-0.07010126113891602,0.06129003316164017,0.0865076556801796,0.04143255949020386
inhabitants,0.14762155711650848,0.2085801661014557,0.2644902467727661,0.15858854353427887,0.2406529188156128,0.6283577680587769,0.5724905133247375,0.25267842411994934,0.35408931970596313,0.39845505356788635,0.10000225901603699,0.2644902467727661,0.20427916944026947,0.3173336684703827,0.1312350630760193
per,0.21384303271770477,0.12717042863368988,0.21691934764385223,0.06679606437683105,0.32737693190574646,0.2134084403514862,0.3189907968044281,0.9999999403953552,0.31627538800239563,0.36268433928489685,0.22882020473480225,0.21691934764385223,0.13432423770427704,0.13336054980754852,0.22323818504810333
square,0.12660330533981323,0.17827357351779938,0.2809545397758484,0.1042909324169159,0.21231088042259216,0.36520883440971375,0.3507445752620697,0.31627538800239563,1.0,0.5321193933486938,0.1615643948316574,0.2809545397758484,0.20306317508220673,0.23421312868595123,0.1201515942811966
kilometre,0.19908200204372406,0.15779855847358704,0.27433285117149353,0.10330719500780106,0.2324075698852539,0.3375193178653717,0.3665650486946106,0.36268433928489685,0.5321193933486938,1.0,0.17656821012496948,0.27433285117149353,0.15839141607284546,0.30325669050216675,0.10934783518314362
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.12308657914400101,0.19769227504730225,0.14130665361881256,0.18440818786621094,0.3121034801006317,0.16847030818462372,0.12728247046470642,0.3357032239437103,0.33289089798927307,0.11605185270309448,0.16459959745407104,0.40561532974243164
0.52/sq,0.250240296125412,0.11181189864873886,0.23513683676719666,0.18452750146389008,0.33496373891830444,0.42759793996810913,0.5496630072593689,0.3949645161628723,0.3324364125728607,0.46882137656211853,0.21608935296535492,0.23513683676719666,0.24631845951080322,0.31995075941085815,0.2610994279384613
