,what,is,the,receptor,that,killer,t,cells,use,to,bind,to,specific,antigens,that,are,complexed,with,the,mhc,class,1,receptor,of,another,cell,?
killer,0.1868809163570404,0.20949196815490723,0.20573623478412628,0.25588834285736084,0.23865073919296265,1.0,0.17635615170001984,0.2414173036813736,0.1985965520143509,0.18099956214427948,0.1507100909948349,0.18099956214427948,0.10275193303823471,0.22744683921337128,0.23865073919296265,0.21328569948673248,0.11863485723733902,0.16901445388793945,0.20573623478412628,0.26393815875053406,0.11998511850833893,-0.24311771988868713,0.25588834285736084,0.18559542298316956,0.22783152759075165,0.1817251294851303,0.13010363280773163
t,0.37454068660736084,0.23234573006629944,0.2083338052034378,0.22843964397907257,0.3801133632659912,0.17635615170001984,0.9999999403953552,0.25527921319007874,0.3060937821865082,0.30417174100875854,0.16101203858852386,0.30417174100875854,0.27292370796203613,0.25939205288887024,0.3801133632659912,0.2180873155593872,0.18201704323291779,0.1978532373905182,0.2083338052034378,0.2424878627061844,0.16995130479335785,-0.30518102645874023,0.22843964397907257,0.14617829024791718,0.2398492693901062,0.24071010947227478,0.4954066574573517
cells,0.1758001297712326,0.1644774079322815,0.19095487892627716,0.5432859659194946,0.2709589898586273,0.2414173036813736,0.25527921319007874,1.0,0.22631673514842987,0.26320719718933105,0.41542497277259827,0.26320719718933105,0.301485151052475,0.5661771297454834,0.2709589898586273,0.2908284366130829,0.2748285233974457,0.2187740057706833,0.19095487892627716,0.5492251515388489,0.17829304933547974,-0.2000764012336731,0.5432859659194946,0.21305565536022186,0.23202675580978394,0.7729857563972473,0.1898086667060852
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.25816720724105835,0.45265161991119385,0.21328569948673248,0.2180873155593872,0.2908284366130829,0.4174068570137024,0.3504326641559601,0.2113465666770935,0.3504326641559601,0.35680872201919556,0.3016895651817322,0.45265161991119385,1.0,0.31321266293525696,0.38996943831443787,0.40399202704429626,0.3820771276950836,0.1495869755744934,-0.2175680249929428,0.25816720724105835,0.39081433415412903,0.23159852623939514,0.19039002060890198,0.24591213464736938
activated,0.21431195735931396,0.15170268714427948,0.2966001629829407,0.4410344362258911,0.29536208510398865,0.2581169307231903,0.24296288192272186,0.4655350148677826,0.3838765323162079,0.27244922518730164,0.43469810485839844,0.27244922518730164,0.34709101915359497,0.44967660307884216,0.29536208510398865,0.230514794588089,0.27042263746261597,0.2098797857761383,0.2966001629829407,0.487613320350647,0.14956839382648468,-0.2519955337047577,0.4410344362258911,0.18893249332904816,0.26767465472221375,0.4445767104625702,0.23727594316005707
when,0.4700249433517456,0.3471449911594391,0.5091903209686279,0.23153409361839294,0.5860282182693481,0.23420095443725586,0.2666409909725189,0.2794494032859802,0.3298092782497406,0.5423505902290344,0.24483875930309296,0.5423505902290344,0.2782887816429138,0.25631749629974365,0.5860282182693481,0.29873907566070557,0.22431263327598572,0.5075214505195618,0.5091903209686279,0.25877949595451355,0.19965754449367523,-0.2683585286140442,0.23153409361839294,0.3757161796092987,0.48569372296333313,0.24251431226730347,0.22841128706932068
their,0.35142919421195984,0.2101074606180191,0.516537070274353,0.22161813080310822,0.4266771972179413,0.19889327883720398,0.2115638256072998,0.2534589171409607,0.3415622115135193,0.44619059562683105,0.2864983379840851,0.44619059562683105,0.3369782567024231,0.3227139711380005,0.4266771972179413,0.46887820959091187,0.22961634397506714,0.4258328378200531,0.516537070274353,0.3031715750694275,0.19463683664798737,-0.33722230792045593,0.22161813080310822,0.4329940676689148,0.3561564087867737,0.19960300624370575,0.1898253709077835
t,0.37454068660736084,0.23234573006629944,0.2083338052034378,0.22843964397907257,0.3801133632659912,0.17635615170001984,0.9999999403953552,0.25527921319007874,0.3060937821865082,0.30417174100875854,0.16101203858852386,0.30417174100875854,0.27292370796203613,0.25939205288887024,0.3801133632659912,0.2180873155593872,0.18201704323291779,0.1978532373905182,0.2083338052034378,0.2424878627061844,0.16995130479335785,-0.30518102645874023,0.22843964397907257,0.14617829024791718,0.2398492693901062,0.24071010947227478,0.4954066574573517
cell,0.19222842156887054,0.15086454153060913,0.15822452306747437,0.47928139567375183,0.24500271677970886,0.1817251294851303,0.24071010947227478,0.7729857563972473,0.20894207060337067,0.19730474054813385,0.4163225293159485,0.19730474054813385,0.2734946608543396,0.46047890186309814,0.24500271677970886,0.19039002060890198,0.2348652184009552,0.21242906153202057,0.15822452306747437,0.4599821865558624,0.1881752908229828,-0.1863994002342224,0.47928139567375183,0.18332023918628693,0.2031998187303543,1.0000001192092896,0.2058541625738144
receptor,0.19285786151885986,0.2226855307817459,0.24925383925437927,0.9999999403953552,0.2523682117462158,0.25588834285736084,0.22843964397907257,0.5432859659194946,0.23783394694328308,0.20206627249717712,0.48448479175567627,0.20206627249717712,0.37754133343696594,0.5584633350372314,0.2523682117462158,0.25816720724105835,0.3360702097415924,0.18347735702991486,0.24925383925437927,0.5934903025627136,0.1958463340997696,-0.19610263407230377,0.9999999403953552,0.16219308972358704,0.24663405120372772,0.47928139567375183,0.10260391980409622
