,what,is,the,conventional,method,to,measure,the,rhine,?
the,0.42745697498321533,0.5823672413825989,1.0,0.24935786426067352,0.21624743938446045,0.535392165184021,0.2528008222579956,1.0,0.30735138058662415,0.22068053483963013
length,0.20598092675209045,0.2527557909488678,0.26581600308418274,0.15478497743606567,0.16992798447608948,0.19374629855155945,0.3506009578704834,0.26581600308418274,0.20094704627990723,0.16668567061424255
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2812398374080658,0.22896558046340942,0.41548454761505127,0.22469913959503174,0.733189046382904,0.2548927664756775,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.24935786426067352,0.21624743938446045,0.535392165184021,0.2528008222579956,1.0,0.30735138058662415,0.22068053483963013
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.11510846763849258,0.10124748945236206,0.1736302673816681,0.1548519879579544,0.30735138058662415,1.0,0.13754533231258392
is,0.28837618231773376,1.0,0.5823672413825989,0.2229870855808258,0.21948537230491638,0.42745086550712585,0.2864217460155487,0.5823672413825989,0.15617261826992035,0.22961433231830597
conventionally,0.24522534012794495,0.2852628231048584,0.3092604875564575,0.8670024275779724,0.24034233391284943,0.36925244331359863,0.25341910123825073,0.3092604875564575,0.1699018031358719,0.1562664955854416
measured,0.23318471014499664,0.2770887017250061,0.279002845287323,0.19807912409305573,0.270020455121994,0.20595905184745789,0.8349392414093018,0.279002845287323,0.126449316740036,0.17351430654525757
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.21955011785030365,0.13883966207504272,0.45010748505592346,0.17892111837863922,0.6662389636039734,0.24648422002792358,0.20430970191955566
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.036313481628894806,0.04582330584526062,0.06720756739377975,0.10609804093837738,0.029072100296616554,0.031863048672676086,0.0685480609536171
rhine-kilometers,0.22068308293819427,0.297221839427948,0.3899826407432556,0.2266562432050705,0.14310459792613983,0.27309882640838623,0.2895858883857727,0.3899826407432556,0.5765131711959839,0.12356684356927872
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.09290490299463272,0.07508864998817444,-0.009905828163027763,0.07636073231697083,0.041273195296525955,-0.003653771709650755,0.018684765323996544
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.10585328936576843,0.11551257222890854,0.30882009863853455,0.1863236427307129,0.33289089798927307,0.12381801009178162,0.40561532974243164
rheinkilometer,0.289517343044281,0.31161320209503174,0.377916544675827,0.2523050308227539,0.21486695110797882,0.29633307456970215,0.33996301889419556,0.377916544675827,0.5023218989372253,0.2017219215631485
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.1256992667913437,0.1312859058380127,0.31236231327056885,0.1701265126466751,0.3456730246543884,0.12686386704444885,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.18631495535373688,0.22978182137012482,0.44245919585227966,0.18738344311714172,0.4933079481124878,0.167837992310524,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3075350821018219,0.2613512873649597,0.45503583550453186,0.2953258156776428,0.5829201340675354,0.1823403388261795,0.23916715383529663
scale,0.23262472450733185,0.18123696744441986,0.1833842247724533,0.18036630749702454,0.2587432265281677,0.18474817276000977,0.4164413809776306,0.1833842247724533,0.09456667304039001,0.21142835915088654
introduced,0.09417270123958588,0.18314895033836365,0.242969810962677,0.2820977568626404,0.21760085225105286,0.22615164518356323,0.21785275638103485,0.242969810962677,0.09226672351360321,0.16386865079402924
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.21955011785030365,0.13883966207504272,0.45010748505592346,0.17892111837863922,0.6662389636039734,0.24648422002792358,0.20430970191955566
1939,0.11055738478899002,0.1788119077682495,0.3322303593158722,0.06766337901353836,0.05855974927544594,0.24435016512870789,0.2551218867301941,0.3322303593158722,0.16051381826400757,-0.0777229517698288
