,in,which,continent,besides,asia,were,major,gains,made,by,the,british,empire,in,the,late,19th,century,?
a,0.539380669593811,0.56894451379776,0.15280993282794952,0.26277080178260803,0.14726082980632782,0.17203083634376526,0.22990699112415314,0.29294106364250183,0.3180864453315735,0.32094135880470276,0.5829201340675354,0.1984395682811737,0.1900206059217453,0.539380669593811,0.5829201340675354,0.22989967465400696,0.200595885515213,0.19417014718055725,0.23916715383529663
resurgence,0.26721858978271484,0.27110764384269714,0.2059316486120224,0.20358717441558838,0.23036178946495056,0.20547887682914734,0.22327487170696259,0.26447486877441406,0.13569408655166626,0.16440504789352417,0.3228895366191864,0.14369647204875946,0.28304293751716614,0.26721858978271484,0.3228895366191864,0.27007928490638733,0.12051983177661896,0.30861929059028625,0.16093435883522034
came,0.29996100068092346,0.23567067086696625,0.2656792104244232,0.2132260650396347,0.2033301442861557,0.4644804000854492,0.12853392958641052,0.2067742943763733,0.2991776168346405,0.17827941477298737,0.39390382170677185,0.19049127399921417,0.27072975039482117,0.29996100068092346,0.39390382170677185,0.3991497755050659,0.18693307042121887,0.3409724235534668,0.1739392727613449
in,1.0,0.4840516746044159,0.29258909821510315,0.3447916507720947,0.26562291383743286,0.3815755248069763,0.3249945342540741,0.26830753684043884,0.25271502137184143,0.370934396982193,0.6662389636039734,0.23084034025669098,0.24110576510429382,1.0,0.6662389636039734,0.3439198434352875,0.15408828854560852,0.3174034655094147,0.20430970191955566
the,0.6662389636039734,0.6521818041801453,0.3139871060848236,0.367077499628067,0.2838890850543976,0.3906462490558624,0.31775903701782227,0.2700354754924774,0.3885267674922943,0.4408751428127289,1.0,0.28973397612571716,0.32532164454460144,0.6662389636039734,1.0,0.31481194496154785,0.24964287877082825,0.3617299497127533,0.22068053483963013
late,0.3439198434352875,0.2546604573726654,0.2351282835006714,0.18397171795368195,0.24969108402729034,0.37638410925865173,0.2213422805070877,0.09450586140155792,0.209080770611763,0.2580295205116272,0.31481194496154785,0.24134139716625214,0.21128791570663452,0.3439198434352875,0.31481194496154785,1.0,0.20935547351837158,0.42292845249176025,0.11339222639799118
19th,0.15408828854560852,0.2196694165468216,0.10983701050281525,0.1487640142440796,0.14169467985630035,0.13102512061595917,0.1350325644016266,0.13711266219615936,0.15756410360336304,0.2488098442554474,0.24964287877082825,0.20841844379901886,0.055235907435417175,0.15408828854560852,0.24964287877082825,0.20935547351837158,1.0,0.25699272751808167,0.004712673369795084
century,0.3174034655094147,0.23552611470222473,0.2770206928253174,0.2170877605676651,0.24731740355491638,0.34997639060020447,0.21291306614875793,0.13724122941493988,0.2152203619480133,0.29995259642601013,0.3617299497127533,0.19974945485591888,0.3632965385913849,0.3174034655094147,0.3617299497127533,0.42292845249176025,0.25699272751808167,1.0,0.1026201918721199
",",0.5201468467712402,0.3658004403114319,0.22622181475162506,0.340058833360672,0.1759067326784134,0.36755475401878357,0.29355156421661377,0.2632234990596771,0.32507219910621643,0.3680937886238098,0.4933079481124878,0.25734075903892517,0.27646857500076294,0.5201468467712402,0.4933079481124878,0.3051932752132416,0.16815264523029327,0.24487493932247162,0.31091248989105225
with,0.4080928862094879,0.46403205394744873,0.195969358086586,0.32692623138427734,0.21806661784648895,0.3179011940956116,0.21643421053886414,0.2568010687828064,0.3459964990615845,0.39731505513191223,0.4223487675189972,0.1637800633907318,0.16165103018283844,0.4080928862094879,0.4223487675189972,0.2326577752828598,0.2369079440832138,0.1467021107673645,0.2433311939239502
