,what,year,saw,the,merger,of,two,museums,in,newcastle,?
there,0.35085538029670715,0.23605135083198547,0.2814114987850189,0.47025805711746216,0.17306554317474365,0.44397735595703125,0.40416133403778076,0.2864181399345398,0.5361666083335876,0.1536160409450531,0.29405656456947327
are,0.29724663496017456,0.1750577986240387,0.196082204580307,0.40399202704429626,0.12829841673374176,0.39081433415412903,0.46276170015335083,0.27460694313049316,0.3841303884983063,0.1428472399711609,0.24591213464736938
several,0.22446060180664062,0.21163222193717957,0.16416817903518677,0.40559855103492737,0.15732057392597198,0.3271615505218506,0.6437594890594482,0.26278242468833923,0.39405709505081177,0.14987647533416748,0.15595775842666626
museums,0.18489275872707367,0.12876243889331818,0.13158810138702393,0.2721219062805176,0.1711474061012268,0.2631984055042267,0.16093607246875763,0.9999999403953552,0.2833188474178314,0.22817452251911163,0.1374243199825287
and,0.31309178471565247,0.2506658732891083,0.2664891481399536,0.5171257257461548,0.16802267730236053,0.5116966962814331,0.4671151638031006,0.3102967441082001,0.4954058527946472,0.20204751193523407,0.20544172823429108
galleries,0.17793069779872894,0.1413644701242447,0.13594110310077667,0.27603694796562195,0.16191118955612183,0.24172402918338776,0.22705627977848053,0.6778480410575867,0.2712664008140564,0.23953042924404144,0.1957392692565918
in,0.30808621644973755,0.3359307050704956,0.24892163276672363,0.6662389636039734,0.22860760986804962,0.5696388483047485,0.36463531851768494,0.2833188474178314,1.0,0.19270820915699005,0.20430970191955566
newcastle,0.16276082396507263,0.18703900277614594,0.20801062881946564,0.2253497689962387,0.2211640477180481,0.18781472742557526,0.15140333771705627,0.22817452251911163,0.19270820915699005,1.0000001192092896,0.0902252271771431
",",0.3087472915649414,0.28560417890548706,0.2245745062828064,0.4933079481124878,0.25569602847099304,0.4946078956127167,0.35859420895576477,0.24402767419815063,0.5201468467712402,0.251589834690094,0.31091248989105225
including,0.18328791856765747,0.1839407980442047,0.21073633432388306,0.3738902807235718,0.06824830919504166,0.44195112586021423,0.402707040309906,0.33485934138298035,0.35857823491096497,0.1550157517194748,0.1633303165435791
the,0.42745697498321533,0.3609684407711029,0.318278044462204,1.0,0.2557354271411896,0.733189046382904,0.43858039379119873,0.2721219062805176,0.6662389636039734,0.2253497689962387,0.22068053483963013
centre,0.12324132025241852,0.1138799786567688,0.1904916763305664,0.32783594727516174,0.19760841131210327,0.2769378423690796,0.1264428049325943,0.32410988211631775,0.2765078544616699,0.24609284102916718,0.019365152344107628
for,0.3017193675041199,0.29294124245643616,0.2966398596763611,0.4739971458911896,0.17767630517482758,0.4185989499092102,0.34734001755714417,0.23803620040416718,0.4322226941585541,0.2425866425037384,0.264628142118454
life,0.24693015217781067,0.22225920855998993,0.1306382715702057,0.23528170585632324,0.12127439677715302,0.2788603901863098,0.19536493718624115,0.10810480266809464,0.27054134011268616,0.1739582121372223,0.21677987277507782
with,0.2464839518070221,0.3220449686050415,0.2560844421386719,0.4223487675189972,0.19741658866405487,0.41827285289764404,0.4333336651325226,0.12174906581640244,0.4080928862094879,0.1710812896490097,0.2433311939239502
its,0.30393704771995544,0.15338382124900818,0.2010112851858139,0.559237003326416,0.18644186854362488,0.48690423369407654,0.2658975422382355,0.2318200021982193,0.3793783485889435,0.19941815733909607,0.15103481709957123
science,0.2612018585205078,0.22018775343894958,0.15173622965812683,0.24037593603134155,0.1785137951374054,0.2616958022117615,0.15154390037059784,0.321433424949646,0.269875705242157,0.1316245049238205,0.17974960803985596
village,0.20210839807987213,0.1659754365682602,0.13383373618125916,0.2579529881477356,0.12030743807554245,0.1866021603345871,0.07615779340267181,0.24031944572925568,0.3014387786388397,0.24168774485588074,0.040922991931438446
;,0.10986888408660889,0.00956164300441742,0.021930525079369545,0.09152708947658539,0.04463953524827957,0.054534342139959335,0.04032390937209129,0.128188356757164,0.092739537358284,0.10598292201757431,0.10349778085947037
the,0.42745697498321533,0.3609684407711029,0.318278044462204,1.0,0.2557354271411896,0.733189046382904,0.43858039379119873,0.2721219062805176,0.6662389636039734,0.2253497689962387,0.22068053483963013
discovery,0.16559629142284393,0.14569909870624542,0.1899043321609497,0.29877567291259766,0.13316743075847626,0.2566966712474823,0.17242324352264404,0.15047845244407654,0.23947767913341522,0.12061125785112381,0.11594310402870178
museum,0.1771627515554428,0.1009267270565033,0.13488774001598358,0.24861779808998108,0.13193607330322266,0.23314370214939117,0.10843382775783539,0.766154408454895,0.2407650351524353,0.17209672927856445,0.14128351211547852
a,0.3320399522781372,0.29350247979164124,0.2244260609149933,0.5829201340675354,0.20794767141342163,0.5052502155303955,0.3289857804775238,0.12684829533100128,0.539380669593811,0.21405641734600067,0.23916715383529663
museum,0.1771627515554428,0.1009267270565033,0.13488774001598358,0.24861779808998108,0.13193607330322266,0.23314370214939117,0.10843382775783539,0.766154408454895,0.2407650351524353,0.17209672927856445,0.14128351211547852
highlighting,0.2526554763317108,0.09928122907876968,0.1272171437740326,0.27061110734939575,0.09721874445676804,0.2906976640224457,0.15096400678157806,0.1592361330986023,0.29820501804351807,0.09399261325597763,0.16213589906692505
life,0.24693015217781067,0.22225920855998993,0.1306382715702057,0.23528170585632324,0.12127439677715302,0.2788603901863098,0.19536493718624115,0.10810480266809464,0.27054134011268616,0.1739582121372223,0.21677987277507782
on,0.34226128458976746,0.27628999948501587,0.2870093584060669,0.5107308030128479,0.15951916575431824,0.3966929316520691,0.3205535411834717,0.189836323261261,0.46853652596473694,0.1698579639196396,0.2714994251728058
tyneside,0.22811484336853027,0.16664156317710876,0.2746364176273346,0.33988526463508606,0.14152608811855316,0.3008047938346863,0.23061531782150269,0.2713165283203125,0.2752016484737396,0.5080589652061462,0.10805024206638336
