,how,many,were,in,langlades,expedition,?
langlade,0.12263908982276917,0.20430098474025726,0.18609774112701416,0.3302697241306305,0.9207667112350464,0.18153069913387299,0.14187012612819672
was,0.16678167879581451,0.260356068611145,0.590133786201477,0.45514053106307983,0.23041260242462158,0.2416619211435318,0.18412111699581146
given,0.2367049753665924,0.2596621513366699,0.25531911849975586,0.2528568208217621,0.16232101619243622,0.15524625778198242,0.2570464313030243
300,-0.03424505144357681,0.010953327640891075,-0.11496710032224655,-0.06603364646434784,-0.061581872403621674,-0.03460478037595749,-0.06213558092713356
men,0.2069610059261322,0.17064353823661804,0.3566102683544159,0.27064284682273865,0.1729206144809723,0.2771264314651489,0.1408759206533432
",",0.22659391164779663,0.40610817074775696,0.36755475401878357,0.5201468467712402,0.35411426424980164,0.17991885542869568,0.31091248989105225
including,0.20270724594593048,0.6119236350059509,0.41511550545692444,0.35857823491096497,0.24089783430099487,0.15406495332717896,0.1633303165435791
french-canadians,0.17704716324806213,0.2876708209514618,0.34172743558883667,0.22449825704097748,0.34086498618125916,0.2761605679988861,0.16133403778076172
and,0.33647966384887695,0.5296266674995422,0.42175528407096863,0.4954058527946472,0.36284077167510986,0.21988366544246674,0.20544172823429108
warriors,0.1664767563343048,0.18029627203941345,0.2614244818687439,0.13349492847919464,0.17412066459655762,0.16910883784294128,0.10605888813734055
of,0.2480744868516922,0.37253960967063904,0.34038281440734863,0.5696388483047485,0.2843032479286194,0.18468376994132996,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.3906462490558624,0.6662389636039734,0.31977608799934387,0.26213887333869934,0.22068053483963013
ottawa,0.1339694708585739,0.133216992020607,0.12864616513252258,0.21253806352615356,0.3274223506450653,0.2404901683330536,0.17033211886882782
.,0.3287222981452942,0.3974229395389557,0.3378238379955292,0.5591574311256409,0.33455026149749756,0.17779675126075745,0.4130953550338745
