,what,is,the,ranking,of,the,military,forces,in,jacksonville,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3187980651855469,0.733189046382904,1.0,0.2290858030319214,0.3134811818599701,0.6662389636039734,0.2176690250635147,0.22068053483963013
two,0.23363454639911652,0.2315155267715454,0.43858039379119873,0.21729442477226257,0.37726253271102905,0.43858039379119873,0.18319471180438995,0.20150142908096313,0.36463531851768494,0.2689439356327057,0.19645625352859497
us,0.32081687450408936,0.1808239072561264,0.25727739930152893,0.3054051995277405,0.23568789660930634,0.25727739930152893,0.19390054047107697,0.20669090747833252,0.19746538996696472,0.1878500133752823,0.2742428481578827
navy,0.1196848452091217,0.1623675525188446,0.2864058017730713,0.21080707013607025,0.24778206646442413,0.2864058017730713,0.48077425360679626,0.4613141715526581,0.19222377240657806,0.21952085196971893,0.10414517670869827
bases,0.1356317698955536,0.24517326056957245,0.24180281162261963,0.13704104721546173,0.1987054944038391,0.24180281162261963,0.3344927132129669,0.3845233619213104,0.2516496777534485,0.16052861511707306,0.06755278259515762
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2863360047340393,0.4946078956127167,0.4933079481124878,0.2611614465713501,0.2544684410095215,0.5201468467712402,0.2837527096271515,0.31091248989105225
blount,0.10285025835037231,0.22180365025997162,0.2318825125694275,0.14636410772800446,0.2432587444782257,0.2318825125694275,0.23615258932113647,0.16866753995418549,0.2586349546909332,0.4278396666049957,0.16422806680202484
island,0.1299295574426651,0.2365664541721344,0.2837921977043152,0.1307794749736786,0.24887794256210327,0.2837921977043152,0.19973920285701752,0.20007240772247314,0.24730545282363892,0.22236181795597076,0.0887429490685463
command,0.22732043266296387,0.16731083393096924,0.27488255500793457,0.19123704731464386,0.23060646653175354,0.27488255500793457,0.41893234848976135,0.535732090473175,0.18293465673923492,0.13191860914230347,0.13402260839939117
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2464282363653183,0.5116966962814331,0.5171257257461548,0.2530125379562378,0.26456665992736816,0.4954058527946472,0.2603762745857239,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,1.0,0.3187980651855469,0.733189046382904,1.0,0.2290858030319214,0.3134811818599701,0.6662389636039734,0.2176690250635147,0.22068053483963013
nearby,0.13611137866973877,0.19478072226047516,0.2903098165988922,0.10258807986974716,0.2392946183681488,0.2903098165988922,0.18216893076896667,0.22724980115890503,0.3131678104400635,0.2436562329530716,0.07977716624736786
naval,0.160405233502388,0.16228631138801575,0.25506526231765747,0.14899656176567078,0.28707146644592285,0.25506526231765747,0.5096961855888367,0.4404747188091278,0.2151644080877304,0.20843853056430817,0.12642952799797058
submarine,0.22069962322711945,0.15975075960159302,0.2477266490459442,0.10928808897733688,0.17833749949932098,0.2477266490459442,0.30092641711235046,0.2805459797382355,0.18875961005687714,0.17001868784427643,0.1897042840719223
base,0.1336955726146698,0.28868359327316284,0.2870652377605438,0.11171825975179672,0.23717565834522247,0.2870652377605438,0.32804009318351746,0.28306296467781067,0.2292785793542862,0.15972833335399628,0.10518061369657516
kings,0.23629537224769592,0.15809790790081024,0.26066139340400696,0.15572282671928406,0.2775171995162964,0.26066139340400696,0.1480977088212967,0.1726338416337967,0.1894625425338745,0.20153634250164032,0.19563011825084686
bay,0.20251236855983734,0.1959105283021927,0.2441686987876892,0.05045883730053902,0.20480380952358246,0.2441686987876892,0.09586384892463684,0.11294002085924149,0.1926257163286209,0.3430345058441162,0.10773546993732452
form,0.15868011116981506,0.3218395411968231,0.29286009073257446,0.027757149189710617,0.29600051045417786,0.29286009073257446,0.07988978177309036,0.23688411712646484,0.2815987169742584,0.13397741317749023,0.1463010311126709
the,0.42745697498321533,0.5823672413825989,1.0,0.3187980651855469,0.733189046382904,1.0,0.2290858030319214,0.3134811818599701,0.6662389636039734,0.2176690250635147,0.22068053483963013
third,0.2033906877040863,0.31551501154899597,0.4229298532009125,0.24320289492607117,0.30602210760116577,0.4229298532009125,0.1563670039176941,0.17577509582042694,0.3309578001499176,0.16585606336593628,0.15394791960716248
largest,0.13463157415390015,0.3413417339324951,0.3757036626338959,0.2943647503852844,0.36650770902633667,0.3757036626338959,0.1594930738210678,0.1664866954088211,0.3017216920852661,0.1861613392829895,0.12401245534420013
military,0.18809624016284943,0.139249786734581,0.2290858030319214,0.29049891233444214,0.27347031235694885,0.2290858030319214,0.9999998807907104,0.5087745785713196,0.2402431070804596,0.21605069935321808,0.1890317052602768
presence,0.24428647756576538,0.27154475450515747,0.34114351868629456,0.14757689833641052,0.2917717397212982,0.34114351868629456,0.15868176519870758,0.2964986562728882,0.24880747497081757,0.12575316429138184,0.08592845499515533
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.23205991089344025,0.5696388483047485,0.6662389636039734,0.2402431070804596,0.2565164566040039,1.0,0.22147351503372192,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.3187980651855469,0.733189046382904,1.0,0.2290858030319214,0.3134811818599701,0.6662389636039734,0.2176690250635147,0.22068053483963013
united,0.20036718249320984,0.22408509254455566,0.34367692470550537,0.23710015416145325,0.3187655806541443,0.34367692470550537,0.2749183773994446,0.21618792414665222,0.3938477039337158,0.303199827671051,0.17266890406608582
states,0.21526020765304565,0.21939043700695038,0.3463578522205353,0.23511652648448944,0.30884552001953125,0.3463578522205353,0.2865029573440552,0.2525377571582794,0.3977442979812622,0.31034567952156067,0.16272737085819244
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2531220316886902,0.5352458953857422,0.5934505462646484,0.21794499456882477,0.21802116930484772,0.5591574311256409,0.2843366861343384,0.4130953550338745
