,what,other,scientist,influence,frank,burnet,when,he,was,formulating,his,theory,of,immunity,?
in,0.30808621644973755,0.39989137649536133,0.16458964347839355,0.26119694113731384,0.22083771228790283,0.2274906486272812,0.4431333839893341,0.41690486669540405,0.45514053106307983,0.23218917846679688,0.3598145842552185,0.16955126821994781,0.5696388483047485,0.16387996077537537,0.20430970191955566
the,0.42745697498321533,0.44152235984802246,0.16244260966777802,0.3039984107017517,0.23372484743595123,0.22217674553394318,0.5091903209686279,0.4571082592010498,0.48711544275283813,0.30032026767730713,0.4394008219242096,0.2277156263589859,0.733189046382904,0.25992491841316223,0.22068053483963013
mid-1950s,0.20937487483024597,0.2517954111099243,0.060115013271570206,0.12202417105436325,0.09196624904870987,0.1123981773853302,0.31504344940185547,0.1775943487882614,0.18335789442062378,0.1488710641860962,0.2529384195804596,0.14345748722553253,0.28406795859336853,0.1851220577955246,0.09087309241294861
",",0.3087472915649414,0.4446498453617096,0.2815703749656677,0.2585834860801697,0.2494700700044632,0.28095126152038574,0.36674630641937256,0.40251094102859497,0.45456063747406006,0.24986563622951508,0.3378419280052185,0.18095813691616058,0.4946078956127167,0.21605436503887177,0.31091248989105225
frank,0.13072191178798676,0.18642207980155945,0.22413234412670135,0.10797861963510513,1.0,0.32543355226516724,0.11346619576215744,0.27850526571273804,0.28389421105384827,0.1337820589542389,0.2702799141407013,0.1398588865995407,0.15825092792510986,0.14708426594734192,0.14052411913871765
burnet,0.14271117746829987,0.16450653970241547,0.23830096423625946,0.17661558091640472,0.32543355226516724,1.0,0.16947528719902039,0.20540452003479004,0.24293029308319092,0.08057014644145966,0.17898429930210114,0.09967875480651855,0.15465624630451202,0.1206476017832756,0.20780394971370697
",",0.3087472915649414,0.4446498453617096,0.2815703749656677,0.2585834860801697,0.2494700700044632,0.28095126152038574,0.36674630641937256,0.40251094102859497,0.45456063747406006,0.24986563622951508,0.3378419280052185,0.18095813691616058,0.4946078956127167,0.21605436503887177,0.31091248989105225
inspired,0.18111269176006317,0.25224003195762634,0.17217309772968292,0.4149891138076782,0.24938493967056274,0.2292594462633133,0.171225905418396,0.24210581183433533,0.3109425902366638,0.1936219036579132,0.30602148175239563,0.21295073628425598,0.2985292971134186,0.1191060021519661,0.1529090851545334
by,0.2455483376979828,0.3321913778781891,0.224509134888649,0.29864758253097534,0.2195586860179901,0.24631668627262115,0.4376842677593231,0.2485479861497879,0.4752357602119446,0.2657088041305542,0.3107621967792511,0.17579947412014008,0.3646814823150635,0.20264138281345367,0.17966607213020325
a,0.3320399522781372,0.2806335389614105,0.2334214746952057,0.23828014731407166,0.15678770840168,0.21488821506500244,0.44397395849227905,0.4393508732318878,0.4508470594882965,0.2451760172843933,0.3497250974178314,0.2233850657939911,0.5052502155303955,0.196896031498909,0.23916715383529663
suggestion,0.4548785984516144,0.3218739628791809,0.21852326393127441,0.3365058898925781,0.13031204044818878,0.14793255925178528,0.3146485984325409,0.2274206131696701,0.22767101228237152,0.3458103835582733,0.27330493927001953,0.3182888925075531,0.2111477106809616,0.21557340025901794,0.4631749987602234
made,0.23419176042079926,0.2986699640750885,0.17942221462726593,0.20255766808986664,0.1495758444070816,0.181057870388031,0.2936893105506897,0.27847591042518616,0.3433256447315216,0.26772013306617737,0.29201897978782654,0.18211349844932556,0.33167365193367004,0.16140031814575195,0.17218779027462006
by,0.2455483376979828,0.3321913778781891,0.224509134888649,0.29864758253097534,0.2195586860179901,0.24631668627262115,0.4376842677593231,0.2485479861497879,0.4752357602119446,0.2657088041305542,0.3107621967792511,0.17579947412014008,0.3646814823150635,0.20264138281345367,0.17966607213020325
niels,0.1230473592877388,0.12923511862754822,0.3624110221862793,0.1613178700208664,0.19848515093326569,0.1981804221868515,0.17011557519435883,0.19124126434326172,0.1985655128955841,0.1813114434480667,0.1887320578098297,0.270622581243515,0.1515740007162094,0.24669328331947327,0.05515044927597046
jerne,0.12489667534828186,0.17204546928405762,0.30640536546707153,0.1447942852973938,0.3261200487613678,0.2842933237552643,0.06508606672286987,0.250072717666626,0.25863173604011536,0.21566201746463776,0.26275545358657837,0.21356254816055298,0.18354912102222443,0.21034781634807587,0.09104099869728088
",",0.3087472915649414,0.4446498453617096,0.2815703749656677,0.2585834860801697,0.2494700700044632,0.28095126152038574,0.36674630641937256,0.40251094102859497,0.45456063747406006,0.24986563622951508,0.3378419280052185,0.18095813691616058,0.4946078956127167,0.21605436503887177,0.31091248989105225
formulated,0.24279600381851196,0.2169627547264099,0.28828364610671997,0.28303202986717224,0.1384347826242447,0.09783659875392914,0.2725318372249603,0.1982414275407791,0.2657249867916107,0.8389516472816467,0.21669302880764008,0.4175911843776703,0.29343387484550476,0.16058838367462158,0.17216148972511292
the,0.42745697498321533,0.44152235984802246,0.16244260966777802,0.3039984107017517,0.23372484743595123,0.22217674553394318,0.5091903209686279,0.4571082592010498,0.48711544275283813,0.30032026767730713,0.4394008219242096,0.2277156263589859,0.733189046382904,0.25992491841316223,0.22068053483963013
