,an,1821,full,size,oil,sketch,of,which,famous,british,painting,was,donated,by,john,sheepshank,'s,daughter,in,1888,?
although,0.25058484077453613,-0.18548281490802765,0.18869127333164215,0.2151372879743576,0.14899559319019318,0.19910508394241333,0.3024747669696808,0.3901670575141907,0.1515199840068817,0.1774938404560089,0.14596892893314362,0.3711436688899994,0.21927978098392487,0.2373359203338623,0.1432090550661087,0.22854796051979065,0.06846998631954193,0.10349557548761368,0.28763338923454285,0.15038618445396423,0.15541206300258636
some,0.2864145338535309,-0.2969965934753418,0.30417659878730774,0.24838316440582275,0.19998930394649506,0.2076098918914795,0.4300730526447296,0.5407140851020813,0.32524365186691284,0.20344354212284088,0.22417762875556946,0.21528802812099457,0.20090778172016144,0.306446373462677,0.15747439861297607,0.3040919899940491,0.056411296129226685,0.1063510850071907,0.4010399878025055,0.1003904938697815,0.2562315762042999
of,0.32280945777893066,-0.15542727708816528,0.3238043189048767,0.27599775791168213,0.22900764644145966,0.1751188188791275,1.0,0.5011631846427917,0.3074295222759247,0.23701532185077667,0.22635287046432495,0.4069072902202606,0.27521181106567383,0.3646814823150635,0.2407056987285614,0.23886480927467346,-0.03817026689648628,0.23132967948913574,0.5696388483047485,0.16667240858078003,0.1826142966747284
constable,0.15637336671352386,0.12132135778665543,0.1324651837348938,0.10840865224599838,0.1930353343486786,0.26286807656288147,0.2735709249973297,0.1455448716878891,0.21555526554584503,0.24500785768032074,0.2908073365688324,0.26559290289878845,0.19676704704761505,0.22035104036331177,0.3348100185394287,0.32688403129577637,-0.06711225211620331,0.24993498623371124,0.26808416843414307,0.14597195386886597,0.1295066475868225
's,0.025255560874938965,-0.06615035235881805,0.03059709072113037,0.08317088335752487,-0.08246297389268875,0.09007653594017029,-0.03817026689648628,0.03856118768453598,0.01744024269282818,0.06352180242538452,-0.020961230620741844,0.008974763564765453,-0.09636961668729782,-0.010884488001465797,-0.1023898646235466,0.08385603874921799,0.9999999403953552,-0.04211100563406944,-0.037580832839012146,0.00017254317936021835,-0.023395681753754616
works,0.22120307385921478,-0.1157955676317215,0.20113037526607513,0.09653602540493011,0.14415723085403442,0.2613842785358429,0.1964656114578247,0.2730301022529602,0.28817856311798096,0.12995171546936035,0.28612133860588074,0.2401018887758255,0.2451373040676117,0.2887086570262909,0.1147821769118309,0.2081194519996643,0.04286740720272064,0.10143766552209854,0.2656683027744293,0.054637908935546875,0.19597402215003967
came,0.18223494291305542,-0.11322016268968582,0.15826044976711273,0.13014300167560577,0.1307869553565979,0.09336775541305542,0.3201526999473572,0.23567067086696625,0.24438951909542084,0.19049127399921417,0.18269991874694824,0.4994563162326813,0.1261158436536789,0.17827941477298737,0.22996744513511658,0.2438715100288391,0.03627123311161995,0.15739162266254425,0.29996100068092346,0.17984992265701294,0.1739392727613449
to,0.3138085603713989,-0.233694925904274,0.2671089768409729,0.26289698481559753,0.1619214415550232,0.18453249335289001,0.41548454761505127,0.5345056653022766,0.12665097415447235,0.22690963745117188,0.21697743237018585,0.3636345863342285,0.25148287415504456,0.33534231781959534,0.2070634365081787,0.30878379940986633,0.03782717138528824,0.1864093840122223,0.45010748505592346,0.17033766210079193,0.29463258385658264
the,0.4207492768764496,-0.20734712481498718,0.2988807260990143,0.2946445941925049,0.21849922835826874,0.17374901473522186,0.733189046382904,0.6521818041801453,0.28616565465927124,0.28973397612571716,0.20519959926605225,0.48711544275283813,0.24606364965438843,0.4408751428127289,0.2230520099401474,0.32790711522102356,-0.01540423184633255,0.16813424229621887,0.6662389636039734,0.2002750039100647,0.22068053483963013
museum,0.12674804031848907,0.02536574937403202,0.0829385295510292,0.19687148928642273,0.19486266374588013,0.24910405278205872,0.23314370214939117,0.22731433808803558,0.21559910476207733,0.1519032120704651,0.3381798565387726,0.21266788244247437,0.32454055547714233,0.15592984855175018,0.14412403106689453,0.19345489144325256,-0.011753248050808907,0.1423283815383911,0.2407650351524353,0.05630436912178993,0.14128351211547852
with,0.2730048894882202,-0.23269623517990112,0.25611773133277893,0.19676974415779114,0.14971643686294556,0.21016469597816467,0.41827285289764404,0.46403205394744873,0.22583967447280884,0.1637800633907318,0.20032571256160736,0.27411898970603943,0.22566799819469452,0.39731505513191223,0.1736196130514145,0.2991466224193573,-0.04624466598033905,0.16711026430130005,0.4080928862094879,0.12261278927326202,0.2433311939239502
the,0.4207492768764496,-0.20734712481498718,0.2988807260990143,0.2946445941925049,0.21849922835826874,0.17374901473522186,0.733189046382904,0.6521818041801453,0.28616565465927124,0.28973397612571716,0.20519959926605225,0.48711544275283813,0.24606364965438843,0.4408751428127289,0.2230520099401474,0.32790711522102356,-0.01540423184633255,0.16813424229621887,0.6662389636039734,0.2002750039100647,0.22068053483963013
