,colonial,rule,would,be,considered,what,type,of,imperialism,?
there,0.16517449915409088,0.22327294945716858,0.33190950751304626,0.41019052267074585,0.29038745164871216,0.35085538029670715,0.2376682013273239,0.44397735595703125,0.1717560887336731,0.29405656456947327
are,0.16936959326267242,0.16171060502529144,0.32024338841438293,0.5556803941726685,0.35714471340179443,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.10887809097766876,0.24591213464736938
``,0.08214693516492844,0.18431732058525085,0.08063928782939911,0.07670000940561295,0.06466352939605713,0.008517155423760414,0.03534303233027458,0.06780257821083069,0.050459738820791245,0.0685480609536171
formal,0.27212226390838623,0.26919689774513245,0.2669815123081207,0.2562829256057739,0.22047610580921173,0.26485171914100647,0.1821809560060501,0.2704104781150818,0.2986674904823303,0.1989586055278778
'',-0.023450249806046486,0.09699608385562897,0.02574172429740429,0.08835477381944656,0.15465481579303741,0.08143015950918198,0.054222505539655685,0.13035868108272552,-0.013202380388975143,0.018684765323996544
or,0.14486640691757202,0.18284539878368378,0.39548179507255554,0.5260903835296631,0.35840076208114624,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.16436384618282318,0.32389625906944275
``,0.08214693516492844,0.18431732058525085,0.08063928782939911,0.07670000940561295,0.06466352939605713,0.008517155423760414,0.03534303233027458,0.06780257821083069,0.050459738820791245,0.0685480609536171
informal,0.15935519337654114,0.2198389768600464,0.2546933889389038,0.2722707986831665,0.22773787379264832,0.31096258759498596,0.11011379957199097,0.2598820626735687,0.27093014121055603,0.17082542181015015
'',-0.023450249806046486,0.09699608385562897,0.02574172429740429,0.08835477381944656,0.15465481579303741,0.08143015950918198,0.054222505539655685,0.13035868108272552,-0.013202380388975143,0.018684765323996544
imperialisms,0.35779523849487305,0.3060716390609741,0.2782639265060425,0.2270413339138031,0.2502807080745697,0.23357899487018585,0.117542564868927,0.3068854510784149,0.9384929537773132,0.18788480758666992
.,0.263717383146286,0.2436654418706894,0.35067233443260193,0.4383580684661865,0.29356086254119873,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.22279119491577148,0.4130953550338745
,colonial,rule,would,be,considered,what,type,of,imperialism,?
``,0.08214693516492844,0.18431732058525085,0.08063928782939911,0.07670000940561295,0.06466352939605713,0.008517155423760414,0.03534303233027458,0.06780257821083069,0.050459738820791245,0.0685480609536171
formal,0.27212226390838623,0.26919689774513245,0.2669815123081207,0.2562829256057739,0.22047610580921173,0.26485171914100647,0.1821809560060501,0.2704104781150818,0.2986674904823303,0.1989586055278778
imperialism,0.3582434058189392,0.30655044317245483,0.23777715861797333,0.15657790005207062,0.23382091522216797,0.24614648520946503,0.08838813751935959,0.29240643978118896,1.0,0.14998586475849152
'',-0.023450249806046486,0.09699608385562897,0.02574172429740429,0.08835477381944656,0.15465481579303741,0.08143015950918198,0.054222505539655685,0.13035868108272552,-0.013202380388975143,0.018684765323996544
is,0.15852876007556915,0.18984714150428772,0.33626067638397217,0.4819129705429077,0.4096149802207947,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.13894762098789215,0.22961433231830597
defined,0.1662227064371109,0.17954710125923157,0.23053357005119324,0.31403958797454834,0.3745657801628113,0.25343453884124756,0.27646204829216003,0.2659633457660675,0.26578861474990845,0.22494901716709137
as,0.19303007423877716,0.2750559151172638,0.3824005722999573,0.5230465531349182,0.4031961262226105,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.2192956656217575,0.27043893933296204
``,0.08214693516492844,0.18431732058525085,0.08063928782939911,0.07670000940561295,0.06466352939605713,0.008517155423760414,0.03534303233027458,0.06780257821083069,0.050459738820791245,0.0685480609536171
physical,0.17726513743400574,0.10482865571975708,0.19919970631599426,0.27982616424560547,0.21738740801811218,0.27895045280456543,0.22469283640384674,0.3124530017375946,0.1680603325366974,0.11781801283359528
control,0.21184080839157104,0.36925187706947327,0.2068130522966385,0.21166473627090454,0.1920628845691681,0.2821830213069916,0.1269082874059677,0.2817542552947998,0.16404078900814056,0.1620711386203766
or,0.14486640691757202,0.18284539878368378,0.39548179507255554,0.5260903835296631,0.35840076208114624,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.16436384618282318,0.32389625906944275
full-fledged,0.210630863904953,0.25517669320106506,0.39827674627304077,0.307589054107666,0.2685362696647644,0.2668496370315552,0.1272231489419937,0.33848458528518677,0.23463115096092224,0.250942200422287
colonial,1.0,0.2911442518234253,0.1449269950389862,0.13562141358852386,0.1771867275238037,0.15791663527488708,0.0742623433470726,0.2972153425216675,0.3582434058189392,0.10191229730844498
rule,0.2911442518234253,1.0,0.26018860936164856,0.25201159715652466,0.2120702862739563,0.30539435148239136,0.08501260727643967,0.25175079703330994,0.30655044317245483,0.1955260932445526
'',-0.023450249806046486,0.09699608385562897,0.02574172429740429,0.08835477381944656,0.15465481579303741,0.08143015950918198,0.054222505539655685,0.13035868108272552,-0.013202380388975143,0.018684765323996544
.,0.263717383146286,0.2436654418706894,0.35067233443260193,0.4383580684661865,0.29356086254119873,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.22279119491577148,0.4130953550338745
