,the,amazon,rainforest,makes,up,what,amount,of,earth,'s,rainforests,?
the,1.0,0.260541707277298,0.2571161389350891,0.3029823303222656,0.38423117995262146,0.42745697498321533,0.3336862325668335,0.733189046382904,0.2801888585090637,-0.01540423184633255,0.2820507287979126,0.22068053483963013
amazon,0.260541707277298,1.0000001192092896,0.48046615719795227,0.17251622676849365,0.11360682547092438,0.16355936229228973,0.1940114051103592,0.20143137872219086,0.26471105217933655,0.062328040599823,0.48722654581069946,0.18144656717777252
represents,0.3328246772289276,0.13313208520412445,0.10111837834119797,0.31177785992622375,0.16135188937187195,0.18834242224693298,0.18074160814285278,0.3967677056789398,0.23473288118839264,0.1059265062212944,0.15759241580963135,0.1586666852235794
over,0.39856547117233276,0.18121705949306488,0.216535285115242,0.2854476869106293,0.37640950083732605,0.28007611632347107,0.3027430474758148,0.36136594414711,0.19682858884334564,0.016215575858950615,0.24963723123073578,0.25742942094802856
half,0.3189295828342438,0.15001718699932098,0.10634289681911469,0.19678020477294922,0.2276652306318283,0.13016436994075775,0.23315510153770447,0.2784358561038971,0.23541691899299622,-0.0026473274920135736,0.12618139386177063,0.07471233606338501
of,0.733189046382904,0.20143137872219086,0.22522282600402832,0.2927091419696808,0.32945773005485535,0.33290785551071167,0.2541177570819855,1.0,0.2329314798116684,-0.03817026689648628,0.25672608613967896,0.1826142966747284
the,1.0,0.260541707277298,0.2571161389350891,0.3029823303222656,0.38423117995262146,0.42745697498321533,0.3336862325668335,0.733189046382904,0.2801888585090637,-0.01540423184633255,0.2820507287979126,0.22068053483963013
planet,0.2470240592956543,0.2702961564064026,0.3269796669483185,0.20236222445964813,0.18997089564800262,0.2183026820421219,0.22273384034633636,0.19911958277225494,0.6280893683433533,-0.040571004152297974,0.30241701006889343,0.16979767382144928
's,-0.01540423184633255,0.062328040599823,0.06952503323554993,0.053655147552490234,-0.08862818777561188,0.02692362666130066,0.051227446645498276,-0.03817026689648628,0.0661235973238945,0.9999999403953552,0.08486482501029968,-0.023395681753754616
remaining,0.45105910301208496,0.15604780614376068,0.25641271471977234,0.13804587721824646,0.2624080181121826,0.21802754700183868,0.23550862073898315,0.3693024218082428,0.19671137630939484,0.03188075125217438,0.26130515336990356,0.16961920261383057
rainforests,0.2820507287979126,0.48722654581069946,0.9502372741699219,0.17119617760181427,0.19815145432949066,0.226042240858078,0.2162356674671173,0.25672608613967896,0.3396197557449341,0.08486482501029968,1.0,0.17730745673179626
",",0.4933079481124878,0.2214922308921814,0.2737860679626465,0.2926395535469055,0.34193792939186096,0.3087472915649414,0.21125462651252747,0.4946078956127167,0.23186853528022766,-0.0016132977325469255,0.2829539477825165,0.31091248989105225
and,0.5171257257461548,0.23464977741241455,0.26834338903427124,0.34688496589660645,0.4032393991947174,0.31309178471565247,0.2668909728527069,0.5116966962814331,0.27524080872535706,0.06895173341035843,0.2924107611179352,0.20544172823429108
comprises,0.30223149061203003,0.1909283995628357,0.24794869124889374,0.18710093200206757,0.24171225726604462,0.12282794713973999,0.08808896690607071,0.3857746422290802,0.10822068154811859,0.041924748569726944,0.2883571684360504,0.037654489278793335
the,1.0,0.260541707277298,0.2571161389350891,0.3029823303222656,0.38423117995262146,0.42745697498321533,0.3336862325668335,0.733189046382904,0.2801888585090637,-0.01540423184633255,0.2820507287979126,0.22068053483963013
largest,0.3757036626338959,0.1760348230600357,0.2660103440284729,0.18083597719669342,0.20254385471343994,0.13463157415390015,0.18076719343662262,0.36650770902633667,0.16152158379554749,-0.02050611935555935,0.2861930727958679,0.12401245534420013
and,0.5171257257461548,0.23464977741241455,0.26834338903427124,0.34688496589660645,0.4032393991947174,0.31309178471565247,0.2668909728527069,0.5116966962814331,0.27524080872535706,0.06895173341035843,0.2924107611179352,0.20544172823429108
most,0.47635307908058167,0.19138962030410767,0.27283456921577454,0.34993743896484375,0.1990664303302765,0.3219912350177765,0.3196190595626831,0.4178851246833801,0.23000380396842957,0.024445664137601852,0.30574917793273926,0.2107497900724411
biodiverse,0.23152296245098114,0.3636356592178345,0.4773416817188263,0.22661656141281128,0.1547594666481018,0.21471285820007324,0.2939246892929077,0.21850557625293732,0.45775294303894043,0.0026449942961335182,0.4984900951385498,0.14353463053703308
tract,0.2717020511627197,0.15840016305446625,0.25388485193252563,0.16051794588565826,0.20471321046352386,0.23493309319019318,0.20524205267429352,0.20875340700149536,0.09776949882507324,0.0023524744901806116,0.26792818307876587,0.1459975689649582
of,0.733189046382904,0.20143137872219086,0.22522282600402832,0.2927091419696808,0.32945773005485535,0.33290785551071167,0.2541177570819855,1.0,0.2329314798116684,-0.03817026689648628,0.25672608613967896,0.1826142966747284
tropical,0.18640398979187012,0.3167080283164978,0.46654731035232544,0.1070820689201355,0.14830538630485535,0.204971045255661,0.13807116448879242,0.18125450611114502,0.17538157105445862,0.09045867621898651,0.47580045461654663,0.16629411280155182
rainforest,0.2571161389350891,0.48046615719795227,1.0,0.1614997535943985,0.20373761653900146,0.22127854824066162,0.1846332550048828,0.22522282600402832,0.3454352021217346,0.06952503323554993,0.9502372741699219,0.1917492002248764
in,0.6662389636039734,0.12227833271026611,0.2207682877779007,0.22258508205413818,0.3120773434638977,0.30808621644973755,0.2569429874420166,0.5696388483047485,0.18566735088825226,-0.037580832839012146,0.24447718262672424,0.20430970191955566
the,1.0,0.260541707277298,0.2571161389350891,0.3029823303222656,0.38423117995262146,0.42745697498321533,0.3336862325668335,0.733189046382904,0.2801888585090637,-0.01540423184633255,0.2820507287979126,0.22068053483963013
world,0.33604270219802856,0.22393567860126495,0.2830129563808441,0.23100930452346802,0.2586722671985626,0.21669597923755646,0.12216810882091522,0.2828933000564575,0.2691185772418976,0.11877062171697617,0.2728438079357147,0.17579582333564758
