,when,was,europe,'s,last,major,epidemic,?
europe,0.18744638562202454,0.2931758761405945,1.0000001192092896,0.08762212097644806,0.2198542058467865,0.22002781927585602,0.29244258999824524,0.18278923630714417
's,-0.03368149697780609,0.008974763564765453,0.08762212097644806,0.9999999403953552,0.03682802617549896,-0.010959804058074951,0.006394290365278721,-0.023395681753754616
last,0.3294509947299957,0.32424551248550415,0.2198542058467865,0.03682802617549896,1.0,0.229953333735466,0.180602565407753,0.22371746599674225
major,0.17186790704727173,0.20676274597644806,0.22002781927585602,-0.010959804058074951,0.229953333735466,0.9999998807907104,0.19848881661891937,0.19788557291030884
epidemic,0.2728027105331421,0.2477717399597168,0.29244258999824524,0.006394290365278721,0.180602565407753,0.19848881661891937,1.0000001192092896,0.1562352478504181
occurred,0.221700981259346,0.2760649025440216,0.22527670860290527,-0.034319814294576645,0.27350080013275146,0.28098589181900024,0.31857722997665405,0.15880417823791504
in,0.4431333839893341,0.45514053106307983,0.33061710000038147,-0.037580832839012146,0.30714505910873413,0.3249945342540741,0.28030508756637573,0.20430970191955566
1720,0.06768584996461868,0.170228511095047,0.13022518157958984,-0.07957110553979874,0.05706039071083069,0.018176842480897903,0.09739469736814499,0.1383279263973236
in,0.4431333839893341,0.45514053106307983,0.33061710000038147,-0.037580832839012146,0.30714505910873413,0.3249945342540741,0.28030508756637573,0.20430970191955566
marseille,0.18156017363071442,0.26068082451820374,0.2793748080730438,0.09688625484704971,0.13304740190505981,0.10954903066158295,0.265733927488327,0.17454060912132263
.,0.475719153881073,0.40146201848983765,0.31984585523605347,-0.003708066651597619,0.3548945486545563,0.3054012954235077,0.259855180978775,0.4130953550338745
