,when,was,his,article,published,in,century,magazine,?
many,0.36563900113105774,0.260356068611145,0.3188176155090332,0.24520297348499298,0.18215684592723846,0.41474202275276184,0.3132779002189636,0.172976553440094,0.2124512493610382
of,0.3757161796092987,0.4069072902202606,0.38364991545677185,0.25720444321632385,0.23023100197315216,0.5696388483047485,0.2826060354709625,0.16736742854118347,0.1826142966747284
tesla,0.1504557579755783,0.16455206274986267,0.1580733060836792,0.14590303599834442,0.16719935834407806,0.17097744345664978,0.18959936499595642,0.2325788289308548,0.10250775516033173
's,-0.03368149697780609,0.008974763564765453,0.047556519508361816,-0.02360285259783268,0.01244857907295227,-0.037580832839012146,-0.0005286295781843364,0.04030289873480797,-0.023395681753754616
writings,0.18043038249015808,0.21465790271759033,0.3246472179889679,0.2894648611545563,0.4204557240009308,0.2301568239927292,0.3499782085418701,0.27255120873451233,0.1770159751176834
are,0.29873907566070557,0.3076191842556,0.1785505712032318,0.23467081785202026,0.15000919997692108,0.3841303884983063,0.217155322432518,0.1098749190568924,0.24591213464736938
freely,0.31416451930999756,0.14071430265903473,0.1694958359003067,0.19254080951213837,0.19126537442207336,0.16644398868083954,0.0860273465514183,0.16755740344524384,0.16730758547782898
available,0.1828819364309311,0.1657772958278656,0.15280534327030182,0.2692094147205353,0.2942379117012024,0.1939793825149536,0.14327245950698853,0.20138858258724213,0.2501629889011383
on,0.37706470489501953,0.3909217119216919,0.32064297795295715,0.2953488528728485,0.26885396242141724,0.46853652596473694,0.14449788630008698,0.2296493798494339,0.2714994251728058
the,0.5091903209686279,0.48711544275283813,0.4394008219242096,0.3329811692237854,0.22017472982406616,0.6662389636039734,0.3617299497127533,0.19931171834468842,0.22068053483963013
web,0.1502617746591568,0.1556902825832367,0.1385592818260193,0.30913469195365906,0.1893097162246704,0.20747855305671692,0.09695650637149811,0.18618051707744598,0.2310575395822525
",",0.36674630641937256,0.45456063747406006,0.3378419280052185,0.28605279326438904,0.2937801778316498,0.5201468467712402,0.24487493932247162,0.2281705141067505,0.31091248989105225
including,0.24633030593395233,0.21884717047214508,0.25115638971328735,0.1980353742837906,0.1859210729598999,0.35857823491096497,0.220066636800766,0.15019851922988892,0.1633303165435791
the,0.5091903209686279,0.48711544275283813,0.4394008219242096,0.3329811692237854,0.22017472982406616,0.6662389636039734,0.3617299497127533,0.19931171834468842,0.22068053483963013
article,0.2636274993419647,0.26395970582962036,0.21151746809482574,0.9999999403953552,0.2783300280570984,0.26153311133384705,0.23695363104343414,0.28521206974983215,0.4948462247848511
``,0.07174111902713776,-0.012679691426455975,0.008275155909359455,0.025853512808680534,-0.08193813264369965,0.04765888676047325,0.02234543487429619,-0.037552610039711,0.0685480609536171
the,0.5091903209686279,0.48711544275283813,0.4394008219242096,0.3329811692237854,0.22017472982406616,0.6662389636039734,0.3617299497127533,0.19931171834468842,0.22068053483963013
problem,0.35051244497299194,0.17229199409484863,0.17596246302127838,0.3999350070953369,0.17930960655212402,0.16969570517539978,0.17412970960140228,0.18412858247756958,0.3762950301170349
of,0.3757161796092987,0.4069072902202606,0.38364991545677185,0.25720444321632385,0.23023100197315216,0.5696388483047485,0.2826060354709625,0.16736742854118347,0.1826142966747284
increasing,0.31666263937950134,0.17554011940956116,0.22770218551158905,0.18971911072731018,0.08375443518161774,0.2580164670944214,0.2493135780096054,0.1546865552663803,0.0681626945734024
human,0.2192842811346054,0.1688746064901352,0.24721163511276245,0.25461921095848083,0.13096760213375092,0.23986108601093292,0.22605137526988983,0.13512733578681946,0.19748784601688385
energy,0.24666637182235718,0.15364649891853333,0.15422320365905762,0.2270709127187729,0.09329362213611603,0.17693158984184265,0.14825557172298431,0.12140341103076935,0.14860127866268158
",",0.36674630641937256,0.45456063747406006,0.3378419280052185,0.28605279326438904,0.2937801778316498,0.5201468467712402,0.24487493932247162,0.2281705141067505,0.31091248989105225
'',-0.07688097655773163,0.04456103965640068,0.016508836299180984,0.08483149111270905,0.013779557310044765,0.07432962208986282,0.09057682752609253,-0.08468794077634811,0.018684765323996544
published,0.1944759637117386,0.2896443009376526,0.2540745139122009,0.2783300280570984,1.0,0.26697060465812683,0.24580150842666626,0.46629855036735535,0.16280238330364227
in,0.4431333839893341,0.45514053106307983,0.3598145842552185,0.26153311133384705,0.26697060465812683,1.0,0.3174034655094147,0.17267684638500214,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,0.4394008219242096,0.3329811692237854,0.22017472982406616,0.6662389636039734,0.3617299497127533,0.19931171834468842,0.22068053483963013
century,0.22992412745952606,0.3521432876586914,0.2985166609287262,0.23695363104343414,0.24580150842666626,0.3174034655094147,1.0,0.2131083607673645,0.1026201918721199
magazine,0.16317565739154816,0.25375688076019287,0.1464061290025711,0.28521206974983215,0.46629855036735535,0.17267684638500214,0.2131083607673645,1.0000001192092896,0.15570664405822754
in,0.4431333839893341,0.45514053106307983,0.3598145842552185,0.26153311133384705,0.26697060465812683,1.0,0.3174034655094147,0.17267684638500214,0.20430970191955566
1900,0.055429618805646896,0.10391559451818466,0.051969870924949646,0.18094958364963531,0.24417297542095184,0.11635804176330566,0.029618024826049805,0.14960794150829315,0.12663045525550842
",",0.36674630641937256,0.45456063747406006,0.3378419280052185,0.28605279326438904,0.2937801778316498,0.5201468467712402,0.24487493932247162,0.2281705141067505,0.31091248989105225
and,0.4716290831565857,0.3740963041782379,0.4234102666378021,0.23647621273994446,0.22629010677337646,0.4954058527946472,0.2726690471172333,0.15210320055484772,0.20544172823429108
the,0.5091903209686279,0.48711544275283813,0.4394008219242096,0.3329811692237854,0.22017472982406616,0.6662389636039734,0.3617299497127533,0.19931171834468842,0.22068053483963013
article,0.2636274993419647,0.26395970582962036,0.21151746809482574,0.9999999403953552,0.2783300280570984,0.26153311133384705,0.23695363104343414,0.28521206974983215,0.4948462247848511
``,0.07174111902713776,-0.012679691426455975,0.008275155909359455,0.025853512808680534,-0.08193813264369965,0.04765888676047325,0.02234543487429619,-0.037552610039711,0.0685480609536171
experiments,0.2910088300704956,0.24334195256233215,0.2605794072151184,0.21573585271835327,0.2942578196525574,0.21977302432060242,0.2425965666770935,0.16976270079612732,0.14564716815948486
