,which,time,period,does,the,sculpture,collection,cover,?
there,0.45256471633911133,0.3047161102294922,0.24570882320404053,0.2930194139480591,0.47025805711746216,0.21733295917510986,0.18927989900112152,0.18984642624855042,0.29405656456947327
are,0.42922598123550415,0.24188680946826935,0.18534421920776367,0.3126322329044342,0.40399202704429626,0.1801881343126297,0.22862131893634796,0.20070868730545044,0.24591213464736938
approximately,0.3551456928253174,0.28077468276023865,0.24195829033851624,0.16432708501815796,0.33137547969818115,0.1663094460964203,0.15115109086036682,0.19626156985759735,0.10237617790699005
"22,000",0.12852245569229126,0.14266175031661987,0.12878072261810303,0.14701087772846222,0.27598780393600464,0.20950645208358765,0.14698860049247742,0.12693725526332855,0.12490357458591461
objects,0.30641767382621765,0.18288244307041168,0.1947048008441925,0.2463521659374237,0.24716724455356598,0.3080253601074219,0.3340989947319031,0.22569134831428528,0.15479016304016113
in,0.4840516746044159,0.3431483507156372,0.23051127791404724,0.214483380317688,0.6662389636039734,0.23036405444145203,0.23004686832427979,0.19227565824985504,0.20430970191955566
the,0.6521818041801453,0.43061500787734985,0.3125074505805969,0.35928019881248474,1.0,0.23690329492092133,0.25281965732574463,0.26727065443992615,0.22068053483963013
collection,0.30199134349823,0.2474898248910904,0.2219470590353012,0.10356780141592026,0.25281965732574463,0.3205874264240265,0.9999998807907104,0.276835560798645,0.20069393515586853
that,0.6894589066505432,0.388528436422348,0.261763334274292,0.4764937460422516,0.5473989248275757,0.2037505954504013,0.22439968585968018,0.24846096336841583,0.32716336846351624
cover,0.2708751857280731,0.19033178687095642,0.11604511737823486,0.24796083569526672,0.26727065443992615,0.24200162291526794,0.276835560798645,0.9999998807907104,0.18414615094661713
the,0.6521818041801453,0.43061500787734985,0.3125074505805969,0.35928019881248474,1.0,0.23690329492092133,0.25281965732574463,0.26727065443992615,0.22068053483963013
period,0.31679004430770874,0.46082159876823425,1.0,0.10085267573595047,0.3125074505805969,0.2683025896549225,0.2219470590353012,0.11604511737823486,0.18706195056438446
from,0.38755592703819275,0.2964353561401367,0.2558770775794983,0.1777622550725937,0.40150508284568787,0.18837447464466095,0.2754948139190674,0.19020850956439972,0.19969791173934937
about,0.4059852957725525,0.305572509765625,0.24550940096378326,0.26877498626708984,0.37995871901512146,0.17854145169258118,0.19907724857330322,0.241532102227211,0.302409827709198
400,0.19822151958942413,0.08213856816291809,0.08427146822214127,0.05855085328221321,0.17705115675926208,0.04471671208739281,0.1730964034795761,0.10488776862621307,0.14271585643291473
ad,0.17960327863693237,0.21068806946277618,0.2208026945590973,0.07451970875263214,0.24233382940292358,0.1584397703409195,0.10016218572854996,0.13730069994926453,0.20824462175369263
to,0.5345056653022766,0.3679993152618408,0.24346192181110382,0.4391997456550598,0.535392165184021,0.23966236412525177,0.15417452156543732,0.2887181341648102,0.29463258385658264
1914,0.18796472251415253,0.04983393847942352,0.09232581406831741,0.16831055283546448,0.04474614933133125,-0.006268451921641827,0.018130548298358917,0.04598640277981758,0.14893388748168945
.,0.45942068099975586,0.371569961309433,0.2575049102306366,0.3022993505001068,0.5934505462646484,0.2360875904560089,0.2516246736049652,0.22325164079666138,0.4130953550338745
