,what,did,the,merchants,of,newcastle,plot,to,do,to,timothy,dexter,?
he,0.3114890456199646,0.3292143940925598,0.4571082592010498,0.2264920324087143,0.38706058263778687,0.2728186249732971,0.22050881385803223,0.385390967130661,0.19599148631095886,0.385390967130661,0.2116779088973999,0.27220314741134644,0.2089974731206894
was,0.22111038863658905,0.41399896144866943,0.48711544275283813,0.24119816720485687,0.4069072902202606,0.25710436701774597,0.17129768431186676,0.3636345863342285,0.11523093283176422,0.3636345863342285,0.270026832818985,0.2542775273323059,0.18412111699581146
persuaded,0.2601774334907532,0.4882606565952301,0.24903278052806854,0.3047265410423279,0.2342083901166916,0.15938659012317657,0.24339662492275238,0.3965211808681488,0.25513988733291626,0.3965211808681488,0.21735168993473053,0.14549648761749268,0.1790418177843094
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.27027255296707153,0.41548454761505127,0.23559264838695526,0.2934653162956238,1.0,0.38876664638519287,1.0,0.24082207679748535,0.1505325883626938,0.29463258385658264
sail,0.16474883258342743,0.17531731724739075,0.21861271560192108,0.32601720094680786,0.17560000717639923,0.2380324900150299,0.17168554663658142,0.25462886691093445,0.20897185802459717,0.25462886691093445,0.17449478805065155,0.11022461205720901,0.1215064600110054
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.19051170349121094,0.5052502155303955,0.21405641734600067,0.22975772619247437,0.45503583550453186,0.26237669587135315,0.45503583550453186,0.2113143503665924,0.27181363105773926,0.23916715383529663
shipment,0.14933986961841583,0.20880064368247986,0.3082832992076874,0.35599783062934875,0.2997748851776123,0.276930570602417,0.10188698768615723,0.2237001359462738,0.1612655371427536,0.2237001359462738,0.16586968302726746,0.14216426014900208,0.10997936874628067
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.23144438862800598,1.0,0.18781472742557526,0.2079721987247467,0.41548454761505127,0.26150479912757874,0.41548454761505127,0.16856801509857178,0.2162887454032898,0.1826142966747284
coal,0.15859243273735046,0.12918034195899963,0.23263108730316162,0.344653844833374,0.2543368637561798,0.28267887234687805,0.1394590586423874,0.20023773610591888,0.14773446321487427,0.20023773610591888,0.102314293384552,0.19999006390571594,0.10339318215847015
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.27027255296707153,0.41548454761505127,0.23559264838695526,0.2934653162956238,1.0,0.38876664638519287,1.0,0.24082207679748535,0.1505325883626938,0.29463258385658264
newcastle,0.16276082396507263,0.18762841820716858,0.2253497689962387,0.16402733325958252,0.18781472742557526,1.0000001192092896,0.14295805990695953,0.23559264838695526,0.09841340035200119,0.23559264838695526,0.2560591995716095,0.20715254545211792,0.0902252271771431
by,0.2455483376979828,0.18574509024620056,0.4408751428127289,0.22154352068901062,0.3646814823150635,0.1767825335264206,0.1420784443616867,0.33534231781959534,0.1481526494026184,0.33534231781959534,0.19391044974327087,0.2240176945924759,0.17966607213020325
