,how,many,volts,could,particles,be,charged,to,in,his,weapon,design,?
it,0.36714982986450195,0.39615920186042786,0.1915515959262848,0.329755574464798,0.23598730564117432,0.5203388929367065,0.16308191418647766,0.513711154460907,0.5130809545516968,0.2876833975315094,0.2713705599308014,0.27284783124923706,0.25732165575027466
describes,0.3473767936229706,0.23264826834201813,0.1708603799343109,0.21383877098560333,0.24308337271213531,0.2753933370113373,0.1508336067199707,0.23831379413604736,0.31060853600502014,0.1912986934185028,0.1597297042608261,0.1903187334537506,0.13134142756462097
an,0.2520636022090912,0.2465583086013794,0.15597912669181824,0.24300263822078705,0.21511413156986237,0.33041056990623474,0.21149267256259918,0.3138085603713989,0.2605783939361572,0.24025635421276093,0.14068880677223206,0.2049156278371811,0.19793890416622162
open-ended,0.2811454236507416,0.3472460210323334,0.20775797963142395,0.33845385909080505,0.28253790736198425,0.3213006556034088,0.3092016875743866,0.3565232753753662,0.32589203119277954,0.29116490483283997,0.24920569360256195,0.3005096912384033,0.2639715373516083
vacuum,0.2040320634841919,0.17094680666923523,0.4223109781742096,0.19124849140644073,0.48467472195625305,0.2818295359611511,0.23732486367225647,0.23672117292881012,0.13421516120433807,0.12008645385503769,0.21686522662639618,0.22947415709495544,0.10335687547922134
tube,0.17100341618061066,0.16289260983467102,0.2400611937046051,0.17729155719280243,0.3077555000782013,0.24208858609199524,0.1832844614982605,0.25624245405197144,0.16100940108299255,0.10486367344856262,0.18439678847789764,0.17152917385101318,0.13631722331047058
with,0.3525622487068176,0.35744401812553406,0.1802295446395874,0.32055896520614624,0.2549915015697479,0.36101722717285156,0.2160840779542923,0.4239959120750427,0.4080928862094879,0.33836179971694946,0.18037094175815582,0.17779715359210968,0.2433311939239502
a,0.29312583804130554,0.2872205972671509,0.22445397078990936,0.3736826181411743,0.2659933865070343,0.39883795380592346,0.21603477001190186,0.45503583550453186,0.539380669593811,0.3497250974178314,0.282960444688797,0.25211480259895325,0.23916715383529663
gas,0.2305871844291687,0.19938527047634125,0.31172695755958557,0.20520712435245514,0.3928753733634949,0.2750326097011566,0.2391299456357956,0.25276535749435425,0.20770272612571716,0.16530585289001465,0.25289735198020935,0.17936065793037415,0.1582372784614563
jet,0.1560501754283905,0.20148016512393951,0.21656574308872223,0.18451587855815887,0.3139292001724243,0.16008718311786652,0.1548793911933899,0.1442762017250061,0.15700970590114594,0.1322702020406723,0.31553542613983154,0.27640968561172485,0.13072358071804047
seal,0.08740229904651642,0.10088290274143219,0.07548850029706955,0.14689062535762787,0.15220999717712402,0.15799058973789215,0.04935169965028763,0.16533806920051575,0.17132852971553802,0.15254439413547516,0.2152784764766693,0.2249601036310196,0.1086806133389473
that,0.557814359664917,0.5391656160354614,0.2507483959197998,0.5584503412246704,0.34902381896972656,0.6036020517349243,0.21676850318908691,0.5436353087425232,0.435920387506485,0.3173833191394806,0.2704586088657379,0.277990460395813,0.32716336846351624
