,what,is,an,example,of,a,virus,that,uses,antigenic,variation,?
an,0.2821882665157318,0.4654068350791931,1.0,0.3076696991920471,0.32280945777893066,0.44552403688430786,0.09110203385353088,0.365763783454895,0.2683957815170288,0.19905425608158112,0.13297298550605774,0.19793890416622162
example,0.3456268310546875,0.36737263202667236,0.3076696991920471,1.0,0.3570667505264282,0.40234753489494324,0.25256624817848206,0.429897665977478,0.4338369369506836,0.3147973418235779,0.37383943796157837,0.30374911427497864
is,0.28837618231773376,1.0,0.4654068350791931,0.36737263202667236,0.4854315221309662,0.658733606338501,0.18618540465831757,0.3995479643344879,0.41359779238700867,0.20996196568012238,0.2888372540473938,0.22961433231830597
hiv,0.17574040591716766,0.16375762224197388,0.17697012424468994,0.22942762076854706,0.15336677432060242,0.20022797584533691,0.5333041548728943,0.22703677415847778,0.13515344262123108,0.45455819368362427,0.23695287108421326,0.18021762371063232
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.427140474319458,0.2469908446073532,0.4137537479400635,0.28387847542762756,0.15348294377326965,0.2463468760251999,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.3611921966075897,0.45943138003349304,0.5011631846427917,0.56894451379776,0.291793555021286,0.6894589066505432,0.33155566453933716,0.3492738604545593,0.3617488741874695,0.25814583897590637
mutates,0.21376477181911469,0.21292757987976074,0.13507448136806488,0.27549874782562256,0.24263319373130798,0.242503359913826,0.46469080448150635,0.2854423224925995,0.1965073198080063,0.5062413811683655,0.36047735810279846,0.17883557081222534
rapidly,0.20276354253292084,0.16968868672847748,0.18780812621116638,0.20156019926071167,0.18131932616233826,0.22376412153244019,0.1592678427696228,0.2643040120601654,0.15733231604099274,0.28651830554008484,0.2247581034898758,0.11245343834161758
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.427140474319458,0.2469908446073532,0.4137537479400635,0.28387847542762756,0.15348294377326965,0.2463468760251999,0.31091248989105225
so,0.539469838142395,0.3153412640094757,0.30126363039016724,0.4155074656009674,0.3184450566768646,0.41474464535713196,0.18376588821411133,0.6779842376708984,0.286429226398468,0.24222247302532196,0.27002888917922974,0.43163934350013733
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.5829201340675354,0.2104095071554184,0.5473989248275757,0.2830192744731903,0.23666222393512726,0.28104788064956665,0.22068053483963013
