,when,would,a,person,be,considered,to,be,excising,a,constitutional,impasse,?
for,0.43402108550071716,0.39877474308013916,0.44038116931915283,0.3028412163257599,0.3801851272583008,0.3214476406574249,0.4451248347759247,0.3801851272583008,0.3613343834877014,0.44038116931915283,0.23558230698108673,0.29619264602661133,0.264628142118454
instance,0.40080466866493225,0.3531370759010315,0.40728384256362915,0.35011351108551025,0.43630778789520264,0.27059435844421387,0.3533851206302643,0.43630778789520264,0.28302913904190063,0.40728384256362915,0.30058303475379944,0.22953851521015167,0.30205854773521423
",",0.36674630641937256,0.32586824893951416,0.427140474319458,0.2255365252494812,0.39254459738731384,0.32932984828948975,0.44245919585227966,0.39254459738731384,0.23645326495170593,0.427140474319458,0.26596060395240784,0.311462938785553,0.31091248989105225
if,0.5608453154563904,0.5543612837791443,0.41272827982902527,0.48828333616256714,0.5628611445426941,0.2923738658428192,0.4559597074985504,0.5628611445426941,0.24203501641750336,0.41272827982902527,0.20500142872333527,0.24240316450595856,0.4441644251346588
the,0.5091903209686279,0.4133751392364502,0.5829201340675354,0.3487054407596588,0.4248143136501312,0.4028765559196472,0.535392165184021,0.4248143136501312,0.3290225565433502,0.5829201340675354,0.2926941215991974,0.28826791048049927,0.22068053483963013
head,0.2459375113248825,0.16175611317157745,0.2807295620441437,0.25609108805656433,0.1369733065366745,0.1091328039765358,0.2177244871854782,0.1369733065366745,0.19002187252044678,0.2807295620441437,0.18246616423130035,0.14677084982395172,0.10879309475421906
of,0.3757161796092987,0.3353942930698395,0.5052502155303955,0.27674683928489685,0.33904364705085754,0.4190242290496826,0.41548454761505127,0.33904364705085754,0.310682475566864,0.5052502155303955,0.3563419580459595,0.26428720355033875,0.1826142966747284
government,0.23078718781471252,0.2675379514694214,0.25158295035362244,0.28458428382873535,0.22621913254261017,0.16786843538284302,0.28343796730041504,0.22621913254261017,0.28327539563179016,0.25158295035362244,0.5718100070953369,0.15412454307079315,0.18851417303085327
of,0.3757161796092987,0.3353942930698395,0.5052502155303955,0.27674683928489685,0.33904364705085754,0.4190242290496826,0.41548454761505127,0.33904364705085754,0.310682475566864,0.5052502155303955,0.3563419580459595,0.26428720355033875,0.1826142966747284
a,0.44397395849227905,0.398599237203598,1.0,0.4078793525695801,0.39883795380592346,0.36109375953674316,0.45503583550453186,0.39883795380592346,0.3020499646663666,1.0,0.2662247121334076,0.26916176080703735,0.23916715383529663
