,when,did,the,last,glacial,end,?
the,0.5091903209686279,0.34736719727516174,1.0,0.3698786795139313,0.23225238919258118,0.39658910036087036,0.22068053483963013
last,0.3294509947299957,0.30895525217056274,0.3698786795139313,1.0,0.24258992075920105,0.413840651512146,0.22371746599674225
glacial,0.17068825662136078,0.14076055586338043,0.23225238919258118,0.24258992075920105,1.0,0.2544325888156891,0.09140896797180176
ran,0.1778479516506195,0.31891340017318726,0.28357353806495667,0.18454605340957642,0.12613482773303986,0.17781710624694824,0.11304427683353424
from,0.405669629573822,0.20248863101005554,0.40150508284568787,0.235591322183609,0.21290011703968048,0.31609439849853516,0.19969791173934937
"~74,000",-0.006927921902388334,0.05841727554798126,-0.054957274347543716,-0.035065602511167526,-0.13400399684906006,-0.06620749831199646,-0.01875816285610199
(,0.2459595799446106,0.18979617953300476,0.33289089798927307,0.290768563747406,0.14295849204063416,0.21691228449344635,0.40561532974243164
bp,0.06523815542459488,0.0998370349407196,0.11876378208398819,0.10663527995347977,0.2593412399291992,0.09558985382318497,0.14202015101909637
=,-0.00605643168091774,-0.05113883316516876,-0.01352626271545887,-0.0435958169400692,0.04727281257510185,0.017977578565478325,-0.005643122363835573
before,0.5650408267974854,0.33642593026161194,0.45900648832321167,0.4677324891090393,0.21615616977214813,0.3768436014652252,0.2507109045982361
present,0.20709340274333954,0.1261267513036728,0.2829846143722534,0.17958343029022217,0.15086977183818817,0.20527121424674988,0.21759982407093048
),0.2538422644138336,0.18584993481636047,0.3456730246543884,0.30915912985801697,0.1293611228466034,0.2439398169517517,0.42300865054130554
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.29026782512664795,0.19838663935661316,0.25448864698410034,0.31091248989105225
until,0.494509756565094,0.33905428647994995,0.37191009521484375,0.38339319825172424,0.2231569141149521,0.30801546573638916,0.20304496586322784
the,0.5091903209686279,0.34736719727516174,1.0,0.3698786795139313,0.23225238919258118,0.39658910036087036,0.22068053483963013
end,0.3228412866592407,0.18808481097221375,0.39658910036087036,0.413840651512146,0.2544325888156891,1.0,0.12543344497680664
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.3052992522716522,0.2019510567188263,0.2215006798505783,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,1.0,0.3698786795139313,0.23225238919258118,0.39658910036087036,0.22068053483963013
pleistocene,0.14468064904212952,0.11243121325969696,0.2248685359954834,0.24845990538597107,0.6085052490234375,0.21977466344833374,0.13196146488189697
(,0.2459595799446106,0.18979617953300476,0.33289089798927307,0.290768563747406,0.14295849204063416,0.21691228449344635,0.40561532974243164
"~11,600",0.0008204671321436763,-0.07432892173528671,-0.042469438165426254,-0.0911213830113411,0.024313338100910187,0.05084597319364548,-0.004967742599546909
bp,0.06523815542459488,0.0998370349407196,0.11876378208398819,0.10663527995347977,0.2593412399291992,0.09558985382318497,0.14202015101909637
),0.2538422644138336,0.18584993481636047,0.3456730246543884,0.30915912985801697,0.1293611228466034,0.2439398169517517,0.42300865054130554
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.3548945486545563,0.14798352122306824,0.26526886224746704,0.4130953550338745
