,what,is,the,name,of,harvard,'s,basketball,facility,?
harvard,0.2177114188671112,0.15387701988220215,0.24496200680732727,0.15755295753479004,0.25842633843421936,1.0,-0.06887804716825485,0.25585779547691345,0.213649719953537,0.11685016006231308
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.2698039710521698,0.3909035325050354,0.16033083200454712,-0.040683966130018234,0.15657341480255127,0.2399975210428238,0.15994466841220856
several,0.22446060180664062,0.20361857116222382,0.40559855103492737,0.18625035881996155,0.3271615505218506,0.19301998615264893,-0.012985157780349255,0.1090264692902565,0.2169140726327896,0.15595775842666626
athletic,0.1290024071931839,0.1772659868001938,0.22677098214626312,0.09860896319150925,0.23119640350341797,0.21660740673542023,0.05539374798536301,0.37291672825813293,0.19249571859836578,0.06249280273914337
facilities,0.137315571308136,0.17244288325309753,0.19172798097133636,0.07131293416023254,0.17473776638507843,0.1709827035665512,0.023276466876268387,0.15668855607509613,0.7929292917251587,0.10624271631240845
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.2719281017780304,-0.0016132977325469255,0.2602025270462036,0.17779797315597534,0.31091248989105225
such,0.23989605903625488,0.23545363545417786,0.3575236201286316,0.14280109107494354,0.3209529519081116,0.13503605127334595,0.05073437839746475,0.12436040490865707,0.2004052847623825,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.19990062713623047,-0.05775856226682663,0.22454699873924255,0.18007348477840424,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,0.24496200680732727,-0.01540423184633255,0.13944239914417267,0.19252020120620728,0.22068053483963013
lavietes,0.16540855169296265,0.2911328971385956,0.3519960343837738,0.20994527637958527,0.30051806569099426,0.20159436762332916,0.060092493891716,0.20659120380878448,0.21005462110042572,0.13517805933952332
pavilion,0.11205407977104187,0.16784338653087616,0.2705269157886505,0.0993882268667221,0.2263508439064026,0.15795542299747467,-0.006555624771863222,0.26739737391471863,0.2778456509113312,0.0988619327545166
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.2719281017780304,-0.0016132977325469255,0.2602025270462036,0.17779797315597534,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.24754071235656738,0.04866964742541313,0.13905979692935944,0.2580786943435669,0.23916715383529663
multi-purpose,0.3033949136734009,0.2682991027832031,0.3189637064933777,0.09308063238859177,0.28635597229003906,0.16299182176589966,0.049779120832681656,0.13328570127487183,0.40330660343170166,0.1944640427827835
arena,0.16874027252197266,0.14750270545482635,0.1880815625190735,0.14149002730846405,0.14485463500022888,0.1065785363316536,0.03621732071042061,0.3270879089832306,0.2560005486011505,0.13587144017219543
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.2453373372554779,0.06895173341035843,0.23462611436843872,0.2123740017414093,0.20544172823429108
home,0.1608789712190628,0.22316986322402954,0.28978195786476135,0.16885216534137726,0.24402645230293274,0.14732235670089722,0.07170099765062332,0.1633656919002533,0.2655019462108612,0.0757145956158638
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.41548454761505127,0.2043667882680893,0.03782717138528824,0.18774478137493134,0.22308982908725739,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,0.24496200680732727,-0.01540423184633255,0.13944239914417267,0.19252020120620728,0.22068053483963013
harvard,0.2177114188671112,0.15387701988220215,0.24496200680732727,0.15755295753479004,0.25842633843421936,1.0,-0.06887804716825485,0.25585779547691345,0.213649719953537,0.11685016006231308
basketball,0.12921428680419922,0.13059696555137634,0.13944239914417267,0.165513277053833,0.16632571816444397,0.25585779547691345,-0.026312589645385742,1.0,0.13705427944660187,0.13553540408611298
teams,0.16624371707439423,0.1845376342535019,0.3164927661418915,0.20138786733150482,0.27933305501937866,0.19532155990600586,0.079634889960289,0.3785583972930908,0.19778800010681152,0.11150168627500534
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.254516065120697,-0.003708066651597619,0.22185225784778595,0.1676650047302246,0.4130953550338745
