,how,many,people,would,die,of,plague,in,largely,populated,cities,?
in,0.2601168751716614,0.41474202275276184,0.39605680108070374,0.30461156368255615,0.18641351163387299,0.5696388483047485,0.2488756626844406,1.0,0.2371911108493805,0.3159521818161011,0.32293570041656494,0.20430970191955566
crowded,0.20032590627670288,0.2789490818977356,0.2821449935436249,0.3008705675601959,0.2762618064880371,0.25737929344177246,0.22718068957328796,0.3016645014286041,0.1418246477842331,0.2726210355758667,0.2842475473880768,0.11326183378696442
cities,0.10434838384389877,0.2867770195007324,0.42741721868515015,0.1772249937057495,0.10191787034273148,0.29528072476387024,0.24124875664710999,0.32293570041656494,0.13948920369148254,0.419425368309021,1.0,0.13339310884475708
",",0.22659391164779663,0.40610817074775696,0.36644625663757324,0.32586824893951416,0.23915338516235352,0.4946078956127167,0.2630122900009155,0.5201468467712402,0.24212822318077087,0.3050559461116791,0.31927579641342163,0.31091248989105225
it,0.36714982986450195,0.39615920186042786,0.3940119743347168,0.36398744583129883,0.18406891822814941,0.38761502504348755,0.28122323751449585,0.5130809545516968,0.32435956597328186,0.3551922142505646,0.2412966936826706,0.25732165575027466
was,0.16678167879581451,0.260356068611145,0.2518421411514282,0.41663143038749695,0.15500055253505707,0.4069072902202606,0.24312011897563934,0.45514053106307983,0.307300329208374,0.21154066920280457,0.17598430812358856,0.18412111699581146
not,0.4869767427444458,0.4369727373123169,0.28395727276802063,0.5854519605636597,0.24337166547775269,0.3307090103626251,0.20608660578727722,0.3403114080429077,0.31457096338272095,0.2419363409280777,0.1655239462852478,0.41942933201789856
uncommon,0.20482756197452545,0.34489426016807556,0.22477973997592926,0.2018905133008957,0.1587568074464798,0.3071678876876831,0.24135595560073853,0.22283607721328735,0.2787056863307953,0.24137073755264282,0.11495720595121384,0.22410981357097626
for,0.3308170735836029,0.40972793102264404,0.24900002777576447,0.39877474308013916,0.12036266177892685,0.4185989499092102,0.1471073478460312,0.4322226941585541,0.22081872820854187,0.17630358040332794,0.21254107356071472,0.264628142118454
as,0.33782753348350525,0.4070141911506653,0.15704652667045593,0.3824005722999573,0.1713295429944992,0.3886612355709076,0.1501513570547104,0.3887844979763031,0.24124473333358765,0.24718444049358368,0.19171151518821716,0.27043893933296204
much,0.46556615829467773,0.4752063453197479,0.29446882009506226,0.41720274090766907,0.12993668019771576,0.2671096920967102,0.18828725814819336,0.2725222110748291,0.34826841950416565,0.22019733488559723,0.2040836066007614,0.23442231118679047
as,0.33782753348350525,0.4070141911506653,0.15704652667045593,0.3824005722999573,0.1713295429944992,0.3886612355709076,0.1501513570547104,0.3887844979763031,0.24124473333358765,0.24718444049358368,0.19171151518821716,0.27043893933296204
50,0.014565115794539452,-0.037946149706840515,-0.06115209683775902,0.05957036092877388,-0.010428721085190773,0.006577443331480026,0.04382952302694321,0.021892361342906952,-0.007866021245718002,-0.018020574003458023,-0.06844348460435867,0.030512850731611252
%,0.1237400695681572,0.24948352575302124,0.26192399859428406,0.16993220150470734,0.15623854100704193,0.19953428208827972,0.13837918639183044,0.19465309381484985,0.32403016090393066,0.29958540201187134,0.16596411168575287,0.21441808342933655
of,0.2480744868516922,0.37253960967063904,0.3251037895679474,0.3353942930698395,0.21324244141578674,1.0,0.27455615997314453,0.5696388483047485,0.3087159991264343,0.2850462794303894,0.29528072476387024,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.4133751392364502,0.2242266982793808,0.733189046382904,0.2537761330604553,0.6662389636039734,0.34641584753990173,0.33048298954963684,0.2621172070503235,0.22068053483963013
population,0.1651063710451126,0.2201971709728241,0.3562411963939667,0.13726437091827393,0.11875422298908234,0.3060894012451172,0.28463682532310486,0.3268454372882843,0.3018791079521179,0.7446196675300598,0.3919509947299957,0.14449454843997955
to,0.44169697165489197,0.40243685245513916,0.37275731563568115,0.5965728163719177,0.14746613800525665,0.41548454761505127,0.21845681965351105,0.45010748505592346,0.24348199367523193,0.2197755128145218,0.20735321938991547,0.29463258385658264
die,0.1508348435163498,0.21230986714363098,0.23470522463321686,0.22936932742595673,1.0,0.21324244141578674,0.3261300027370453,0.18641351163387299,0.10601352900266647,0.0697593241930008,0.10191787034273148,0.16891060769557953
.,0.3287222981452942,0.3974229395389557,0.33118996024131775,0.35067233443260193,0.2658497095108032,0.5352458953857422,0.2547653317451477,0.5591574311256409,0.19839447736740112,0.23918001353740692,0.2525215446949005,0.4130953550338745
