,what,are,some,examples,of,undesirable,end,results,of,a,project,?
although,0.24844598770141602,0.30740880966186523,0.4071548581123352,0.14975225925445557,0.3024747669696808,0.37108683586120605,0.22611156105995178,0.17285579442977905,0.3024747669696808,0.29747897386550903,0.1932400017976761,0.15541206300258636
building,0.23529528081417084,0.1904018670320511,0.20945800840854645,0.18938136100769043,0.26200541853904724,0.1433408409357071,0.1853165328502655,0.14696727693080902,0.26200541853904724,0.2576078176498413,0.2786315977573395,0.13549931347370148
construction,0.20329850912094116,0.18089833855628967,0.19271200895309448,0.18775469064712524,0.2815735340118408,0.20627735555171967,0.2179669588804245,0.17412050068378448,0.2815735340118408,0.25036895275115967,0.39453527331352234,0.13494056463241577
projects,0.28646913170814514,0.31792762875556946,0.30619850754737854,0.21986767649650574,0.21610960364341736,0.2760377824306488,0.1704993098974228,0.26497599482536316,0.21610960364341736,0.21870890259742737,0.7827755212783813,0.3193145990371704
typically,0.2460547685623169,0.4610564708709717,0.47280338406562805,0.39672937989234924,0.28964799642562866,0.44471311569213867,0.19638298451900482,0.2599949538707733,0.28964799642562866,0.37909039855003357,0.15025721490383148,0.14485043287277222
include,0.1535889357328415,0.5140694975852966,0.5271874070167542,0.554942786693573,0.37431180477142334,0.2348341941833496,0.120391845703125,0.10374175757169724,0.37431180477142334,0.18765322864055634,0.11245526373386383,0.14925788342952728
various,0.26045072078704834,0.45140719413757324,0.5588168501853943,0.35317936539649963,0.3196488320827484,0.3239150047302246,0.1841616928577423,0.17472980916500092,0.3196488320827484,0.17124241590499878,0.1412065178155899,0.12823495268821716
common,0.19989867508411407,0.3463647663593292,0.4035886824131012,0.4368043839931488,0.2949881851673126,0.30188512802124023,0.15628021955490112,0.14691664278507233,0.2949881851673126,0.29638534784317017,0.11890342086553574,0.20434872806072235
elements,0.2152351289987564,0.2717064321041107,0.30026090145111084,0.3721723258495331,0.23613712191581726,0.2807471752166748,0.15492087602615356,0.2217346578836441,0.23613712191581726,0.2716076672077179,0.1583569049835205,0.15222592651844025
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.2687304615974426,0.4946078956127167,0.22400951385498047,0.25448864698410034,0.17498864233493805,0.4946078956127167,0.427140474319458,0.24875426292419434,0.31091248989105225
such,0.23989605903625488,0.4654397666454315,0.6118295192718506,0.5161488652229309,0.3209529519081116,0.39897534251213074,0.17651818692684174,0.19607990980148315,0.3209529519081116,0.2706976532936096,0.15285636484622955,0.17851735651493073
as,0.31749409437179565,0.3826591968536377,0.4293700158596039,0.325487345457077,0.3886612355709076,0.3450290262699127,0.23417671024799347,0.19246900081634521,0.3886612355709076,0.39550232887268066,0.22332392632961273,0.27043893933296204
design,0.23893405497074127,0.144777312874794,0.21408924460411072,0.2582681179046631,0.2522938847541809,0.17534568905830383,0.09795431047677994,0.1999196708202362,0.2522938847541809,0.25211480259895325,0.3001759350299835,0.16351860761642456
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.2687304615974426,0.4946078956127167,0.22400951385498047,0.25448864698410034,0.17498864233493805,0.4946078956127167,0.427140474319458,0.24875426292419434,0.31091248989105225
