,who,played,a,part,in,the,development,of,radar,in,france,?
tesla,0.1520961970090866,0.12900033593177795,0.2211925983428955,0.14674407243728638,0.17097744345664978,0.1324402391910553,0.15245971083641052,0.18837453424930573,0.2769342064857483,0.17097744345664978,0.15998902916908264,0.10250775516033173
was,0.3318818509578705,0.3139837682247162,0.4508470594882965,0.3407018780708313,0.45514053106307983,0.48711544275283813,0.2344081997871399,0.4069072902202606,0.18546868860721588,0.45514053106307983,0.2715669870376587,0.18412111699581146
incorrect,0.151564359664917,0.05545644089579582,0.27109232544898987,0.15062180161476135,0.21405383944511414,0.24691730737686157,0.06287534534931183,0.22709675133228302,0.20118707418441772,0.21405383944511414,0.13556338846683502,0.2735669016838074
in,0.2792111933231354,0.27605336904525757,0.539380669593811,0.4499994218349457,1.0,0.6662389636039734,0.2550492286682129,0.5696388483047485,0.1639886498451233,1.0,0.3812309503555298,0.20430970191955566
his,0.44966956973075867,0.2874697744846344,0.3497250974178314,0.22525446116924286,0.3598145842552185,0.4394008219242096,0.1527053862810135,0.38364991545677185,0.14839456975460052,0.3598145842552185,0.25797635316848755,0.18075084686279297
assumption,0.22132301330566406,0.09324435144662857,0.2971354126930237,0.17303140461444855,0.20557239651679993,0.26466310024261475,0.28730547428131104,0.3007378578186035,0.1258983016014099,0.20557239651679993,0.19954869151115417,0.28394895792007446
that,0.45444270968437195,0.16256408393383026,0.47537946701049805,0.37747326493263245,0.435920387506485,0.5473989248275757,0.2717459201812744,0.41498205065727234,0.24840863049030304,0.435920387506485,0.21517932415008545,0.32716336846351624
high,0.14553065598011017,0.13647103309631348,0.22865821421146393,0.1728636920452118,0.2652597725391388,0.28034812211990356,0.22142188251018524,0.2803038954734802,0.15724915266036987,0.2652597725391388,0.14643128216266632,0.11137914657592773
frequency,0.16774123907089233,0.14051418006420135,0.26973575353622437,0.17112891376018524,0.17656390368938446,0.20417852699756622,0.21604564785957336,0.1939978003501892,0.3235890865325928,0.17656390368938446,0.10912563651800156,0.17067383229732513
radio,0.20289050042629242,0.2418399304151535,0.19488471746444702,0.14420278370380402,0.22625693678855896,0.23511973023414612,0.07746139168739319,0.16079017519950867,0.3949892818927765,0.22625693678855896,0.12092335522174835,0.08763375133275986
waves,0.14294302463531494,0.1735604852437973,0.2314101755619049,0.18070252239704132,0.22372759878635406,0.2572701871395111,0.189402237534523,0.22565768659114838,0.41130688786506653,0.22372759878635406,0.15128009021282196,0.1603909134864807
