,who,supported,andreas,karistadt,in,reform,at,wittenberg,?
andreas,0.24885298311710358,0.12435360252857208,1.0000001192092896,0.38879719376564026,0.16862867772579193,0.15952777862548828,0.11134904623031616,0.2933006286621094,0.06663193553686142
karlstadt,0.16740775108337402,0.07198738306760788,0.3490706980228424,0.8021669983863831,0.30092328786849976,0.22938849031925201,0.23913052678108215,0.5478960871696472,0.19235840439796448
",",0.3365725874900818,0.2703314423561096,0.24567824602127075,0.33638501167297363,0.5201468467712402,0.17745937407016754,0.38314947485923767,0.23876431584358215,0.31091248989105225
supported,0.22602812945842743,1.0000001192092896,0.12435360252857208,0.10266901552677155,0.22075232863426208,0.2949247658252716,0.17385126650333405,0.1066475510597229,0.11593948304653168
by,0.39727845788002014,0.29367026686668396,0.18212658166885376,0.22450381517410278,0.370934396982193,0.18971164524555206,0.2368064820766449,0.22712822258472443,0.17966607213020325
the,0.3733934462070465,0.27276676893234253,0.20274370908737183,0.27510496973991394,0.6662389636039734,0.28116169571876526,0.457212895154953,0.31221258640289307,0.22068053483963013
ex-augustinian,0.31583595275878906,0.2699761390686035,0.313862681388855,0.3605688214302063,0.25269755721092224,0.3058864176273346,0.18351680040359497,0.3065358102321625,0.1941746473312378
gabriel,0.2800911068916321,0.11058202385902405,0.3566877841949463,0.16997919976711273,0.1075855940580368,0.10223653167486191,0.08658187836408615,0.1871848851442337,0.05852814391255379
zwilling,0.40450814366340637,0.28078287839889526,0.22970788180828094,0.3624686896800995,0.30670803785324097,0.3461438715457916,0.2340807169675827,0.35394763946533203,0.34260135889053345
",",0.3365725874900818,0.2703314423561096,0.24567824602127075,0.33638501167297363,0.5201468467712402,0.17745937407016754,0.38314947485923767,0.23876431584358215,0.31091248989105225
embarked,0.1487167477607727,0.29366132616996765,0.05997549369931221,0.1592455357313156,0.23548465967178345,0.16300038993358612,0.2438025176525116,0.12421248108148575,0.1276444047689438
on,0.2340552806854248,0.2748899757862091,0.1910531222820282,0.21339942514896393,0.46853652596473694,0.14101359248161316,0.4806317389011383,0.19844768941402435,0.2714994251728058
a,0.36608949303627014,0.21957339346408844,0.19553625583648682,0.2514408528804779,0.539380669593811,0.2380085587501526,0.3095070421695709,0.24799036979675293,0.23916715383529663
radical,0.2508828043937683,0.3438507616519928,0.17916543781757355,0.18124431371688843,0.20068511366844177,0.45084628462791443,0.06716014444828033,0.21198232471942902,0.1306871920824051
programme,0.2317163497209549,0.18702556192874908,0.11049202084541321,0.24467723071575165,0.249719500541687,0.2013140320777893,0.23556490242481232,0.14054514467716217,0.139840766787529
of,0.2827862501144409,0.30414751172065735,0.14636510610580444,0.2774934768676758,0.5696388483047485,0.28063878417015076,0.42558613419532776,0.296735942363739,0.1826142966747284
reform,0.2350572645664215,0.2949247658252716,0.15952777862548828,0.26014605164527893,0.22404487431049347,1.0000001192092896,0.10159420222043991,0.25203168392181396,0.14216484129428864
there,0.2844357192516327,0.2590191066265106,0.09540467709302902,0.2133464515209198,0.5361666083335876,0.15223075449466705,0.37649083137512207,0.2165990024805069,0.29405656456947327
in,0.2792111933231354,0.22075232863426208,0.16862867772579193,0.27411654591560364,1.0,0.22404487431049347,0.4374977946281433,0.2511049211025238,0.20430970191955566
june,0.23552022874355316,0.25083550810813904,0.22614364326000214,0.20076370239257812,0.29047903418540955,0.19300240278244019,0.2827494144439697,0.15825264155864716,0.31416764855384827
1521,0.25084468722343445,0.1146700531244278,0.15847916901111603,0.031910914927721024,0.13218195736408234,0.08779652416706085,0.08521086722612381,0.031179528683423996,0.0046399421989917755
",",0.3365725874900818,0.2703314423561096,0.24567824602127075,0.33638501167297363,0.5201468467712402,0.17745937407016754,0.38314947485923767,0.23876431584358215,0.31091248989105225
exceeding,0.07355065643787384,0.22237639129161835,0.0918605625629425,0.10597319900989532,0.23381491005420685,0.20481564104557037,0.285495400428772,0.1209387481212616,0.15067557990550995
anything,0.31535032391548157,0.17380020022392273,0.13094238936901093,0.17031408846378326,0.22503936290740967,0.2012309730052948,0.12224143743515015,0.12470795214176178,0.4830983281135559
envisaged,0.33942919969558716,0.34042438864707947,0.157150000333786,0.2806464731693268,0.32632264494895935,0.20071059465408325,0.25574639439582825,0.2557777464389801,0.20459474623203278
by,0.39727845788002014,0.29367026686668396,0.18212658166885376,0.22450381517410278,0.370934396982193,0.18971164524555206,0.2368064820766449,0.22712822258472443,0.17966607213020325
luther,0.21013082563877106,0.09273363649845123,0.27244144678115845,0.3488387167453766,0.20523880422115326,0.3290778398513794,0.13834704458713531,0.42518264055252075,0.1732746809720993
.,0.3541337847709656,0.29144924879074097,0.16930973529815674,0.31160977482795715,0.5591574311256409,0.26137542724609375,0.4549728035926819,0.30842825770378113,0.4130953550338745
