,what,does,the,average,temperatures,exceed,in,the,summer,?
average,0.24068789184093475,0.17787541449069977,0.27058175206184387,1.0,0.5268970727920532,0.41524598002433777,0.23465414345264435,0.27058175206184387,0.1901147961616516,0.21764592826366425
temperatures,0.2523624897003174,0.2842831015586853,0.27544233202934265,0.5268970727920532,0.9999999403953552,0.45672258734703064,0.2835210859775543,0.27544233202934265,0.3329063951969147,0.1895846426486969
exceed,0.20080645382404327,0.3353729546070099,0.23819206655025482,0.41524598002433777,0.45672258734703064,0.9999999403953552,0.17460723221302032,0.23819206655025482,0.25958654284477234,0.13049276173114777
32,-0.003086621640250087,-0.05282067134976387,-0.06675421446561813,-0.011877267621457577,0.07143434137105942,-0.05092349648475647,-0.04161756858229637,-0.06675421446561813,0.04008537530899048,0.04494665935635567
°c,0.2101275473833084,0.19158126413822174,0.1833128035068512,0.45259690284729004,0.804628312587738,0.3769204616546631,0.19822709262371063,0.1833128035068512,0.3027307689189911,0.2095707356929779
(,0.2411840260028839,0.2728188931941986,0.33289089798927307,0.20423224568367004,0.18971046805381775,0.13190855085849762,0.3087427020072937,0.33289089798927307,0.1944631189107895,0.40561532974243164
90,-0.03224492445588112,-0.13686193525791168,-0.08136876672506332,-0.05110115930438042,-0.07013209164142609,-0.1653807908296585,0.022158663719892502,-0.08136876672506332,0.056457728147506714,-0.0034062080085277557
°f,0.20015408098697662,0.16701941192150116,0.22598426043987274,0.4715915322303772,0.7632722854614258,0.3611585199832916,0.23065856099128723,0.22598426043987274,0.3142963945865631,0.19986218214035034
),0.26259949803352356,0.2575884759426117,0.3456730246543884,0.20956556499004364,0.20512722432613373,0.13036946952342987,0.3326910734176636,0.3456730246543884,0.20887640118598938,0.42300865054130554
during,0.24137552082538605,0.15165476500988007,0.4838213622570038,0.2458241730928421,0.28266534209251404,0.195864737033844,0.4627237319946289,0.4838213622570038,0.3307880461215973,0.1325719803571701
summer,0.16213102638721466,0.19580480456352234,0.2685571610927582,0.1901147961616516,0.3329063951969147,0.25958654284477234,0.31081318855285645,0.2685571610927582,0.9999998807907104,0.11625723540782928
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.2138829380273819,0.28922638297080994,0.2515263557434082,0.4954058527946472,0.5171257257461548,0.28653737902641296,0.20544172823429108
15,-0.01077192835509777,-0.06282642483711243,-0.011810222640633583,-0.05709552764892578,0.003883200930431485,-0.042222846299409866,0.02424248494207859,-0.011810222640633583,-0.06711763143539429,-0.010706285014748573
°c,0.2101275473833084,0.19158126413822174,0.1833128035068512,0.45259690284729004,0.804628312587738,0.3769204616546631,0.19822709262371063,0.1833128035068512,0.3027307689189911,0.2095707356929779
(,0.2411840260028839,0.2728188931941986,0.33289089798927307,0.20423224568367004,0.18971046805381775,0.13190855085849762,0.3087427020072937,0.33289089798927307,0.1944631189107895,0.40561532974243164
59,-0.017922068014740944,-0.045259661972522736,-0.01974222995340824,7.66669909353368e-05,-0.0494057759642601,-0.015225407667458057,-0.0402323417365551,-0.01974222995340824,-0.13083826005458832,-0.004639259073883295
°f,0.20015408098697662,0.16701941192150116,0.22598426043987274,0.4715915322303772,0.7632722854614258,0.3611585199832916,0.23065856099128723,0.22598426043987274,0.3142963945865631,0.19986218214035034
),0.26259949803352356,0.2575884759426117,0.3456730246543884,0.20956556499004364,0.20512722432613373,0.13036946952342987,0.3326910734176636,0.3456730246543884,0.20887640118598938,0.42300865054130554
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.23465414345264435,0.2835210859775543,0.17460723221302032,1.0,0.6662389636039734,0.31081318855285645,0.20430970191955566
winter,0.12829793989658356,0.18601158261299133,0.30035296082496643,0.2082352638244629,0.40831759572029114,0.23380756378173828,0.29423755407333374,0.30035296082496643,0.726806104183197,0.1591269075870514
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.2717139422893524,0.28911513090133667,0.18816186487674713,0.5591574311256409,0.5934505462646484,0.29990968108177185,0.4130953550338745
