,what,does,kitab,rudjdjar,mean,in,english,?
one,0.376489520072937,0.2924913763999939,0.2217557728290558,0.2473490685224533,0.2742076516151428,0.4129433035850525,0.23441648483276367,0.2673267424106598
of,0.33290785551071167,0.3119818866252899,0.19481594860553741,0.3063502609729767,0.27551960945129395,0.5696388483047485,0.17198967933654785,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,0.24534200131893158,0.3780645430088043,0.25977957248687744,0.6662389636039734,0.23982001841068268,0.22068053483963013
great,0.2562883198261261,0.1330372840166092,0.13189798593521118,0.22824370861053467,0.1649935096502304,0.23348836600780487,0.1661698818206787,0.13135133683681488
geographical,0.2645968794822693,0.211276113986969,0.19674372673034668,0.3458873927593231,0.2751025855541229,0.25889667868614197,0.16761170327663422,0.1692802608013153
treatises,0.2481054812669754,0.21223336458206177,0.2153642326593399,0.2675948739051819,0.17906253039836884,0.2557555139064789,0.22296112775802612,0.1296008825302124
of,0.33290785551071167,0.3119818866252899,0.19481594860553741,0.3063502609729767,0.27551960945129395,0.5696388483047485,0.17198967933654785,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,0.24534200131893158,0.3780645430088043,0.25977957248687744,0.6662389636039734,0.23982001841068268,0.22068053483963013
middle,0.18312302231788635,0.16685135662555695,0.14267714321613312,0.29540538787841797,0.1589774489402771,0.26767921447753906,0.17693737149238586,0.13139553368091583
ages,0.2546566128730774,0.1360509693622589,0.12338662147521973,0.2111082375049591,0.22404903173446655,0.23238429427146912,0.19495023787021637,0.16701677441596985
",",0.3087472915649414,0.28617382049560547,0.23533257842063904,0.39740121364593506,0.27540135383605957,0.5201468467712402,0.3339248597621918,0.31091248989105225
the,0.42745697498321533,0.35928019881248474,0.24534200131893158,0.3780645430088043,0.25977957248687744,0.6662389636039734,0.23982001841068268,0.22068053483963013
``,0.008517155423760414,0.06539655476808548,0.0063745551742613316,0.07304094731807709,0.06393398344516754,0.04765888676047325,0.03079455904662609,0.0685480609536171
tabula,0.23456574976444244,0.11681737750768661,0.32740482687950134,0.3546932637691498,0.12742124497890472,0.14773528277873993,0.29369840025901794,0.17105387151241302
rogeriana,0.14626790583133698,0.133037731051445,0.17692536115646362,0.3145131468772888,0.12683168053627014,0.18444842100143433,0.2062145620584488,0.16975578665733337
'',0.08143015950918198,-0.004023602232336998,0.06475009024143219,0.10931596159934998,0.08347149938344955,0.07432962208986282,0.058639850467443466,0.018684765323996544
",",0.3087472915649414,0.28617382049560547,0.23533257842063904,0.39740121364593506,0.27540135383605957,0.5201468467712402,0.3339248597621918,0.31091248989105225
was,0.22111038863658905,0.19302551448345184,0.17008207738399506,0.3198867738246918,0.18973474204540253,0.45514053106307983,0.23000946640968323,0.18412111699581146
written,0.25412634015083313,0.2023848444223404,0.11494847387075424,0.28244468569755554,0.17955803871154785,0.20878943800926208,0.3060760796070099,0.21451954543590546
by,0.2455483376979828,0.143477201461792,0.0752883329987526,0.25260668992996216,0.1560223549604416,0.370934396982193,0.20002366602420807,0.17966607213020325
the,0.42745697498321533,0.35928019881248474,0.24534200131893158,0.3780645430088043,0.25977957248687744,0.6662389636039734,0.23982001841068268,0.22068053483963013
andalusian,0.16759787499904633,0.11273214966058731,0.26894110441207886,0.4532386064529419,0.1647370606660843,0.18865738809108734,0.27912795543670654,0.12756481766700745
al-idrisi,0.17800462245941162,0.1663106232881546,0.29645416140556335,0.5083339810371399,0.15360844135284424,0.28138238191604614,0.19543449580669403,0.16847078502178192
for,0.3017193675041199,0.35159170627593994,0.20394259691238403,0.2713291645050049,0.29509902000427246,0.4322226941585541,0.2594873905181885,0.264628142118454
king,0.18449601531028748,0.1360265612602234,0.0995936170220375,0.30395516753196716,0.12958119809627533,0.2044914960861206,0.17063689231872559,0.19130074977874756
roger,0.1456337571144104,0.05433126166462898,0.07646895200014114,0.14029178023338318,0.09028786420822144,0.16691862046718597,0.19288447499275208,0.0969553217291832
ii,0.13866674900054932,0.15925389528274536,0.08189435303211212,0.20854797959327698,0.10537947714328766,0.21453368663787842,0.09953384101390839,0.11928234249353409
of,0.33290785551071167,0.3119818866252899,0.19481594860553741,0.3063502609729767,0.27551960945129395,0.5696388483047485,0.17198967933654785,0.1826142966747284
sicily,0.19869458675384521,0.06049860641360283,0.1466684490442276,0.2139609307050705,0.12574009597301483,0.19633294641971588,0.16967418789863586,0.18028976023197174
",",0.3087472915649414,0.28617382049560547,0.23533257842063904,0.39740121364593506,0.27540135383605957,0.5201468467712402,0.3339248597621918,0.31091248989105225
and,0.31309178471565247,0.3461615741252899,0.2329738736152649,0.3765189051628113,0.22596950829029083,0.4954058527946472,0.3409043252468109,0.20544172823429108
entitled,0.3050041198730469,0.2569359838962555,0.1543998420238495,0.19751952588558197,0.14719094336032867,0.2123948633670807,0.13789002597332,0.2216128408908844
``,0.008517155423760414,0.06539655476808548,0.0063745551742613316,0.07304094731807709,0.06393398344516754,0.04765888676047325,0.03079455904662609,0.0685480609536171
kitab,0.19677044451236725,0.13578563928604126,1.0000001192092896,0.3219376504421234,0.15494795143604279,0.18427427113056183,0.16724571585655212,0.17836767435073853
rudjdjar,0.27811071276664734,0.24085582792758942,0.3219376504421234,1.0,0.2102230191230774,0.3199803829193115,0.2525275647640228,0.23599010705947876
'',0.08143015950918198,-0.004023602232336998,0.06475009024143219,0.10931596159934998,0.08347149938344955,0.07432962208986282,0.058639850467443466,0.018684765323996544
(,0.2411840260028839,0.2728188931941986,0.22219473123550415,0.29601165652275085,0.24319502711296082,0.3087427020072937,0.3194602429866791,0.40561532974243164
``,0.008517155423760414,0.06539655476808548,0.0063745551742613316,0.07304094731807709,0.06393398344516754,0.04765888676047325,0.03079455904662609,0.0685480609536171
the,0.42745697498321533,0.35928019881248474,0.24534200131893158,0.3780645430088043,0.25977957248687744,0.6662389636039734,0.23982001841068268,0.22068053483963013
book,0.2872225046157837,0.1788913756608963,0.19275572896003723,0.28160858154296875,0.15415190160274506,0.2527170181274414,0.22143475711345673,0.20572158694267273
of,0.33290785551071167,0.3119818866252899,0.19481594860553741,0.3063502609729767,0.27551960945129395,0.5696388483047485,0.17198967933654785,0.1826142966747284
roger,0.1456337571144104,0.05433126166462898,0.07646895200014114,0.14029178023338318,0.09028786420822144,0.16691862046718597,0.19288447499275208,0.0969553217291832
'',0.08143015950918198,-0.004023602232336998,0.06475009024143219,0.10931596159934998,0.08347149938344955,0.07432962208986282,0.058639850467443466,0.018684765323996544
),0.26259949803352356,0.2575884759426117,0.24888291954994202,0.3217449486255646,0.2426333725452423,0.3326910734176636,0.32298287749290466,0.42300865054130554
.,0.3567904531955719,0.3022993505001068,0.24841640889644623,0.31071364879608154,0.21881133317947388,0.5591574311256409,0.2881386876106262,0.4130953550338745
