,what,gets,the,z-ring,in,the,right,place,?
the,0.42745697498321533,0.29983434081077576,1.0,0.3493405282497406,0.6662389636039734,1.0,0.33901116251945496,0.4179787337779999,0.22068053483963013
division,0.19144181907176971,0.04597839340567589,0.26203617453575134,0.1549225151538849,0.2658538520336151,0.26203617453575134,0.0920497253537178,0.2075490951538086,0.08900629729032516
process,0.3466717302799225,0.20220667123794556,0.264274537563324,0.39762914180755615,0.19851736724376678,0.264274537563324,0.23530635237693787,0.270680695772171,0.2460896074771881
starts,0.24892903864383698,0.41110795736312866,0.39423343539237976,0.21250773966312408,0.27525144815444946,0.39423343539237976,0.25459524989128113,0.2484283298254013,0.17788195610046387
when,0.4700249433517456,0.39530372619628906,0.5091903209686279,0.381796658039093,0.4431333839893341,0.5091903209686279,0.27255165576934814,0.23831914365291595,0.22841128706932068
the,0.42745697498321533,0.29983434081077576,1.0,0.3493405282497406,0.6662389636039734,1.0,0.33901116251945496,0.4179787337779999,0.22068053483963013
proteins,0.21361225843429565,0.196350559592247,0.23576003313064575,0.27092963457107544,0.23363234102725983,0.23576003313064575,0.20273567736148834,0.12001205235719681,0.18469302356243134
ftsz1,0.19209237396717072,0.04069618880748749,0.22993101179599762,0.1428259164094925,0.2356281876564026,0.22993101179599762,0.17196696996688843,0.16890361905097961,0.13513077795505524
and,0.31309178471565247,0.280393123626709,0.5171257257461548,0.35860899090766907,0.4954058527946472,0.5171257257461548,0.27311667799949646,0.2813849449157715,0.20544172823429108
ftsz2,0.20545805990695953,0.06954490393400192,0.19871656596660614,0.2074439525604248,0.18939369916915894,0.19871656596660614,0.1853398233652115,0.1506410837173462,0.16796298325061798
assemble,0.2427459955215454,0.1253056675195694,0.2537953853607178,0.28239381313323975,0.2100995033979416,0.2537953853607178,0.16550599038600922,0.202325701713562,0.14568409323692322
into,0.2180619090795517,0.2629736363887787,0.39493247866630554,0.26795729994773865,0.38021373748779297,0.39493247866630554,0.1703392118215561,0.27362510561943054,0.15662476420402527
filaments,0.197005495429039,0.16901059448719025,0.2968588173389435,0.28536492586135864,0.18854562938213348,0.2968588173389435,0.18639196455478668,0.09728337079286575,0.09979134798049927
",",0.3087472915649414,0.23885928094387054,0.4933079481124878,0.29824990034103394,0.5201468467712402,0.4933079481124878,0.24165019392967224,0.34068408608436584,0.31091248989105225
and,0.31309178471565247,0.280393123626709,0.5171257257461548,0.35860899090766907,0.4954058527946472,0.5171257257461548,0.27311667799949646,0.2813849449157715,0.20544172823429108
with,0.2464839518070221,0.2806749939918518,0.4223487675189972,0.3913643956184387,0.4080928862094879,0.4223487675189972,0.19092322885990143,0.18794342875480652,0.2433311939239502
the,0.42745697498321533,0.29983434081077576,1.0,0.3493405282497406,0.6662389636039734,1.0,0.33901116251945496,0.4179787337779999,0.22068053483963013
help,0.3728281855583191,0.23450177907943726,0.30064165592193604,0.3690204918384552,0.21321536600589752,0.30064165592193604,0.21166473627090454,0.2243240624666214,0.28403452038764954
of,0.33290785551071167,0.2648349702358246,0.733189046382904,0.35157063603401184,0.5696388483047485,0.733189046382904,0.22473211586475372,0.2685627043247223,0.1826142966747284
