,what,was,the,ratio,of,british,settler,to,french,?
british,0.19255435466766357,0.31934812664985657,0.28973397612571716,0.13995873928070068,0.23701532185077667,1.0,0.24833136796951294,0.22690963745117188,0.43574923276901245,0.09711728990077972
settlers,0.24855320155620575,0.2951890230178833,0.27202945947647095,0.11159946769475937,0.22850416600704193,0.25023484230041504,0.8188957571983337,0.323935329914093,0.22402764856815338,0.1296290010213852
outnumbered,0.2505696713924408,0.2741550803184509,0.30156463384628296,0.20526893436908722,0.2561200261116028,0.24704313278198242,0.22488917410373688,0.19627566635608673,0.1994386613368988,0.16433721780776978
the,0.42745697498321533,0.48711544275283813,1.0,0.22872252762317657,0.733189046382904,0.28973397612571716,0.23537814617156982,0.535392165184021,0.2555147111415863,0.22068053483963013
french,0.17393042147159576,0.2523815333843231,0.2555147111415863,0.08792952448129654,0.19450366497039795,0.43574923276901245,0.16793102025985718,0.1713797152042389,1.0000001192092896,0.1386883556842804
20,-0.036424171179533005,-0.09198236465454102,-0.06418957561254501,-0.03343449905514717,-0.0318976491689682,-0.12555567920207977,0.06378024816513062,-0.018198585137724876,-0.0005098861875012517,0.11360422521829605
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.21343077719211578,0.41548454761505127,0.22690963745117188,0.26195257902145386,1.0,0.1713797152042389,0.29463258385658264
1,-0.21266892552375793,-0.2275921255350113,-0.1554475575685501,-0.13427233695983887,-0.09473495930433273,-0.14568975567817688,-0.10162314772605896,-0.2769182622432709,-0.18471744656562805,-0.249979168176651
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.1833934336900711,0.41827285289764404,0.1637800633907318,0.17396530508995056,0.4239959120750427,0.1637353003025055,0.2433311939239502
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.22021861374378204,0.5052502155303955,0.1984395682811737,0.23594506084918976,0.45503583550453186,0.24285779893398285,0.23916715383529663
population,0.2000674307346344,0.1935066133737564,0.32044094800949097,0.25022029876708984,0.3060894012451172,0.13639649748802185,0.3585931956768036,0.19776633381843567,0.16878677904605865,0.14449454843997955
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.23306086659431458,1.0,0.23701532185077667,0.2102622389793396,0.41548454761505127,0.19450366497039795,0.1826142966747284
about,0.47976887226104736,0.2577359974384308,0.37995871901512146,0.18751733005046844,0.40939709544181824,0.13588587939739227,0.16666053235530853,0.391953706741333,0.1707664281129837,0.302409827709198
1.5,-0.03446419537067413,0.04419717192649841,-0.0306364968419075,0.01694638468325138,-0.05789397656917572,-0.07824794948101044,0.037299226969480515,0.01102264504879713,-0.12850815057754517,0.007378216367214918
million,0.22197039425373077,0.24203833937644958,0.277012437582016,0.05634577199816704,0.21686489880084991,0.16851991415023804,0.12401341646909714,0.22033339738845825,0.10548505932092667,0.23092924058437347
