,when,did,the,european,council,task,an,entity,with,drafting,a,european,charter,of,human,rights,?
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.23319172859191895,0.2689173221588135,0.1762852966785431,0.2605783939361572,0.22507517039775848,0.4080928862094879,0.28656935691833496,0.539380669593811,0.23319172859191895,0.20881880819797516,0.5696388483047485,0.23986108601093292,0.17772755026817322,0.20430970191955566
1999,0.012987824156880379,0.08004042506217957,0.06755080074071884,0.08308033645153046,0.21113184094429016,0.07168037444353104,-0.0016907737590372562,0.031365878880023956,-0.07424727082252502,0.008653047494590282,0.01720399782061577,0.08308033645153046,0.10854902863502502,0.06211002916097641,-0.03917782008647919,0.016222557052969933,0.05416720360517502
the,0.5091903209686279,0.34736719727516174,1.0,0.3423081040382385,0.2829204201698303,0.22566188871860504,0.4207492768764496,0.2403784692287445,0.4223487675189972,0.33510908484458923,0.5829201340675354,0.3423081040382385,0.26436546444892883,0.733189046382904,0.3103327453136444,0.2579100430011749,0.22068053483963013
european,0.1717725396156311,0.2440035194158554,0.3423081040382385,0.9999998807907104,0.2610081732273102,0.1270521581172943,0.15618090331554413,0.07706774026155472,0.19647395610809326,0.2470063865184784,0.2254103124141693,0.9999998807907104,0.334158331155777,0.2507138252258301,0.24801260232925415,0.20173384249210358,0.14560863375663757
council,0.1893327534198761,0.13965484499931335,0.2829204201698303,0.2610081732273102,1.0,0.2318066656589508,0.13216540217399597,0.20454207062721252,0.10649243742227554,0.23918166756629944,0.16385574638843536,0.2610081732273102,0.33312904834747314,0.2972237169742584,0.19782565534114838,0.23208506405353546,0.1160062924027443
set,0.26233336329460144,0.19107604026794434,0.2927955985069275,0.1126570999622345,0.14087197184562683,0.23472528159618378,0.19075638055801392,0.22428269684314728,0.19515010714530945,0.22205384075641632,0.2540091574192047,0.1126570999622345,0.1124468520283699,0.20671486854553223,0.10891149938106537,0.1199931651353836,0.1698019951581955
up,0.3850642144680023,0.21613863110542297,0.38423117995262146,0.16363249719142914,0.1345137059688568,0.2224247306585312,0.2649265229701996,0.09428785741329193,0.38676461577415466,0.1539044976234436,0.32523053884506226,0.16363249719142914,0.14663730561733246,0.32945773005485535,0.12372232973575592,0.1008690744638443,0.1819818764925003
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.2254103124141693,0.16385574638843536,0.22586117684841156,0.44552403688430786,0.2841722071170807,0.3783375024795532,0.2703630030155182,1.0,0.2254103124141693,0.20456433296203613,0.5052502155303955,0.2368878275156021,0.18041828274726868,0.23916715383529663
body,0.27947020530700684,0.17681342363357544,0.31682634353637695,0.15357226133346558,0.2337609976530075,0.19706548750400543,0.22158053517341614,0.2273539900779724,0.25971415638923645,0.1742311418056488,0.26263290643692017,0.15357226133346558,0.13036994636058807,0.25063133239746094,0.350017249584198,0.12918446958065033,0.20136451721191406
tasked,0.29289403557777405,0.3123590350151062,0.2968848645687103,0.2691822350025177,0.29481980204582214,0.6326090693473816,0.16009564697742462,0.2255067080259323,0.23652511835098267,0.46314698457717896,0.2177908718585968,0.2691822350025177,0.22507016360759735,0.2709214389324188,0.2836575210094452,0.2721840739250183,0.16982729732990265
