,the,symbol,for,mercuric,oxide,is,?
in,0.6662389636039734,0.1552523821592331,0.4322226941585541,0.3008648753166199,0.10473595559597015,0.5394441485404968,0.20430970191955566
the,1.0,0.22023849189281464,0.4739971458911896,0.3074982762336731,0.12591426074504852,0.5823672413825989,0.22068053483963013
meantime,0.3265787363052368,0.10482072830200195,0.3633255958557129,0.2309417426586151,0.2649494409561157,0.1864442229270935,0.37067949771881104
",",0.4933079481124878,0.20107677578926086,0.4464869201183319,0.3303278982639313,0.17490515112876892,0.4691906273365021,0.31091248989105225
on,0.5107308030128479,0.14126749336719513,0.36199691891670227,0.21771953999996185,0.10933918505907059,0.3635730445384979,0.2714994251728058
august,0.22689028084278107,0.07739393413066864,0.28123795986175537,0.17528493702411652,0.192209392786026,0.22414299845695496,0.3006744682788849
1,-0.1554475575685501,-0.11877839267253876,-0.31088897585868835,-0.16672976315021515,-0.12303737550973892,-0.12491171807050705,-0.249979168176651
",",0.4933079481124878,0.20107677578926086,0.4464869201183319,0.3303278982639313,0.17490515112876892,0.4691906273365021,0.31091248989105225
1774,0.11766370385885239,0.03862299025058746,0.07125211507081985,0.22690102458000183,0.09223239123821259,0.12221064418554306,0.07276970893144608
",",0.4933079481124878,0.20107677578926086,0.4464869201183319,0.3303278982639313,0.17490515112876892,0.4691906273365021,0.31091248989105225
an,0.4207492768764496,0.17969343066215515,0.3236706852912903,0.2700056731700897,0.13528746366500854,0.4654068350791931,0.19793890416622162
experiment,0.168198361992836,0.09339836239814758,0.23269952833652496,0.25887611508369446,0.18283414840698242,0.15963079035282135,0.14968745410442352
conducted,0.25795331597328186,0.03180904686450958,0.27309373021125793,0.259242981672287,0.10063432157039642,0.1637566238641739,0.1105341762304306
by,0.4408751428127289,0.13975459337234497,0.3248702883720398,0.24212123453617096,0.15789516270160675,0.3899846076965332,0.17966607213020325
the,1.0,0.22023849189281464,0.4739971458911896,0.3074982762336731,0.12591426074504852,0.5823672413825989,0.22068053483963013
british,0.28973397612571716,0.03143689036369324,0.1970057189464569,0.19016672670841217,0.14036542177200317,0.19484983384609222,0.09711728990077972
clergyman,0.1879919320344925,0.0854509100317955,0.1430731564760208,0.24369801580905914,0.1708001047372818,0.17823901772499084,0.12142539769411087
joseph,0.2251148819923401,0.12521420419216156,0.09788983315229416,0.20988407731056213,0.17175137996673584,0.1339416801929474,0.08421234786510468
