,what,crime,drama,debuted,on,abc,in,september,1994,?
september,0.2153792530298233,0.14225400984287262,0.24834270775318146,0.24074828624725342,0.39627984166145325,0.23585575819015503,0.25402772426605225,1.0,0.2846112847328186,0.2665146589279175
1994,0.10476769506931305,0.109188012778759,0.12642620503902435,0.02975625731050968,0.09642791002988815,-0.004996607080101967,0.007567534223198891,0.2846112847328186,1.0000001192092896,0.12888094782829285
saw,0.24788837134838104,0.13399820029735565,0.16040489077568054,0.23989202082157135,0.2870093584060669,0.09962060302495956,0.24892163276672363,0.1888529360294342,0.03867210075259209,0.14690998196601868
the,0.42745697498321533,0.2052120864391327,0.2408958077430725,0.28418588638305664,0.5107308030128479,0.2068762183189392,0.6662389636039734,0.2516939043998718,-0.03378653898835182,0.22068053483963013
debut,0.12330318242311478,0.14528629183769226,0.15532617270946503,0.7086208462715149,0.26024293899536133,0.15660154819488525,0.23145294189453125,0.18337208032608032,0.038865163922309875,0.10726679861545563
of,0.33290785551071167,0.21116793155670166,0.18793216347694397,0.18094587326049805,0.3966929316520691,0.14607268571853638,0.5696388483047485,0.16787530481815338,-0.07057395577430725,0.1826142966747284
nypd,0.23559677600860596,0.4044876992702484,0.3602185547351837,0.1920776665210724,0.26060643792152405,0.3286745548248291,0.28778156638145447,0.2114240527153015,-0.05309785529971123,0.24937035143375397
blue,0.17981211841106415,0.12983091175556183,0.13476136326789856,0.17144761979579926,0.2518809735774994,0.20072442293167114,0.22384510934352875,0.13668760657310486,-0.12467345595359802,0.15668673813343048
",",0.3087472915649414,0.21491537988185883,0.240437850356102,0.23864160478115082,0.49057599902153015,0.2097204476594925,0.5201468467712402,0.4139758348464966,0.14125534892082214,0.31091248989105225
a,0.3320399522781372,0.22928372025489807,0.252153217792511,0.22790193557739258,0.3848365545272827,0.21331243216991425,0.539380669593811,0.21795299649238586,0.01061528455466032,0.23916715383529663
gritty,0.29482501745224,0.23260200023651123,0.3063261806964874,0.2453644573688507,0.22753123939037323,0.21470370888710022,0.18914499878883362,0.10016991198062897,-0.08997844904661179,0.18115630745887756
police,0.1865120679140091,0.4670563042163849,0.24540427327156067,0.100458525121212,0.2206326276063919,0.10176056623458862,0.2662045955657959,0.17013472318649292,0.03175200894474983,0.1765819936990738
procedural,0.40871375799179077,0.32005900144577026,0.3284272253513336,0.07439637184143066,0.2705109417438507,0.2502105236053467,0.18826012313365936,0.1891889125108719,0.07229945808649063,0.2812325656414032
from,0.2737620174884796,0.14808064699172974,0.17825524508953094,0.18207629024982452,0.36926645040512085,0.12159302085638046,0.4274188280105591,0.19398373365402222,0.04213053360581398,0.19969791173934937
steven,0.1722090095281601,0.1805611103773117,0.24450081586837769,0.17921319603919983,0.20901304483413696,0.23952172696590424,0.17032748460769653,0.23559434711933136,0.003541741520166397,0.10277901589870453
bochco,0.18055212497711182,0.22314974665641785,0.3236266076564789,0.26264581084251404,0.21789711713790894,0.28460803627967834,0.40745747089385986,0.3000147044658661,0.017327124252915382,0.1939363181591034
(,0.2411840260028839,0.14326460659503937,0.2218865007162094,0.21379032731056213,0.28656116127967834,0.183883935213089,0.3087427020072937,0.36256301403045654,0.07292646169662476,0.40561532974243164
who,0.40942975878715515,0.24320223927497864,0.2117668092250824,0.10703007131814957,0.2340552806854248,0.14673753082752228,0.2792111933231354,0.21365830302238464,0.19574828445911407,0.26220351457595825
created,0.20714101195335388,0.1463441103696823,0.15073204040527344,0.1979774832725525,0.20446635782718658,0.1528254598379135,0.2843434810638428,0.250514417886734,0.023592382669448853,0.21177415549755096
doogie,0.23182028532028198,0.17482849955558777,0.22726687788963318,0.23258432745933533,0.217777281999588,0.2836003005504608,0.18126480281352997,0.16629940271377563,-0.06111187860369682,0.2597062289714813
howser,0.2726745903491974,0.1899503916501999,0.22377265989780426,0.2172444760799408,0.2880406975746155,0.34802505373954773,0.19246721267700195,0.307356059551239,0.03537778928875923,0.2864007353782654
",",0.3087472915649414,0.21491537988185883,0.240437850356102,0.23864160478115082,0.49057599902153015,0.2097204476594925,0.5201468467712402,0.4139758348464966,0.14125534892082214,0.31091248989105225
m.d,-0.22252896428108215,-0.11933887749910355,-0.15606074035167694,-0.12273780256509781,-0.0992368832230568,-0.17586615681648254,-0.024301009252667427,0.10478024184703827,0.10364805161952972,-0.1597365438938141
.,0.3567904531955719,0.22651058435440063,0.2663460075855255,0.2639025151729584,0.49257001280784607,0.2567209303379059,0.5591574311256409,0.34760621190071106,0.08958379179239273,0.4130953550338745
