,by,what,means,were,scientists,able,to,liquefy,air,?
by,1.0000001192092896,0.2455483376979828,0.16834649443626404,0.4406847059726715,0.22483672201633453,0.24084776639938354,0.33534231781959534,0.17911377549171448,0.19110813736915588,0.17966607213020325
the,0.4408751428127289,0.42745697498321533,0.32225894927978516,0.3906462490558624,0.25988271832466125,0.3435857892036438,0.535392165184021,0.26100054383277893,0.2877824306488037,0.22068053483963013
late,0.2580295205116272,0.1576872020959854,0.10046664625406265,0.37638410925865173,0.1465366780757904,0.18319502472877502,0.25809016823768616,0.12793315947055817,0.13816989958286285,0.11339222639799118
19th,0.2488098442554474,0.11525199562311172,0.14441867172718048,0.13102512061595917,0.15539470314979553,0.20450304448604584,0.18742936849594116,0.10609769821166992,0.21371868252754211,0.004712673369795084
century,0.29995259642601013,0.20422613620758057,0.14360980689525604,0.34997639060020447,0.23591767251491547,0.13484875857830048,0.20143604278564453,0.1788294017314911,0.14590336382389069,0.1026201918721199
scientists,0.22483672201633453,0.30003565549850464,0.18001484870910645,0.2644626498222351,0.9999999403953552,0.25088807940483093,0.27814680337905884,0.21234089136123657,0.1137174516916275,0.16597221791744232
realized,0.3223547041416168,0.3459920883178711,0.24548129737377167,0.35640621185302734,0.23530399799346924,0.3788946866989136,0.2838866412639618,0.16233396530151367,0.15941879153251648,0.15594157576560974
that,0.37496164441108704,0.6297725439071655,0.3582829535007477,0.35517072677612305,0.3470602035522461,0.4536534547805786,0.5436353087425232,0.3061988651752472,0.19720019400119781,0.32716336846351624
air,0.19110813736915588,0.10361403971910477,0.14414002001285553,0.1481994241476059,0.1137174516916275,0.1883208006620407,0.24103909730911255,0.34175440669059753,1.0000001192092896,0.1491677612066269
could,0.26333630084991455,0.4188697934150696,0.31422117352485657,0.40738195180892944,0.27533799409866333,0.619264543056488,0.5461788773536682,0.2539816200733185,0.17847029864788055,0.3411986827850342
be,0.43158695101737976,0.3929833769798279,0.33581557869911194,0.4064064621925354,0.24967870116233826,0.3856765329837799,0.4972836375236511,0.2964721620082855,0.16170021891593933,0.3324260413646698
liquefied,0.266605019569397,0.21726368367671967,0.24877940118312836,0.3031344711780548,0.27587687969207764,0.2789568603038788,0.2734927833080292,0.8407226204872131,0.36890220642089844,0.21783524751663208
",",0.3680937886238098,0.3087472915649414,0.24041147530078888,0.36755475401878357,0.25785407423973083,0.28725793957710266,0.44245919585227966,0.24592620134353638,0.24731357395648956,0.31091248989105225
and,0.4289871156215668,0.31309178471565247,0.25371095538139343,0.42175528407096863,0.20514336228370667,0.3303895890712738,0.48971283435821533,0.29033857583999634,0.2508046329021454,0.20544172823429108
its,0.24398943781852722,0.30393704771995544,0.309122234582901,0.20452921092510223,0.2262496054172516,0.20375588536262512,0.3691340684890747,0.3157705068588257,0.2321513295173645,0.15103481709957123
components,0.19633713364601135,0.20314843952655792,0.2621259093284607,0.22824235260486603,0.2405039668083191,0.2771087884902954,0.27977025508880615,0.3684782385826111,0.24788862466812134,0.12744711339473724
isolated,0.225118026137352,0.18175481259822845,0.17422522604465485,0.2041555792093277,0.25416991114616394,0.23811520636081696,0.21428942680358887,0.1970357745885849,0.13008400797843933,0.06718844920396805
