,what,type,of,professionals,are,pharmacists,?
pharmacists,0.28274545073509216,0.13279232382774353,0.20506609976291656,0.35777926445007324,0.33935052156448364,1.0,0.1797308325767517
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.29472145438194275,1.0,0.33935052156448364,0.24591213464736938
healthcare,0.24760322272777557,0.10648440569639206,0.22852428257465363,0.4902251064777374,0.2110317349433899,0.4333803951740265,0.21651197969913483
professionals,0.2777658998966217,0.14161449670791626,0.21767503023147583,1.0,0.29472145438194275,0.35777926445007324,0.16300173103809357
with,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.22573620080947876,0.38996943831443787,0.21731118857860565,0.2433311939239502
specialised,0.21627891063690186,0.29683810472488403,0.2754605710506439,0.4028400778770447,0.4135889410972595,0.31090840697288513,0.18122164905071259
education,0.19940856099128723,0.07525362819433212,0.3015166223049164,0.38745173811912537,0.14324818551540375,0.23838679492473602,0.18067774176597595
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2793610095977783,0.48576638102531433,0.26810887455940247,0.20544172823429108
training,0.19520394504070282,0.23502224683761597,0.20511698722839355,0.4067085385322571,0.14393405616283417,0.22758279740810394,0.14311334490776062
who,0.40942975878715515,0.1257498413324356,0.2827862501144409,0.33061355352401733,0.27294138073921204,0.38864052295684814,0.26220351457595825
perform,0.22104133665561676,0.17969194054603577,0.18957175314426422,0.2494232952594757,0.2326430231332779,0.18375590443611145,0.13460582494735718
various,0.26045072078704834,0.16065464913845062,0.3196488320827484,0.30581751465797424,0.45140719413757324,0.24204625189304352,0.12823495268821716
roles,0.19272974133491516,0.09950616210699081,0.19068127870559692,0.18029697239398956,0.1888345181941986,0.11337340623140335,0.1763966977596283
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.2945360541343689,0.3504326641559601,0.24341562390327454,0.29463258385658264
ensure,0.328641802072525,0.11512554436922073,0.20923924446105957,0.2800162434577942,0.30027875304222107,0.20479924976825714,0.24192948639392853
optimal,0.2557683289051056,0.21110090613365173,0.24572864174842834,0.26772382855415344,0.21946537494659424,0.3019406199455261,0.13848930597305298
health,0.21460163593292236,0.06886095553636551,0.28076469898223877,0.36910247802734375,0.19031372666358948,0.29165908694267273,0.16094304621219635
outcomes,0.3678261935710907,0.24283386766910553,0.2874711751937866,0.2877049744129181,0.35184332728385925,0.30208393931388855,0.26170971989631653
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.3263721466064453,0.3895993232727051,0.21977780759334564,0.264628142118454
their,0.35142919421195984,0.14413684606552124,0.4329940676689148,0.2773371636867523,0.46887820959091187,0.3280321955680847,0.1898253709077835
patients,0.28700166940689087,0.19579650461673737,0.1887446492910385,0.3977987468242645,0.32314178347587585,0.42153534293174744,0.17145128548145294
through,0.23167094588279724,0.1296497881412506,0.3647414743900299,0.1772993505001068,0.2637137472629547,0.13213425874710083,0.16913433372974396
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.209927499294281,0.40399202704429626,0.24311043322086334,0.22068053483963013
quality,0.28952741622924805,0.17263053357601166,0.24742498993873596,0.34142568707466125,0.27905720472335815,0.2354583740234375,0.23524069786071777
use,0.3453877568244934,0.32010024785995483,0.2750902473926544,0.2780117988586426,0.4174068570137024,0.29568368196487427,0.32795652747154236
of,0.33290785551071167,0.18112817406654358,1.0,0.21767503023147583,0.39081433415412903,0.20506609976291656,0.1826142966747284
medicines,0.23498177528381348,0.15705178678035736,0.19420596957206726,0.31153804063796997,0.3175111711025238,0.48595479130744934,0.2156115472316742
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2262210100889206,0.3452940285205841,0.27446362376213074,0.4130953550338745
