,who,did,alexander,i,marry,?
king,0.24555552005767822,0.24472618103027344,0.2112664431333542,0.2881033718585968,0.3586818277835846,0.19130074977874756
david,0.26544609665870667,0.15711668133735657,0.24353016912937164,0.14087611436843872,0.16849090158939362,0.04158485680818558
i,0.33545589447021484,0.32301032543182373,0.19645263254642487,0.9999999403953552,0.2678331434726715,0.4695145785808563
of,0.2827862501144409,0.2513895630836487,0.24921993911266327,0.25849398970603943,0.15853992104530334,0.1826142966747284
scotland,0.16836953163146973,0.12742529809474945,0.3015972077846527,0.19429370760917664,0.2285373955965042,0.09160218387842178
",",0.3365725874900818,0.3015086054801941,0.2541901767253876,0.3467482030391693,0.2495274543762207,0.31091248989105225
whose,0.48551782965660095,0.197230726480484,0.12159623205661774,0.15263177454471588,0.16735893487930298,0.16990536451339722
elder,0.34407562017440796,0.16471773386001587,0.2779540419578552,0.16113634407520294,0.3011925518512726,0.12362314015626907
brother,0.39596912264823914,0.1939975470304489,0.2072894275188446,0.21180613338947296,0.3615638315677643,0.14267398416996002
alexander,0.25810402631759644,0.1759006232023239,0.9999999403953552,0.19645263254642487,0.1987503170967102,0.120673269033432
i,0.33545589447021484,0.32301032543182373,0.19645263254642487,0.9999999403953552,0.2678331434726715,0.4695145785808563
had,0.36173108220100403,0.540525496006012,0.20263510942459106,0.2507022023200989,0.30949753522872925,0.20728366076946259
married,0.299703449010849,0.199991375207901,0.20753568410873413,0.1963643580675125,0.6243249773979187,0.18062160909175873
sybilla,0.25182169675827026,0.16804222762584686,0.23401197791099548,0.24192330241203308,0.330423504114151,0.21088553965091705
of,0.2827862501144409,0.2513895630836487,0.24921993911266327,0.25849398970603943,0.15853992104530334,0.1826142966747284
normandy,0.19740919768810272,0.22076494991779327,0.1520947366952896,0.2283792644739151,0.24882954359054565,0.1584552675485611
",",0.3365725874900818,0.3015086054801941,0.2541901767253876,0.3467482030391693,0.2495274543762207,0.31091248989105225
was,0.3318818509578705,0.41399896144866943,0.2708682119846344,0.23566235601902008,0.222385436296463,0.18412111699581146
instrumental,0.2180241048336029,0.19728465378284454,0.10596929490566254,0.2678518295288086,0.06526384502649307,0.1916917860507965
in,0.2792111933231354,0.2593238651752472,0.18552854657173157,0.22907796502113342,0.17190752923488617,0.20430970191955566
introducing,0.16335970163345337,0.21018247306346893,0.2007898986339569,0.16279937326908112,0.13416366279125214,0.20713724195957184
normans,0.20534200966358185,0.22847257554531097,0.19906502962112427,0.18581396341323853,0.24586601555347443,0.12354589998722076
and,0.41279885172843933,0.34479495882987976,0.18737027049064636,0.31928038597106934,0.252701997756958,0.20544172823429108
norman,0.18241798877716064,0.1672605574131012,0.15830454230308533,0.04945526272058487,0.138372540473938,0.12243545055389404
culture,0.13897232711315155,0.09147893637418747,0.17129404842853546,0.16746798157691956,0.1543927639722824,0.13093146681785583
to,0.42656609416007996,0.4452643394470215,0.1207706481218338,0.3140375316143036,0.3244785964488983,0.29463258385658264
scotland,0.16836953163146973,0.12742529809474945,0.3015972077846527,0.19429370760917664,0.2285373955965042,0.09160218387842178
",",0.3365725874900818,0.3015086054801941,0.2541901767253876,0.3467482030391693,0.2495274543762207,0.31091248989105225
part,0.19576206803321838,0.23558001220226288,0.12423628568649292,0.20275843143463135,0.13470561802387238,0.08557961881160736
of,0.2827862501144409,0.2513895630836487,0.24921993911266327,0.25849398970603943,0.15853992104530334,0.1826142966747284
the,0.3733934462070465,0.34736719727516174,0.24375919997692108,0.26687872409820557,0.16624797880649567,0.22068053483963013
process,0.22606876492500305,0.1973760724067688,0.06097163259983063,0.243015319108963,0.11328690499067307,0.2460896074771881
some,0.3978389501571655,0.42553430795669556,0.17615929245948792,0.3227466344833374,0.1724872887134552,0.2562315762042999
scholars,0.32127341628074646,0.27782103419303894,0.2081812024116516,0.2504563331604004,0.21146950125694275,0.11279910802841187
call,0.2639438807964325,0.22224749624729156,0.0745779275894165,0.21851089596748352,0.16641941666603088,0.23091886937618256
the,0.3733934462070465,0.34736719727516174,0.24375919997692108,0.26687872409820557,0.16624797880649567,0.22068053483963013
``,0.02397952415049076,-0.029888948425650597,0.04528295621275902,0.050574399530887604,0.03259187191724777,0.0685480609536171
davidian,0.2747226357460022,0.15595772862434387,0.21165961027145386,0.09125862270593643,0.1257549226284027,0.06754576414823532
revolution,0.2163151353597641,0.21807503700256348,0.1941322684288025,0.17752261459827423,0.1098652333021164,0.1727980077266693
'',0.024401003494858742,0.01978493109345436,0.017990581691265106,0.06827187538146973,-0.01967737264931202,0.018684765323996544
.,0.3541337847709656,0.35288307070732117,0.23320968449115753,0.33645379543304443,0.19600537419319153,0.4130953550338745
