,what,engines,were,used,throughout,most,of,the,20th,century,to,propel,ships,?
in,0.30808621644973755,0.18084456026554108,0.3815755248069763,0.3090210556983948,0.46596065163612366,0.41416558623313904,0.5696388483047485,0.6662389636039734,0.20743919909000397,0.3174034655094147,0.45010748505592346,0.1386910229921341,0.2328297346830368,0.20430970191955566
marine,0.15737493336200714,0.1420617550611496,0.17330197989940643,0.22811582684516907,0.2799322307109833,0.24027302861213684,0.24999871850013733,0.2547752857208252,0.08786553889513016,0.15417319536209106,0.19042746722698212,0.19926226139068604,0.3309926986694336,0.1407923698425293
service,0.16857224702835083,0.20293909311294556,0.15802285075187683,0.22584868967533112,0.24442468583583832,0.15512463450431824,0.18425606191158295,0.22661015391349792,0.1534794270992279,0.11209934949874878,0.24411341547966003,0.11990126967430115,0.22759798169136047,0.1676298975944519
",",0.3087472915649414,0.20245449244976044,0.36755475401878357,0.3120402991771698,0.22385434806346893,0.3636029064655304,0.4946078956127167,0.4933079481124878,0.22451449930667877,0.24487493932247162,0.44245919585227966,0.22704514861106873,0.21014784276485443,0.31091248989105225
(,0.2411840260028839,0.12876033782958984,0.14743882417678833,0.19005385041236877,0.1214333102107048,0.20654040575027466,0.35032153129577637,0.33289089798927307,0.24042166769504547,0.15864071249961853,0.30882009863853455,0.21183064579963684,0.15472929179668427,0.40561532974243164
pioneered,0.15102891623973846,0.22375015914440155,0.2221895307302475,0.3079107105731964,0.23747554421424866,0.224290132522583,0.2517913281917572,0.260772168636322,0.11576739698648453,0.28661152720451355,0.16480174660682678,0.23744946718215942,0.11756465584039688,0.049910396337509155
on,0.34226128458976746,0.19385121762752533,0.2774328887462616,0.24785758554935455,0.317852258682251,0.28303956985473633,0.3966929316520691,0.5107308030128479,0.21332970261573792,0.14449788630008698,0.41031414270401,0.15705004334449768,0.24699397385120392,0.2714994251728058
the,0.42745697498321533,0.2245008647441864,0.3906462490558624,0.3718377649784088,0.4158564507961273,0.47635307908058167,0.733189046382904,1.0,0.3097512125968933,0.3617299497127533,0.535392165184021,0.18364110589027405,0.279244989156723,0.22068053483963013
turbinia,0.16956689953804016,0.46429911255836487,0.22139260172843933,0.2619136571884155,0.1827988177537918,0.16678979992866516,0.25257301330566406,0.21647298336029053,0.18003132939338684,0.18900686502456665,0.23422043025493622,0.43910637497901917,0.1909075379371643,0.19683723151683807
),0.26259949803352356,0.14278316497802734,0.1566188633441925,0.1905621439218521,0.12352827936410904,0.23620007932186127,0.3680361211299896,0.3456730246543884,0.2530856132507324,0.14800427854061127,0.31236231327056885,0.2251826971769333,0.15571799874305725,0.42300865054130554
