,why,did,warsaw,become,the,capital,of,the,commonwealth,?
in,0.23227278888225555,0.2593238651752472,0.22642600536346436,0.23238378763198853,0.6662389636039734,0.3233928978443146,0.5696388483047485,0.6662389636039734,0.2471591830253601,0.20430970191955566
1573,-0.03118203394114971,-0.03174416720867157,0.03601512312889099,0.03868109732866287,-0.00739999208599329,0.0013393722474575043,0.060416337102651596,-0.00739999208599329,0.00044608302414417267,0.0022641574032604694
the,0.30742117762565613,0.34736719727516174,0.23137180507183075,0.31731709837913513,1.0,0.3049491047859192,0.733189046382904,1.0,0.3297852873802185,0.22068053483963013
city,0.12395288795232773,0.12266099452972412,0.25006377696990967,0.16324041783809662,0.35769423842430115,0.5637158751487732,0.32503411173820496,0.35769423842430115,0.24972665309906006,0.13423943519592285
gave,0.25058045983314514,0.4154756963253021,0.10647881776094437,0.22351808845996857,0.32555076479911804,0.06030935049057007,0.3650403320789337,0.32555076479911804,0.14377735555171967,0.1910865753889084
its,0.2255094349384308,0.19922670722007751,0.19152112305164337,0.22375573217868805,0.559237003326416,0.2783217430114746,0.48690423369407654,0.559237003326416,0.2721085846424103,0.15103481709957123
name,0.2043234258890152,0.17557460069656372,0.07886209338903427,0.15894651412963867,0.3171212375164032,0.19736909866333008,0.24075818061828613,0.3171212375164032,0.12923204898834229,0.15381577610969543
to,0.4100138247013092,0.4452643394470215,0.1953994333744049,0.36996012926101685,0.535392165184021,0.1844596415758133,0.41548454761505127,0.535392165184021,0.27652594447135925,0.29463258385658264
the,0.30742117762565613,0.34736719727516174,0.23137180507183075,0.31731709837913513,1.0,0.3049491047859192,0.733189046382904,1.0,0.3297852873802185,0.22068053483963013
warsaw,0.12199772894382477,0.1939365565776825,1.0,0.1807192862033844,0.23137180507183075,0.15139155089855194,0.19253842532634735,0.23137180507183075,0.2659563720226288,0.09769917279481888
confederation,0.1423681080341339,0.18002651631832123,0.28790679574012756,0.13506191968917847,0.338320255279541,0.3167671859264374,0.3036113679409027,0.338320255279541,0.4122650921344757,0.1559038907289505
",",0.2827242314815521,0.3015086054801941,0.25300899147987366,0.29676204919815063,0.4933079481124878,0.28033894300460815,0.4946078956127167,0.4933079481124878,0.2892886996269226,0.31091248989105225
formally,0.18181538581848145,0.18397410213947296,0.17860935628414154,0.2536090016365051,0.3323594629764557,0.19876407086849213,0.3022876977920532,0.3323594629764557,0.35189270973205566,0.1371411830186844
establishing,0.118116594851017,0.19417203962802887,0.13249093294143677,0.2585304379463196,0.3532279133796692,0.21557913720607758,0.31199124455451965,0.3532279133796692,0.2994770109653473,0.1457604318857193
religious,0.24038618803024292,0.2198762446641922,0.15114745497703552,0.1855001598596573,0.22950971126556396,0.16971617937088013,0.2958606779575348,0.22950971126556396,0.23867951333522797,0.15727058053016663
freedom,0.1881026327610016,0.21706336736679077,0.23740680515766144,0.1374153047800064,0.24307598173618317,0.12596215307712555,0.26562249660491943,0.24307598173618317,0.26043981313705444,0.1626027375459671
in,0.23227278888225555,0.2593238651752472,0.22642600536346436,0.23238378763198853,0.6662389636039734,0.3233928978443146,0.5696388483047485,0.6662389636039734,0.2471591830253601,0.20430970191955566
the,0.30742117762565613,0.34736719727516174,0.23137180507183075,0.31731709837913513,1.0,0.3049491047859192,0.733189046382904,1.0,0.3297852873802185,0.22068053483963013
polish–lithuanian,0.15520820021629333,0.204283207654953,0.5739424228668213,0.21542808413505554,0.35509294271469116,0.23667581379413605,0.35474205017089844,0.35509294271469116,0.4962659180164337,0.1877656877040863
commonwealth,0.11626148223876953,0.14687210321426392,0.2659563720226288,0.17458651959896088,0.3297852873802185,0.30710211396217346,0.3000677525997162,0.3297852873802185,1.0000001192092896,0.13252873718738556
.,0.32909876108169556,0.35288307070732117,0.26825499534606934,0.32859939336776733,0.5934505462646484,0.23657599091529846,0.5352458953857422,0.5934505462646484,0.21990390121936798,0.4130953550338745
,why,did,warsaw,become,the,capital,of,the,commonwealth,?
due,0.24495384097099304,0.15152592957019806,0.17273680865764618,0.2054976373910904,0.22577603161334991,0.11148549616336823,0.2533245384693146,0.22577603161334991,0.12300524115562439,0.10954997688531876
to,0.4100138247013092,0.4452643394470215,0.1953994333744049,0.36996012926101685,0.535392165184021,0.1844596415758133,0.41548454761505127,0.535392165184021,0.27652594447135925,0.29463258385658264
its,0.2255094349384308,0.19922670722007751,0.19152112305164337,0.22375573217868805,0.559237003326416,0.2783217430114746,0.48690423369407654,0.559237003326416,0.2721085846424103,0.15103481709957123
central,0.1565958857536316,0.14962437748908997,0.19905970990657806,0.18665778636932373,0.3417201042175293,0.20101356506347656,0.3415789008140564,0.3417201042175293,0.21862415969371796,0.14787602424621582
location,0.12234728783369064,0.1365937441587448,0.08546178042888641,0.0707431361079216,0.351087361574173,0.3336799144744873,0.28702232241630554,0.351087361574173,0.1823791265487671,0.15759775042533875
between,0.22945645451545715,0.16542956233024597,0.15869276225566864,0.14488078653812408,0.39067012071609497,0.19192959368228912,0.3737983703613281,0.39067012071609497,0.21811720728874207,0.12887074053287506
the,0.30742117762565613,0.34736719727516174,0.23137180507183075,0.31731709837913513,1.0,0.3049491047859192,0.733189046382904,1.0,0.3297852873802185,0.22068053483963013
commonwealth,0.11626148223876953,0.14687210321426392,0.2659563720226288,0.17458651959896088,0.3297852873802185,0.30710211396217346,0.3000677525997162,0.3297852873802185,1.0000001192092896,0.13252873718738556
's,-0.016663772985339165,0.05069678649306297,0.02839025668799877,-0.06629510223865509,-0.01540423184633255,0.01144334115087986,-0.03817026689648628,-0.01540423184633255,0.0293596014380455,-0.023395681753754616
capitals,0.08952770382165909,0.13849537074565887,0.18681874871253967,0.08268524706363678,0.29568925499916077,0.6909995675086975,0.2499065101146698,0.29568925499916077,0.24879954755306244,0.11594223231077194
of,0.28464117646217346,0.2513895630836487,0.19253842532634735,0.31678006052970886,0.733189046382904,0.30823585391044617,1.0,0.733189046382904,0.3000677525997162,0.1826142966747284
kraków,0.11892452836036682,0.13580945134162903,0.6385058164596558,0.14341029524803162,0.19051972031593323,0.18472820520401,0.20613795518875122,0.19051972031593323,0.2528427541255951,0.17615953087806702
and,0.27806392312049866,0.34479495882987976,0.2083624005317688,0.3416603207588196,0.5171257257461548,0.218168243765831,0.5116966962814331,0.5171257257461548,0.2619958519935608,0.20544172823429108
vilnius,0.05958325415849686,0.11726152896881104,0.5511760711669922,0.17605435848236084,0.2485794574022293,0.2791638672351837,0.2657318413257599,0.2485794574022293,0.2820418179035187,0.08407469093799591
",",0.2827242314815521,0.3015086054801941,0.25300899147987366,0.29676204919815063,0.4933079481124878,0.28033894300460815,0.4946078956127167,0.4933079481124878,0.2892886996269226,0.31091248989105225
warsaw,0.12199772894382477,0.1939365565776825,1.0,0.1807192862033844,0.23137180507183075,0.15139155089855194,0.19253842532634735,0.23137180507183075,0.2659563720226288,0.09769917279481888
became,0.20657548308372498,0.3632316589355469,0.1935342699289322,0.6258460283279419,0.36325156688690186,0.22269992530345917,0.3638904094696045,0.36325156688690186,0.22299504280090332,0.11374033987522125
the,0.30742117762565613,0.34736719727516174,0.23137180507183075,0.31731709837913513,1.0,0.3049491047859192,0.733189046382904,1.0,0.3297852873802185,0.22068053483963013
capital,0.08617016673088074,0.08427972346544266,0.15139155089855194,0.13410331308841705,0.3049491047859192,0.9999999403953552,0.30823585391044617,0.3049491047859192,0.30710211396217346,0.0907452180981636
of,0.28464117646217346,0.2513895630836487,0.19253842532634735,0.31678006052970886,0.733189046382904,0.30823585391044617,1.0,0.733189046382904,0.3000677525997162,0.1826142966747284
the,0.30742117762565613,0.34736719727516174,0.23137180507183075,0.31731709837913513,1.0,0.3049491047859192,0.733189046382904,1.0,0.3297852873802185,0.22068053483963013
commonwealth,0.11626148223876953,0.14687210321426392,0.2659563720226288,0.17458651959896088,0.3297852873802185,0.30710211396217346,0.3000677525997162,0.3297852873802185,1.0000001192092896,0.13252873718738556
and,0.27806392312049866,0.34479495882987976,0.2083624005317688,0.3416603207588196,0.5171257257461548,0.218168243765831,0.5116966962814331,0.5171257257461548,0.2619958519935608,0.20544172823429108
the,0.30742117762565613,0.34736719727516174,0.23137180507183075,0.31731709837913513,1.0,0.3049491047859192,0.733189046382904,1.0,0.3297852873802185,0.22068053483963013
crown,0.05553995445370674,0.14185261726379395,0.11160732060670853,0.24345360696315765,0.2646690607070923,0.1927749216556549,0.2964670956134796,0.2646690607070923,0.3638809025287628,0.09979621320962906
of,0.28464117646217346,0.2513895630836487,0.19253842532634735,0.31678006052970886,0.733189046382904,0.30823585391044617,1.0,0.733189046382904,0.3000677525997162,0.1826142966747284
the,0.30742117762565613,0.34736719727516174,0.23137180507183075,0.31731709837913513,1.0,0.3049491047859192,0.733189046382904,1.0,0.3297852873802185,0.22068053483963013
kingdom,0.12449488788843155,0.15448923408985138,0.15099142491817474,0.20406530797481537,0.3143408000469208,0.20243757963180542,0.3218171298503876,0.3143408000469208,0.3527248203754425,0.12927088141441345
of,0.28464117646217346,0.2513895630836487,0.19253842532634735,0.31678006052970886,0.733189046382904,0.30823585391044617,1.0,0.733189046382904,0.3000677525997162,0.1826142966747284
poland,0.11503135412931442,0.1852528303861618,0.6352760195732117,0.22288833558559418,0.24871079623699188,0.1635831594467163,0.26632049679756165,0.24871079623699188,0.36704352498054504,0.14259830117225647
when,0.46319615840911865,0.3228907287120819,0.1615014374256134,0.4120000898838043,0.5091903209686279,0.20230671763420105,0.3757161796092987,0.5091903209686279,0.22960522770881653,0.22841128706932068
king,0.14350822567939758,0.24472618103027344,0.10983172804117203,0.160400852560997,0.25887003540992737,0.23407100141048431,0.2938710153102875,0.25887003540992737,0.21765898168087006,0.19130074977874756
sigismund,0.20514503121376038,0.16112971305847168,0.42401063442230225,0.23284532129764557,0.2685311734676361,0.29017171263694763,0.33887600898742676,0.2685311734676361,0.28033381700515747,0.25470688939094543
iii,0.13116130232810974,0.13783781230449677,0.18053355813026428,0.1617213785648346,0.18552400171756744,0.14765939116477966,0.21691277623176575,0.18552400171756744,0.18161602318286896,0.13642357289791107
vasa,0.19379578530788422,0.14574725925922394,0.285134881734848,0.16778220236301422,0.20161715149879456,0.0736352726817131,0.19801199436187744,0.20161715149879456,0.18930673599243164,0.10693056136369705
moved,0.21598075330257416,0.27509647607803345,0.15387406945228577,0.26114654541015625,0.32031023502349854,0.3201691806316376,0.22242598235607147,0.32031023502349854,0.1854589879512787,0.15112607181072235
his,0.19196097552776337,0.3546801507472992,0.2047043889760971,0.2702707052230835,0.4394008219242096,0.12485896795988083,0.38364991545677185,0.4394008219242096,0.16365839540958405,0.18075084686279297
court,0.11776331812143326,0.23020441830158234,0.1335667222738266,0.12039466202259064,0.2812081575393677,0.25674697756767273,0.28835242986679077,0.2812081575393677,0.22739897668361664,0.17100423574447632
from,0.2592364251613617,0.20248863101005554,0.2396499514579773,0.23946096003055573,0.40150508284568787,0.22938302159309387,0.4249346852302551,0.40150508284568787,0.22597156465053558,0.19969791173934937
kraków,0.11892452836036682,0.13580945134162903,0.6385058164596558,0.14341029524803162,0.19051972031593323,0.18472820520401,0.20613795518875122,0.19051972031593323,0.2528427541255951,0.17615953087806702
to,0.4100138247013092,0.4452643394470215,0.1953994333744049,0.36996012926101685,0.535392165184021,0.1844596415758133,0.41548454761505127,0.535392165184021,0.27652594447135925,0.29463258385658264
warsaw,0.12199772894382477,0.1939365565776825,1.0,0.1807192862033844,0.23137180507183075,0.15139155089855194,0.19253842532634735,0.23137180507183075,0.2659563720226288,0.09769917279481888
in,0.23227278888225555,0.2593238651752472,0.22642600536346436,0.23238378763198853,0.6662389636039734,0.3233928978443146,0.5696388483047485,0.6662389636039734,0.2471591830253601,0.20430970191955566
1596,0.015848200768232346,0.043534357100725174,0.12180562317371368,-0.027768701314926147,0.008924320340156555,0.09198950976133347,0.0572606697678566,0.008924320340156555,0.17589600384235382,0.01548840757459402
.,0.32909876108169556,0.35288307070732117,0.26825499534606934,0.32859939336776733,0.5934505462646484,0.23657599091529846,0.5352458953857422,0.5934505462646484,0.21990390121936798,0.4130953550338745
