,what,is,the,name,for,a,teacher,of,just,one,person,?
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.44038116931915283,1.0,0.31202319264411926,0.5052502155303955,0.47693389654159546,0.4910551905632019,0.4078793525695801,0.23916715383529663
teacher,0.20492632687091827,0.2001669555902481,0.17760860919952393,0.12208614498376846,0.23373261094093323,0.31202319264411926,0.9999998807907104,0.19968076050281525,0.24488498270511627,0.2434118688106537,0.2995007634162903,0.1797819435596466
who,0.40942975878715515,0.24293622374534607,0.3733934462070465,0.2027527540922165,0.37110671401023865,0.36608949303627014,0.35707929730415344,0.2827862501144409,0.357815682888031,0.40083858370780945,0.4741832911968231,0.26220351457595825
teaches,0.26125696301460266,0.2536129355430603,0.2156836986541748,0.10838237404823303,0.26241829991340637,0.22278502583503723,0.6839244961738586,0.274461567401886,0.20775249600410461,0.22782111167907715,0.3090505599975586,0.2008351981639862
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.17627742886543274,0.36199691891670227,0.3848365545272827,0.1997784823179245,0.3966929316520691,0.39734378457069397,0.3601475656032562,0.21978497505187988,0.2714994251728058
an,0.2821882665157318,0.4654068350791931,0.4207492768764496,0.22033736109733582,0.3236706852912903,0.44552403688430786,0.19733460247516632,0.32280945777893066,0.29024219512939453,0.2829729914665222,0.27271315455436707,0.19793890416622162
individual,0.34021541476249695,0.21069909632205963,0.3706541955471039,0.08772501349449158,0.33574938774108887,0.34062352776527405,0.12355116754770279,0.3372420072555542,0.317003071308136,0.3675733208656311,0.3768315315246582,0.2058374285697937
basis,0.27055948972702026,0.2811574637889862,0.2758672833442688,0.11573019623756409,0.34436357021331787,0.3051576614379883,0.17001543939113617,0.282950758934021,0.26964110136032104,0.31674715876579285,0.20153331756591797,0.14255106449127197
may,0.25739946961402893,0.322792649269104,0.2694292366504669,0.1821857988834381,0.29255861043930054,0.29255667328834534,0.15417979657649994,0.26447007060050964,0.38548725843429565,0.2514621615409851,0.27964913845062256,0.2768254578113556
be,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.19639723002910614,0.3801851272583008,0.39883795380592346,0.1891087293624878,0.33904364705085754,0.4862116277217865,0.4154875874519348,0.40550696849823,0.3324260413646698
described,0.22590412199497223,0.2517563998699188,0.2878154516220093,0.1276085525751114,0.20229990780353546,0.25473126769065857,0.17123669385910034,0.297532320022583,0.2257610410451889,0.3081560432910919,0.22918424010276794,0.1374269425868988
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2851914167404175,0.44774648547172546,0.39550232887268066,0.27420735359191895,0.3886612355709076,0.45285287499427795,0.3954789340496063,0.18760068714618683,0.27043893933296204
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.44038116931915283,1.0,0.31202319264411926,0.5052502155303955,0.47693389654159546,0.4910551905632019,0.4078793525695801,0.23916715383529663
tutor,0.18646344542503357,0.1749010533094406,0.16959547996520996,0.11551439017057419,0.18168583512306213,0.2438567578792572,0.5377985835075378,0.15590403974056244,0.14891409873962402,0.23171618580818176,0.2913541793823242,0.13346409797668457
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.4726039469242096,0.50484299659729,0.225234717130661,0.5352458953857422,0.3966372609138489,0.4123194217681885,0.29091694951057434,0.4130953550338745
