,what,is,incorrectly,thought,about,the,outer,chloroplast,membrane,?
this,0.5489566326141357,0.480927973985672,0.3189001679420471,0.44812071323394775,0.3886062204837799,0.6274310946464539,0.2646792531013489,0.30233123898506165,0.25010499358177185,0.3155723512172699
is,0.28837618231773376,1.0,0.2735014855861664,0.28001952171325684,0.3532065451145172,0.5823672413825989,0.21060429513454437,0.20798198878765106,0.21774554252624512,0.22961433231830597
often,0.3849453330039978,0.3856629431247711,0.394482284784317,0.36946478486061096,0.31192031502723694,0.38004449009895325,0.24222226440906525,0.26007363200187683,0.24455560743808746,0.23748154938220978
interpreted,0.3610887825489044,0.1640922576189041,0.3312366008758545,0.38080665469169617,0.21651484072208405,0.26735278964042664,0.16708055138587952,0.2341376543045044,0.19759653508663177,0.22247080504894257
as,0.31749409437179565,0.43216490745544434,0.29858672618865967,0.3461970388889313,0.2989700436592102,0.48381632566452026,0.2262507826089859,0.2268141210079193,0.18031951785087585,0.27043893933296204
meaning,0.24135559797286987,0.32422322034835815,0.19947372376918793,0.32385173439979553,0.20659714937210083,0.31918859481811523,0.13176415860652924,0.15423519909381866,0.1978493630886078,0.20420892536640167
the,0.42745697498321533,0.5823672413825989,0.28213053941726685,0.3509289622306824,0.37995871901512146,1.0,0.3022986054420471,0.21317854523658752,0.21814598143100739,0.22068053483963013
outer,0.2157491147518158,0.21060429513454437,0.12466372549533844,0.16102273762226105,0.21945780515670776,0.3022986054420471,1.0000001192092896,0.32597172260284424,0.4687429368495941,0.06864649802446365
chloroplast,0.23505516350269318,0.20798198878765106,0.3021320700645447,0.24722152948379517,0.1271195411682129,0.21317854523658752,0.32597172260284424,1.0000001192092896,0.6168951392173767,0.12532055377960205
membrane,0.1647152304649353,0.21774554252624512,0.18497930467128754,0.1345946043729782,0.11790898442268372,0.21814598143100739,0.4687429368495941,0.6168951392173767,0.9999999403953552,0.18908235430717468
is,0.28837618231773376,1.0,0.2735014855861664,0.28001952171325684,0.3532065451145172,0.5823672413825989,0.21060429513454437,0.20798198878765106,0.21774554252624512,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,0.28213053941726685,0.3509289622306824,0.37995871901512146,1.0,0.3022986054420471,0.21317854523658752,0.21814598143100739,0.22068053483963013
product,0.2465333193540573,0.2903512120246887,0.17843720316886902,0.17697389423847198,0.15933845937252045,0.23984220623970032,0.13925692439079285,0.3370571434497833,0.24969351291656494,0.19651241600513458
of,0.33290785551071167,0.4854315221309662,0.20600436627864838,0.34673458337783813,0.40939709544181824,0.733189046382904,0.26699039340019226,0.2069506198167801,0.22049079835414886,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.28213053941726685,0.3509289622306824,0.37995871901512146,1.0,0.3022986054420471,0.21317854523658752,0.21814598143100739,0.22068053483963013
host,0.12779991328716278,0.18300022184848785,0.15756145119667053,0.12236937880516052,0.1152646467089653,0.26909032464027405,0.16565661132335663,0.2808496356010437,0.2399737536907196,0.1021634042263031
's,0.02692362666130066,0.02396530658006668,-0.04940570518374443,0.04379833862185478,-0.020936643704771996,-0.01540423184633255,-0.07019069790840149,-0.026425376534461975,-0.09767278283834457,-0.023395681753754616
cell,0.19222842156887054,0.15086454153060913,0.17910678684711456,0.1263750195503235,0.10425276309251785,0.15822452306747437,0.3350204825401306,0.5453585982322693,0.6160592436790466,0.2058541625738144
membrane,0.1647152304649353,0.21774554252624512,0.18497930467128754,0.1345946043729782,0.11790898442268372,0.21814598143100739,0.4687429368495941,0.6168951392173767,0.9999999403953552,0.18908235430717468
infolding,0.38824012875556946,0.27026239037513733,0.334496408700943,0.24380825459957123,0.30107003450393677,0.3549254536628723,0.30559882521629333,0.357744425535202,0.39325758814811707,0.2983103394508362
to,0.455847829580307,0.42745086550712585,0.3155739903450012,0.3858291208744049,0.391953706741333,0.535392165184021,0.22978051006793976,0.22531428933143616,0.17791007459163666,0.29463258385658264
form,0.15868011116981506,0.3218395411968231,0.18778207898139954,0.21780043840408325,0.13729865849018097,0.29286009073257446,0.24037745594978333,0.2410242110490799,0.22049006819725037,0.1463010311126709
