,friedrich,ratzel,thought,what,was,needed,for,a,state,to,survive,?
friedrich,1.0000001192092896,0.42860978841781616,0.27593037486076355,0.21411612629890442,0.24164628982543945,0.15406283736228943,0.09603983908891678,0.22458875179290771,0.15816554427146912,0.15858955681324005,0.10966794192790985,0.19029006361961365
ratzel,0.42860978841781616,0.9999998807907104,0.19718630611896515,0.23239637911319733,0.3304523825645447,0.1809905767440796,0.19715416431427002,0.302673876285553,0.1922428011894226,0.2759164571762085,0.12672542035579681,0.2601761519908905
believed,0.15262748301029205,0.14354349672794342,0.704717218875885,0.32626157999038696,0.3758357763290405,0.1671695113182068,0.212932750582695,0.2603382170200348,0.1692623794078827,0.35322412848472595,0.27012360095977783,0.17606885731220245
that,0.17228633165359497,0.2763102650642395,0.520185112953186,0.6297725439071655,0.33670201897621155,0.45214173197746277,0.4137635827064514,0.47537946701049805,0.24252457916736603,0.5436353087425232,0.3015720248222351,0.32716336846351624
in,0.19481603801250458,0.29220396280288696,0.24524326622486115,0.30808621644973755,0.45514053106307983,0.21117523312568665,0.4322226941585541,0.539380669593811,0.33316072821617126,0.45010748505592346,0.22333702445030212,0.20430970191955566
order,0.1400541216135025,0.24947212636470795,0.1995156854391098,0.16634008288383484,0.16897162795066833,0.2905689477920532,0.16561681032180786,0.24138490855693817,0.1800956279039383,0.35544881224632263,0.20353324711322784,0.13725648820400238
for,0.09603983908891678,0.19715416431427002,0.303140789270401,0.3017193675041199,0.3863949179649353,0.38127243518829346,0.9999999403953552,0.44038116931915283,0.19460363686084747,0.4451248347759247,0.24624577164649963,0.264628142118454
a,0.22458875179290771,0.302673876285553,0.3342154324054718,0.3320399522781372,0.4508470594882965,0.2915569543838501,0.44038116931915283,1.0,0.25097307562828064,0.45503583550453186,0.21787875890731812,0.23916715383529663
state,0.15816554427146912,0.1922428011894226,0.17125585675239563,0.24273863434791565,0.22072885930538177,0.2064431756734848,0.19460363686084747,0.25097307562828064,1.0,0.25557461380958557,0.10297787189483643,0.1160883978009224
to,0.15858955681324005,0.2759164571762085,0.3858291208744049,0.455847829580307,0.3636345863342285,0.45002421736717224,0.4451248347759247,0.45503583550453186,0.25557461380958557,1.0,0.3082670271396637,0.29463258385658264
survive,0.10966794192790985,0.12672542035579681,0.27029114961624146,0.21734777092933655,0.14027971029281616,0.2893625795841217,0.24624577164649963,0.21787875890731812,0.10297787189483643,0.3082670271396637,1.0000001192092896,0.15179267525672913
",",0.2183936983346939,0.3527316749095917,0.2965437173843384,0.3087472915649414,0.45456063747406006,0.29017356038093567,0.4464869201183319,0.427140474319458,0.29481780529022217,0.44245919585227966,0.23943406343460083,0.31091248989105225
imperialism,0.2524421811103821,0.16957490146160126,0.28589943051338196,0.24614648520946503,0.2349989414215088,0.17554226517677307,0.15846435725688934,0.17335295677185059,0.28228023648262024,0.21685542166233063,0.10346508771181107,0.14998586475849152
was,0.24164628982543945,0.3304523825645447,0.42560186982154846,0.22111038863658905,1.0000001192092896,0.227164626121521,0.3863949179649353,0.4508470594882965,0.22072885930538177,0.3636345863342285,0.14027971029281616,0.18412111699581146
needed,0.15406283736228943,0.1809905767440796,0.3155008852481842,0.3631289601325989,0.227164626121521,1.0,0.38127243518829346,0.2915569543838501,0.2064431756734848,0.45002421736717224,0.2893625795841217,0.2863257825374603
.,0.22638006508350372,0.305303156375885,0.3521888852119446,0.3567904531955719,0.40146201848983765,0.31272366642951965,0.4726039469242096,0.50484299659729,0.31380724906921387,0.4645031690597534,0.2299451231956482,0.4130953550338745
